Symbol,50 vs 20 EMA Cross,Date
ADBL,UNHPL - 2024-06-13 00:00:00 - Cross - Close: 233.5,2024-06-13
ADBLD83,RADHI - 2024-06-12 00:00:00 - Cross - Close: 254.0,2024-06-12
AHL,SPDL - 2024-06-11 00:00:00 - Cross - Close: 251.0,2024-06-11
AHPC,STC - 2024-06-10 00:00:00 - Cross - Close: 4730.0,2024-06-10
AKJCL,VLUCL - 2024-06-09 00:00:00 - Cross - Close: 530.0,2024-06-09
AKPL,DORDI - 2024-06-06 00:00:00 - Cross - Close: 424.0,2024-06-06
ALBSL,TRADING - 2024-06-02 00:00:00 - Cross - Close: 2929.59,2024-06-02
ALICL,TSHL - 2024-06-04 00:00:00 - Cross - Close: 508.0,2024-06-04
ANLB,NICA - 2024-06-03 00:00:00 - Cross - Close: 415.1,2024-06-03
API,SHL - 2024-06-02 00:00:00 - Cross - Close: 438.0,2024-06-02
AVYAN,TAMOR - 2024-05-30 00:00:00 - Cross - Close: 374.0,2024-05-30
BARUN,SRLI - 2024-05-29 00:00:00 - Cross - Close: 440.0,2024-05-29
BBC,USHL - 2024-05-27 00:00:00 - Cross - Close: 487.5,2024-05-27
BEDC,SRLI - 2024-05-26 00:00:00 - Cross - Close: 447.0,2024-05-26
BFC,SHL - 2024-05-22 00:00:00 - Cross - Close: 448.5,2024-05-22
BGWT,SBI - 2024-05-21 00:00:00 - Cross - Close: 300.0,2024-05-21
BHDC,TSHL - 2024-05-20 00:00:00 - Cross - Close: 503.8,2024-05-20
BHL,SBL - 2024-05-19 00:00:00 - Cross - Close: 234.0,2024-05-19
BHPL,TSHL - 2024-05-16 00:00:00 - Cross - Close: 510.0,2024-05-16
BNHC,PRIN - 2024-05-15 00:00:00 - Cross - Close: 785.0,2024-05-15
BNL,UAIL - 2024-05-14 00:00:00 - Cross - Close: 585.0,2024-05-14
BNT,SCB - 2024-05-13 00:00:00 - Cross - Close: 540.2,2024-05-13
BPCL,RFPL - 2024-05-12 00:00:00 - Cross - Close: 338.0,2024-05-12
C30MF,SPIL - 2024-05-09 00:00:00 - Cross - Close: 739.0,2024-05-09
CBBL,UNL - 2024-05-05 00:00:00 - Cross - Close: 39500.0,2024-05-05
CBLD88,ENL - 2024-05-07 00:00:00 - Cross - Close: 795.1,2024-05-07
CCBD88,NWCL - 2024-05-06 00:00:00 - Cross - Close: 691.0,2024-05-06
CFCL,SHINE - 2024-05-05 00:00:00 - Cross - Close: 391.0,2024-05-05
CGH,USHL - 2024-05-02 00:00:00 - Cross - Close: 469.9,2024-05-02
CHCL,SADBL - 2024-04-30 00:00:00 - Cross - Close: 322.0,2024-04-30
CHDC,ENL - 2024-04-29 00:00:00 - Cross - Close: 799.0,2024-04-29
CHL,TAMOR - 2024-04-28 00:00:00 - Cross - Close: 380.0,2024-04-28
CITY,SWBBL - 2024-04-24 00:00:00 - Cross - Close: 724.9,2024-04-24
CKHL,SPHL - 2024-04-22 00:00:00 - Cross - Close: 461.0,2024-04-22
CLI,SHIVM - 2024-04-21 00:00:00 - Cross - Close: 512.0,2024-04-21
CMF1,SPIL - 2024-04-18 00:00:00 - Cross - Close: 720.0,2024-04-18
CMF2,NHDL - 2024-04-16 00:00:00 - Cross - Close: 418.1,2024-04-16
CORBL,UNHPL - 2024-04-15 00:00:00 - Cross - Close: 233.5,2024-04-15
CYCL,UNL - 2024-03-27 00:00:00 - Cross - Close: 39500.0,2024-03-27
CZBIL,TRH - 2024-04-10 00:00:00 - Cross - Close: 760.0,2024-04-10
DDBL,BNT - 2024-04-09 00:00:00 - Cross - Close: 13000.0,2024-04-09
DHPL,MLBSL - 2024-04-07 00:00:00 - Cross - Close: 1779.6,2024-04-07
DLBS,UNL - 2024-03-20 00:00:00 - Cross - Close: 39000.0,2024-03-20
DOLTI,SMHL - 2024-04-03 00:00:00 - Cross - Close: 438.0,2024-04-03
DORDI,TRADING - 2024-03-28 00:00:00 - Cross - Close: 2792.93,2024-03-28
EBL,SPDL - 2024-04-01 00:00:00 - Cross - Close: 238.6,2024-04-01
EBLD86,UMHL - 2024-03-31 00:00:00 - Cross - Close: 243.2,2024-03-31
EDBL,MLBL - 2024-03-28 00:00:00 - Cross - Close: 324.8,2024-03-28
EHPL,SADBL - 2024-03-27 00:00:00 - Cross - Close: 297.1,2024-03-27
ENL,TSHL - 2024-03-26 00:00:00 - Cross - Close: 526.1,2024-03-26
FMDBL,SFMF - 2024-03-13 00:00:00 - Cross - Close: 9.78,2024-03-13
FOWAD,HRL - 2024-03-21 00:00:00 - Cross - Close: 606.5,2024-03-21
GBBD85,TRADING - 2024-03-17 00:00:00 - Cross - Close: 2840.5,2024-03-17
GBBL,VLUCL - 2024-03-19 00:00:00 - Cross - Close: 518.4,2024-03-19
GBILD86/87,UPCL - 2024-03-18 00:00:00 - Cross - Close: 216.9,2024-03-18
GBIME,SADBL - 2024-03-17 00:00:00 - Cross - Close: 307.0,2024-03-17
GBLBS,VLBS - 2024-03-14 00:00:00 - Cross - Close: 640.0,2024-03-14
GCIL,TSHL - 2024-03-13 00:00:00 - Cross - Close: 496.0,2024-03-13
GFCL,SHIVM - 2024-03-12 00:00:00 - Cross - Close: 554.0,2024-03-12
GHL,SMFBS - 2024-03-10 00:00:00 - Cross - Close: 925.0,2024-03-10
GIBF1,WNLB - 2024-03-07 00:00:00 - Cross - Close: 790.0,2024-03-07
GILB,NBF3 - 2024-03-06 00:00:00 - Cross - Close: 7.44,2024-03-06
GLBSL,WNLB - 2024-03-05 00:00:00 - Cross - Close: 770.5,2024-03-05
GMFBS,NEPSE - 2024-02-27 00:00:00 - Cross - Close: 2001.64,2024-02-27
GMFIL,SDLBSL - 2024-02-28 00:00:00 - Cross - Close: 583.0,2024-02-28
GRDBL,UMRH - 2024-02-28 00:00:00 - Cross - Close: 364.0,2024-02-28
GVL,SLBBL - 2024-02-25 00:00:00 - Cross - Close: 575.0,2024-02-25
GWFD83,SMB - 2024-02-25 00:00:00 - Cross - Close: 929.1,2024-02-25
H8020,SHL - 2024-02-22 00:00:00 - Cross - Close: 440.0,2024-02-22
HATHY,VLBS - 2024-02-21 00:00:00 - Cross - Close: 617.0,2024-02-21
