Symbol,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
AKJCL,35,388.0,409.1,23395.0,738.5,24133.5,177.71
SSHL,0,0.0,211.9,15000.0,0.0,15000.0,0.0
HURJA,47,118.0,249.6,0.0,6185.2,6185.2,111.53
UNHPL,65,415.38,413.8,0.0,-103.0,-103.0,-0.38
DORDI,130,307.54,270.0,0.0,-4880.0,-4880.0,-12.21
PPCL,10,390.0,378.0,-8000.0,-120.0,-8120.0,-208.21
MEL,164,323.0,235.6,0.0,-14333.6,-14333.6,-27.06
SINDU,115,866.3,741.2,0.0,-14387.0,-14387.0,-14.44
HLBSL,95,1079.0,870.0,0.0,-19855.0,-19855.0,-19.37
GBLBS,60,1519.0,761.2,0.0,-45468.0,-45468.0,-49.89
SAGAR,90,2220.0,1659.9,0.0,-50409.0,-50409.0,-25.23
