Symbol,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
HURJA,47,118.0,255.0,0.0,6439.0,6439.0,116.1
UNHPL,65,415.38,496.0,0.0,5240.0,5240.0,19.41
SSHL,200,190.0,186.0,0.0,-800.0,-800.0,-2.11
DORDI,130,307.54,275.0,0.0,-4230.0,-4230.0,-10.58
AKJCL,535,384.15,352.0,10335.0,-17200.0,-6865.0,-3.34
MEL,164,323.0,279.1,0.0,-7199.6,-7199.6,-13.59
PPCL,10,390.0,371.0,-8000.0,-190.0,-8190.0,-210.0
SINDU,115,866.3,738.1,0.0,-14743.5,-14743.5,-14.8
HLBSL,95,1079.0,920.0,0.0,-15105.0,-15105.0,-14.74
SAGAR,90,2220.0,1985.0,0.0,-21150.0,-21150.0,-10.59
GBLBS,60,1519.0,755.2,0.0,-45828.0,-45828.0,-50.28
