Symbol,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
AKJCL,35,388.0,386.5,23395.0,-52.5,23342.5,171.89
SSHL,0,0.0,211.7,15000.0,0.0,15000.0,0.0
HURJA,47,118.0,242.8,0.0,5865.6,5865.6,105.76
UNHPL,65,415.38,400.0,0.0,-1000.0,-1000.0,-3.7
DORDI,130,307.54,263.0,0.0,-5790.0,-5790.0,-14.48
PPCL,10,390.0,353.0,-8000.0,-370.0,-8370.0,-214.62
HLBSL,95,1079.0,903.0,0.0,-16720.0,-16720.0,-16.31
MEL,164,323.0,220.0,0.0,-16892.0,-16892.0,-31.89
SINDU,115,866.3,719.0,0.0,-16940.0,-16940.0,-17.0
SAGAR,90,2220.0,1820.0,0.0,-36000.0,-36000.0,-18.02
GBLBS,60,1519.0,759.0,0.0,-45600.0,-45600.0,-50.03
