Symbol,Latest_Close,52_Week_Low,52_Week_High,Distance_from_Low_%,Distance_from_High_%
UMRH,515.0,512.0,622.0,0.59,-17.2
SWMF,588.5,585.0,754.0,0.6,-21.95
HRL,549.0,545.0,1074.8,0.73,-48.92
PBLD84,1065.1,1057.2,1158.4,0.75,-8.05
GBLBS,668.0,662.5,868.0,0.83,-23.04
ULI,358.0,355.0,746.0,0.85,-52.01
NICD83/84,1010.0,1001.4,1149.0,0.86,-12.1
SONA,388.4,385.1,510.0,0.86,-23.84
ICFC,585.1,580.0,715.0,0.88,-18.17
ADBLB86,1010.0,1000.0,1000.1,1.0,0.99
BOKD86KA,1111.1,1100.0,1247.0,1.01,-10.9
RBCL,13800.0,13660.0,16261.0,1.02,-15.13
NYADI,344.5,341.0,482.0,1.03,-28.53
MHL,450.0,445.0,580.0,1.12,-22.41
SBD87,1062.0,1050.0,1210.0,1.14,-12.23
SLBSL,889.0,879.0,1547.0,1.14,-42.53
NICA,308.0,304.5,411.0,1.15,-25.06
JFL,378.5,374.0,492.0,1.2,-23.07
BHDC,417.0,412.0,616.0,1.21,-32.31
MBJC,256.0,252.9,333.0,1.23,-23.12
MLBS,1029.0,1016.5,1666.0,1.23,-38.24
UPCL,331.0,326.9,430.4,1.25,-23.09
CBBLPO,395.0,390.0,395.0,1.28,0.0
MEL,201.5,198.7,328.0,1.41,-38.57
OMPL,860.0,848.0,1575.9,1.42,-45.43
NESDO,1349.0,1330.0,1682.0,1.43,-19.8
NIFRAGED,1000.1,986.0,1200.2,1.43,-16.67
RAWA,405.0,399.0,851.7,1.5,-52.45
ADBLB87,1015.0,1000.0,1016.0,1.5,-0.1
MKCL,885.9,872.5,1671.0,1.54,-46.98
ILI,405.2,399.0,489.6,1.55,-17.24
GBBD85,1054.1,1038.0,1135.0,1.55,-7.13
KPCL,457.0,450.0,658.0,1.56,-30.55
MND84/85,1052.2,1035.0,1128.0,1.66,-6.72
SRBLD83,1025.0,1008.1,1125.0,1.68,-8.89
LICN,764.9,751.3,969.0,1.81,-21.06
KBSH,897.0,881.0,1929.0,1.82,-53.5
CIT,1660.0,1630.3,1973.0,1.82,-15.86
JBLB,1242.2,1219.9,1644.0,1.83,-24.44
EBLD86,1055.1,1036.0,1150.0,1.84,-8.25
BNHC,266.2,261.3,613.8,1.88,-56.63
CLI,419.0,411.0,526.0,1.95,-20.34
NICAD2091,1025.0,1005.2,1106.0,1.97,-7.32
JOSHI,251.0,246.0,388.6,2.03,-35.41
SPDL,352.0,345.0,474.0,2.03,-25.74
NSIF2,9.95,9.75,11.45,2.05,-13.1
SMB,1735.0,1699.0,2321.0,2.12,-25.25
NIMBPO,140.0,137.1,174.9,2.12,-19.95
SFMF,9.6,9.4,11.01,2.13,-12.81
BHPL,458.9,449.0,800.0,2.2,-42.64
AHL,395.5,387.0,699.0,2.2,-43.42
EHPL,318.0,311.1,605.0,2.22,-47.44
SPIL,640.0,625.0,844.1,2.4,-24.18
ADBLD83,1039.9,1015.0,1132.9,2.45,-8.21
UNLB,1242.9,1212.8,2306.0,2.48,-46.1
GVL,472.5,461.0,602.0,2.49,-21.51
NMBD2085,1136.0,1107.5,1211.0,2.57,-6.19
SJLIC,400.1,390.0,489.9,2.59,-18.33
NMBD89/90,1223.0,1192.0,1460.0,2.6,-16.23
HBLD83,1027.0,1000.0,1111.0,2.7,-7.56
RBCLPO,11299.0,11000.0,13420.9,2.72,-15.81
GMFBS,1130.0,1100.0,1688.0,2.73,-33.06
LVF2,9.0,8.76,10.3,2.74,-12.62
SBID83,1060.0,1031.0,1226.0,2.81,-13.54
IGI,403.0,392.0,543.9,2.81,-25.91
JBBD87,1100.1,1070.0,1289.0,2.81,-14.65
TTL,688.9,670.0,1173.0,2.82,-41.27
KBLD89,1235.0,1200.0,1379.0,2.92,-10.44
CGH,770.0,748.0,1104.0,2.94,-30.25
KBLD86,1112.0,1080.0,1387.5,2.96,-19.86
SMH,497.0,482.6,1024.8,2.98,-51.5
HBL,189.5,184.0,237.0,2.99,-20.04
NBLD82,1051.1,1020.5,1140.0,3.0,-7.8
MANDU,732.4,711.1,909.0,3.0,-19.43
NBLD85,1051.0,1020.0,1187.0,3.04,-11.46
NIBD2082,1040.0,1008.5,1170.0,3.12,-11.11
