Symbol,Latest_Close,52_Week_Low,52_Week_High,Distance_from_Low_%,Distance_from_High_%,Chart_URL
SLBBLP,453.0,453.0,499.0,0.0,-9.22,https://nepsealpha.com/nepse-chart?symbol=SLBBLP
GBIMEP,100.0,100.0,122.0,0.0,-18.03,https://nepsealpha.com/nepse-chart?symbol=GBIMEP
SPL,751.0,750.6,1035.0,0.05,-27.44,https://nepsealpha.com/nepse-chart?symbol=SPL
NIMB,187.0,186.7,247.0,0.16,-24.29,https://nepsealpha.com/nepse-chart?symbol=NIMB
TAMOR,419.0,418.1,592.6,0.22,-29.29,https://nepsealpha.com/nepse-chart?symbol=TAMOR
CIT,1735.5,1730.8,2200.0,0.27,-21.11,https://nepsealpha.com/nepse-chart?symbol=CIT
SKBBL,756.0,752.7,999.0,0.44,-24.32,https://nepsealpha.com/nepse-chart?symbol=SKBBL
SMHL,445.0,443.0,1230.0,0.45,-63.82,https://nepsealpha.com/nepse-chart?symbol=SMHL
MKHC,317.0,315.0,612.0,0.63,-48.2,https://nepsealpha.com/nepse-chart?symbol=MKHC
SWBBL,730.0,724.8,1046.5,0.72,-30.24,https://nepsealpha.com/nepse-chart?symbol=SWBBL
NICL,490.0,486.0,1047.0,0.82,-53.2,https://nepsealpha.com/nepse-chart?symbol=NICL
MSHL,808.3,800.1,1060.0,1.02,-23.75,https://nepsealpha.com/nepse-chart?symbol=MSHL
PRVU,182.0,179.9,250.9,1.17,-27.46,https://nepsealpha.com/nepse-chart?symbol=PRVU
SMJC,485.1,479.0,735.0,1.27,-34.0,https://nepsealpha.com/nepse-chart?symbol=SMJC
MLBSL,1875.0,1851.0,2569.0,1.3,-27.01,https://nepsealpha.com/nepse-chart?symbol=MLBSL
BGWT,760.0,750.0,1178.1,1.33,-35.49,https://nepsealpha.com/nepse-chart?symbol=BGWT
MLBBL,1303.6,1285.0,2019.0,1.45,-35.43,https://nepsealpha.com/nepse-chart?symbol=MLBBL
CSY,9.17,9.03,10.0,1.55,-8.3,https://nepsealpha.com/nepse-chart?symbol=CSY
NLG,670.3,660.0,1081.9,1.56,-38.04,https://nepsealpha.com/nepse-chart?symbol=NLG
AHL,540.5,532.0,865.9,1.6,-37.58,https://nepsealpha.com/nepse-chart?symbol=AHL
GLBSL,1894.1,1862.1,3486.0,1.72,-45.67,https://nepsealpha.com/nepse-chart?symbol=GLBSL
NMB,235.0,231.0,283.0,1.73,-16.96,https://nepsealpha.com/nepse-chart?symbol=NMB
UNLB,1850.0,1818.4,2794.0,1.74,-33.79,https://nepsealpha.com/nepse-chart?symbol=UNLB
HLI,361.0,354.8,477.0,1.75,-24.32,https://nepsealpha.com/nepse-chart?symbol=HLI
MCHL,420.0,412.5,685.0,1.82,-38.69,https://nepsealpha.com/nepse-chart?symbol=MCHL
USLB,1434.0,1407.0,2750.0,1.92,-47.85,https://nepsealpha.com/nepse-chart?symbol=USLB
MLBS,1423.0,1395.0,2305.0,2.01,-38.26,https://nepsealpha.com/nepse-chart?symbol=MLBS
SMPDA,860.0,840.0,1155.0,2.38,-25.54,https://nepsealpha.com/nepse-chart?symbol=SMPDA
CHCL,466.9,456.0,599.6,2.39,-22.13,https://nepsealpha.com/nepse-chart?symbol=CHCL
PCBL,231.5,226.0,290.0,2.43,-20.17,https://nepsealpha.com/nepse-chart?symbol=PCBL
CITY,472.3,461.0,998.4,2.45,-52.69,https://nepsealpha.com/nepse-chart?symbol=CITY
HBL,188.6,184.0,261.0,2.5,-27.74,https://nepsealpha.com/nepse-chart?symbol=HBL
NMLBBL,615.0,600.0,807.0,2.5,-23.79,https://nepsealpha.com/nepse-chart?symbol=NMLBBL
CGH,821.1,800.2,1150.0,2.61,-28.6,https://nepsealpha.com/nepse-chart?symbol=CGH
LSL,206.4,201.0,252.0,2.69,-18.1,https://nepsealpha.com/nepse-chart?symbol=LSL
SHLB,1582.0,1540.2,2845.0,2.71,-44.39,https://nepsealpha.com/nepse-chart?symbol=SHLB
KBSH,1662.0,1618.0,3000.8,2.72,-44.61,https://nepsealpha.com/nepse-chart?symbol=KBSH
CZBIL,188.1,183.0,240.1,2.79,-21.66,https://nepsealpha.com/nepse-chart?symbol=CZBIL
NICLBSL,550.0,535.0,764.0,2.8,-28.01,https://nepsealpha.com/nepse-chart?symbol=NICLBSL
HDL,1134.0,1103.0,1556.1,2.81,-27.13,https://nepsealpha.com/nepse-chart?symbol=HDL
GCIL,411.5,400.0,613.0,2.88,-32.87,https://nepsealpha.com/nepse-chart?symbol=GCIL
ALICL,442.8,430.0,831.0,2.98,-46.71,https://nepsealpha.com/nepse-chart?symbol=ALICL
NMFBS,1119.0,1086.0,1504.0,3.04,-25.6,https://nepsealpha.com/nepse-chart?symbol=NMFBS
MKCL,1374.0,1333.0,1900.0,3.08,-27.68,https://nepsealpha.com/nepse-chart?symbol=MKCL
SWMF,661.0,641.1,868.1,3.1,-23.86,https://nepsealpha.com/nepse-chart?symbol=SWMF
RURU,660.0,640.0,853.0,3.12,-22.63,https://nepsealpha.com/nepse-chart?symbol=RURU
VLBS,760.0,737.0,1008.0,3.12,-24.6,https://nepsealpha.com/nepse-chart?symbol=VLBS
IHL,506.0,490.0,830.0,3.27,-39.04,https://nepsealpha.com/nepse-chart?symbol=IHL
RAWA,709.0,686.0,990.0,3.35,-28.38,https://nepsealpha.com/nepse-chart?symbol=RAWA
JBLB,1313.9,1270.7,1644.0,3.4,-20.08,https://nepsealpha.com/nepse-chart?symbol=JBLB
UNL,46600.0,45000.0,50724.0,3.56,-8.13,https://nepsealpha.com/nepse-chart?symbol=UNL
NIFRA,258.8,249.9,328.1,3.56,-21.12,https://nepsealpha.com/nepse-chart?symbol=NIFRA
MATRI,965.0,930.1,1410.0,3.75,-31.56,https://nepsealpha.com/nepse-chart?symbol=MATRI
UMRH,546.0,526.0,778.4,3.8,-29.86,https://nepsealpha.com/nepse-chart?symbol=UMRH
FOWAD,1051.0,1012.4,1324.4,3.81,-20.64,https://nepsealpha.com/nepse-chart?symbol=FOWAD
NHDL,647.0,623.0,1002.6,3.85,-35.47,https://nepsealpha.com/nepse-chart?symbol=NHDL
BEDC,522.0,501.0,960.0,4.19,-45.62,https://nepsealpha.com/nepse-chart?symbol=BEDC
SALICO,594.0,570.1,775.0,4.19,-23.35,https://nepsealpha.com/nepse-chart?symbol=SALICO
KBL,183.0,175.5,233.5,4.27,-21.63,https://nepsealpha.com/nepse-chart?symbol=KBL
MLBL,364.1,348.9,488.0,4.36,-25.39,https://nepsealpha.com/nepse-chart?symbol=MLBL
BNL,15550.0,14896.0,22500.0,4.39,-30.89,https://nepsealpha.com/nepse-chart?symbol=BNL
SLBBL,817.0,780.0,1159.4,4.74,-29.53,https://nepsealpha.com/nepse-chart?symbol=SLBBL
GMFBS,1458.0,1392.0,1980.0,4.74,-26.36,https://nepsealpha.com/nepse-chart?symbol=GMFBS
NUBL,681.0,650.0,854.4,4.77,-20.29,https://nepsealpha.com/nepse-chart?symbol=NUBL
MANDU,803.7,766.5,1001.9,4.85,-19.78,https://nepsealpha.com/nepse-chart?symbol=MANDU
SICL,618.0,588.8,891.0,4.96,-30.64,https://nepsealpha.com/nepse-chart?symbol=SICL
MND84/85,1068.0,1015.0,1128.0,5.22,-5.32,https://nepsealpha.com/nepse-chart?symbol=MND84/85
MAKAR,542.0,515.0,845.0,5.24,-35.86,https://nepsealpha.com/nepse-chart?symbol=MAKAR
RBCL,15000.0,14251.0,16900.0,5.26,-11.24,https://nepsealpha.com/nepse-chart?symbol=RBCL
MHCL,382.1,363.0,655.0,5.26,-41.66,https://nepsealpha.com/nepse-chart?symbol=MHCL
SHL,489.0,464.0,619.0,5.39,-21.0,https://nepsealpha.com/nepse-chart?symbol=SHL
PFL,372.0,352.8,518.0,5.44,-28.19,https://nepsealpha.com/nepse-chart?symbol=PFL
CYCL,1542.0,1462.0,2040.0,5.47,-24.41,https://nepsealpha.com/nepse-chart?symbol=CYCL
NABIL,497.0,471.0,562.0,5.52,-11.57,https://nepsealpha.com/nepse-chart?symbol=NABIL
SBLD84,1071.2,1015.0,1115.0,5.54,-3.93,https://nepsealpha.com/nepse-chart?symbol=SBLD84
MNBBL,359.0,340.1,503.0,5.56,-28.63,https://nepsealpha.com/nepse-chart?symbol=MNBBL
NLICL,569.0,539.0,738.0,5.57,-22.9,https://nepsealpha.com/nepse-chart?symbol=NLICL
SHINE,403.5,382.0,499.0,5.63,-19.14,https://nepsealpha.com/nepse-chart?symbol=SHINE
DLBS,1310.0,1240.0,1966.0,5.65,-33.37,https://nepsealpha.com/nepse-chart?symbol=DLBS
SRLI,384.5,363.9,480.0,5.66,-19.9,https://nepsealpha.com/nepse-chart?symbol=SRLI
GBIME,223.2,210.7,278.9,5.93,-19.97,https://nepsealpha.com/nepse-chart?symbol=GBIME
SONA,421.6,398.0,545.0,5.93,-22.64,https://nepsealpha.com/nepse-chart?symbol=SONA
AVYAN,960.0,906.0,1291.0,5.96,-25.64,https://nepsealpha.com/nepse-chart?symbol=AVYAN
SFCL,381.0,359.4,647.0,6.01,-41.11,https://nepsealpha.com/nepse-chart?symbol=SFCL
NICA,323.0,304.5,428.4,6.08,-24.6,https://nepsealpha.com/nepse-chart?symbol=NICA
