Symbol,Date,Open,High,Low,Close,Volume
ILBS,2025-01-23,951.0,966.0,943.0,955.0,2646862.2
ILI,2025-01-23,492.0,499.0,483.2,485.9,17154881.4
JBBD87,2025-01-23,1050.0,1050.0,1050.0,1050.0,315000.0
JBBL,2025-01-23,363.1,363.1,350.5,352.0,18712535.5
JBLB,2025-01-23,1355.0,1375.0,1335.0,1335.0,6751781.0
JFL,2025-01-23,504.0,505.0,470.1,471.0,85155474.9
JOSHI,2025-01-23,430.0,430.0,415.0,416.0,24365517.5
JSLBB,2025-01-23,1632.0,1632.0,1576.0,1630.0,2896281.9
KBL,2025-01-23,198.0,205.0,198.0,198.2,34961326.2
KBLD89,2025-01-23,1140.3,1140.3,1140.3,1139.8,5676.7
KBSH,2025-01-23,2475.0,2483.6,2430.0,2479.9,3443855.9
KDBY,2025-01-23,9.54,9.54,9.3,9.48,32960.0
KDL,2025-01-23,1139.0,1139.0,1082.0,1086.0,4811030.2
KEF,2025-01-23,9.08,9.08,8.82,8.88,151655.5
KKHC,2025-01-23,382.0,382.0,368.0,373.0,28348950.9
KMCDB,2025-01-23,1055.0,1080.0,1035.3,1058.9,2354782.0
KPCL,2025-01-23,565.0,565.0,548.0,553.9,19659104.8
KSBBL,2025-01-23,451.0,452.0,438.1,440.0,22659155.3
KSY,2025-01-23,8.75,8.75,8.45,8.45,15345.0
LBBL,2025-01-23,473.0,482.0,452.1,457.9,12278826.5
LBBLD89,2025-01-23,1185.8,1185.8,1165.0,1165.0,116500.3
LEC,2025-01-23,214.0,218.0,207.3,209.1,7875543.1
LICN,2025-01-23,1099.9,1125.0,1090.0,1090.1,13743714.2
LLBS,2025-01-23,1116.0,1160.5,1074.0,1130.0,945800.0
LSL,2025-01-23,213.9,216.0,209.1,209.1,16419399.1
LUK,2025-01-23,9.75,9.75,9.36,9.72,36252.0
LVF2,2025-01-23,8.96,9.2,8.96,9.2,9034.0
MAKAR,2025-01-23,673.9,695.0,673.9,685.0,33435118.1
MANDU,2025-01-23,965.0,985.0,940.0,966.0,14679518.0
MATRI,2025-01-23,1161.0,1204.0,1161.0,1188.0,2981561.0
MBJC,2025-01-23,355.2,362.3,352.0,352.9,21354907.3
MBL,2025-01-23,229.5,231.5,224.0,224.0,12787510.0
