Ticker,Stock Name,Sector,Today's Price,Market Cap,Daily Change (%),Weekly Change (%),Monthly Change (%),3-Month Change (%),Yearly Change (%),5-Year Change (%),EPS (Trailing),P/E Ratio,P/B Ratio,Total Revenue (Latest Quarter),Total Revenue (Previous Quarter),Total Revenue % Change,Gross Profit (Latest),Gross Profit (Previous),Gross Profit % Change,Net Profit (Latest),Net Profit (Previous),Net Profit % Change,Annualized EPS (Latest),Annualized EPS (Previous),Annualized EPS % Change,Book Value per Share (Latest),Book Value per Share (Previous),Book Value per Share % Change,Total Assets (Latest),Total Assets (Previous),Total Assets % Change,Total Liabilities (Latest),Total Liabilities (Previous),Total Liabilities % Change,Paid-up Capital (Latest),Paid-up Capital (Previous),Paid-up Capital % Change,Reserves (Latest),Reserves (Previous),Reserves % Change,ROE,D/E Ratio
PMHPL,Panchakanya Mai Hydropower,Hydro Power,398.00,4.38 Ar,+2.84%,+3.11%,+19.16%,+26.31%,+33.96%,+110.58%,15.26,26.07,4.68,229581.22,118568.11,+93.63%,201520.77,98959.43,+103.64%,83956.08,36683.0,+128.87%,15.26,13.34,+14.43%,84.95,80.61,+5.39%,2555451.74,2603614.35,-1.85%,1620973.76,1716907.15,-5.59%,1100000.0,1100000.0,0.00%,-165522.02,-213292.8,-22.40%,0.1796,1.7346
PMLI,Prabhu Mahalaxmi Life Insurance Limited,Life Insurance,515.00,26.28 Ar,+1.38%,+0.63%,+8.42%,+11.11%,+0.88%,-8.45%,5.02,102.64,4.95,3402147.7,1727094.05,+96.99%,520587.44,280386.38,+85.67%,133159.6,63774.91,+108.80%,5.02,5.0,+0.38%,113.02,116.56,-3.03%,22865562.17,21784981.93,+4.96%,16866456.56,15836145.76,+6.51%,5307793.92,5103648.0,+4.00%,218053.33,584764.43,-62.71%,0.0444,2.8115
PPCL,Panchthar Power Company Ltd.,Hydro Power,434.00,4.18 Ar,+2.12%,+2.14%,+18.55%,+28.78%,+33.13%,+77.25%,18.8,23.08,4.37,239491.71,145239.76,+64.89%,227603.7,135236.78,+68.30%,90491.04,51535.76,+75.59%,18.8,21.42,-12.21%,99.2,96.03,+3.31%,2913979.58,2950620.87,-1.24%,1959143.77,2026345.26,-3.32%,962500.0,962500.0,0.00%,-7664.19,-38224.4,-79.95%,0.1895,2.0518
PPL,Peoples Power Limited,Hydro Power,406.00,3.85 Ar,+1.50%,+0.02%,+6.01%,+29.38%,+4.68%,+99.21%,-0.47,-866.91,3.88,31715.0,31751.0,-0.11%,24558.0,27815.0,-11.71%,-2222.0,12604.0,-117.63%,-0.47,5.31,-108.81%,104.65,106.21,-1.47%,994618.0,1009940.0,-1.52%,1632.0,2129.0,-23.34%,948900.0,948900.0,0.00%,44086.0,58913.0,-25.17%,-0.0045,0.0016
PRIN,Prabhu Insurance,Non Life Insurance,763.20,12.98 Ar,+0.69%,-0.35%,+9.03%,+14.94%,-7.83%,+37.15%,14.4,53.0,2.45,487663.45,243892.89,+99.95%,339011.48,182063.78,+86.20%,122459.87,63139.75,+93.95%,14.4,14.85,-3.03%,203.11,202.27,+0.41%,7658997.3,7610268.8,+0.64%,4204245.71,4169754.25,+0.83%,1700955.92,1700955.92,0.00%,199493.81,249233.74,-19.96%,0.0709,1.2169
PROFL,Progressive Finance,Finance,489.00,4.19 Ar,+2.09%,-0.20%,+9.40%,+9.89%,-9.44%,+229.42%,-6.9,-70.89,6.61,269721.13,142227.91,+89.64%,91774.29,50840.75,+80.51%,-29251.96,-39080.6,-25.15%,-6.9,-18.43,-62.57%,73.93,73.6,+0.45%,8466934.64,8183016.6,+3.47%,7839943.12,7558850.85,+3.72%,848106.0,848106.0,0.00%,-221114.48,-223940.24,-1.26%,-0.0933,12.5041
PRSF,Prabhu Smart Fund,Mutual Fund,11.57,1.16 Ar,+0.17%,+0.52%,+3.49%,+9.15%,+24.95%,+38.99%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRVU,Prabhu Bank,Commercial Banks,223.30,52.57 Ar,+3.76%,+4.74%,+22.69%,+22.09%,+3.86%,-39.86%,8.62,25.91,1.53,11726578.0,6459930.0,+81.53%,4984000.0,2895276.0,+72.14%,1014457.0,558483.0,+81.65%,8.62,9.49,-9.18%,146.17,163.55,-10.63%,410577088.0,419253360.0,-2.07%,376164044.0,380748729.0,-1.20%,23542490.0,23542490.0,0.00%,10870554.0,14962140.0,-27.35%,0.059,10.9309
PSF,Prabhu Select Fund,Mutual Fund,11.57,1.45 Ar,-0.26%,-0.26%,+4.42%,+9.15%,+26.91%,+45.66%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURE,Pure Energy Limited,Hydro Power,999.00,7.99 Ar,+3.52%,+1.01%,+6.86%,+10.40%,+213.95%,+213.95%,2.31,432.99,9.83,116113.83,65515.19,+77.23%,108727.62,61813.91,+75.90%,9228.92,9005.48,+2.48%,2.31,4.5,-48.76%,101.63,101.61,+0.03%,2291671.21,2322223.39,-1.32%,1478604.39,1509380.01,-2.04%,800000.0,800000.0,0.00%,13066.82,12843.38,+1.74%,0.0227,1.8186
