Symbol,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
HURJA,47,118.0,247.8,0.0,6100.6,6100.6,110.0
UNHPL,65,415.38,480.0,0.0,4200.0,4200.0,15.56
SSHL,200,190.0,180.5,0.0,-1900.0,-1900.0,-5.0
DORDI,130,307.54,267.0,0.0,-5270.0,-5270.0,-13.18
MEL,164,323.0,281.9,0.0,-6740.4,-6740.4,-12.72
PPCL,10,390.0,364.5,-8000.0,-255.0,-8255.0,-211.67
AKJCL,535,384.15,343.0,10335.0,-22015.0,-11680.0,-5.68
SINDU,115,866.3,738.5,0.0,-14697.5,-14697.5,-14.75
HLBSL,95,1079.0,904.0,0.0,-16625.0,-16625.0,-16.22
SAGAR,90,2220.0,1819.9,0.0,-36009.0,-36009.0,-18.02
GBLBS,60,1519.0,742.0,0.0,-46620.0,-46620.0,-51.15
