Trade_ID,Symbol,Action,Quantity,Price,Date
1,AKJCL,Buy,10,220,2025-03-24
2,DORDI,Buy,120,312,2025-09-02
3,HLBSL,Buy,95,1079,2025-02-10
4,GBLBS,Buy,20,3007,2025-12-17
5,HURJA,Buy,47,118,2025-01-30
6,MEL,Buy,164,323,2025-08-22
7,PPCL,Buy,510,390,2025-08-22
8,UNHPL,Buy,20,315,2025-04-17
9,SINDU,Buy,25,765,2025-06-26
10,SINDU,Buy,40,1100,2025-02-06
10,SINDU,Buy,50,730,2025-12-31
11,DORDI,Buy,10,254,2025-12-31
12,UNHPL,Buy,45,460,2026-01-05
13,AKJCL,Buy,140,285,2026-01-26





