Symbol,Latest_Close,52_Week_Low,Distance_from_Low_%,Date_at_52W_Low
GUFLPO,298.0,331.0,-9.97,N/A
ACLBSLP,512.0,556.0,-7.91,N/A
CZBILP,100.0,105.8,-5.48,N/A
SMATAP,421.0,441.0,-4.54,N/A
HBLPO,111.6,115.0,-2.96,N/A
CORBL,1120.0,1147.0,-2.35,N/A
SRBLD83,1015.0,1024.2,-0.9,N/A
PBD84,1067.0,1070.2,-0.3,N/A
FOWADP,550.0,550.0,0.0,N/A
JBBLPO,181.4,181.4,0.0,N/A
KBLPO,100.0,100.0,0.0,N/A
CYCLP,831.0,831.0,0.0,N/A
LBBLPO,261.0,261.0,0.0,N/A
MATRIP,523.5,523.5,0.0,N/A
BFCPO,250.0,250.0,0.0,N/A
CORBLP,100.0,100.0,0.0,N/A
NMLBBLP,334.0,334.0,0.0,N/A
PMLIP,255.0,255.0,0.0,N/A
NMFBSP,610.0,610.0,0.0,N/A
NLICP,413.0,413.0,0.0,N/A
NABILP,301.1,301.1,0.0,N/A
MLBSP,698.0,698.0,0.0,N/A
NLICLP,321.0,321.0,0.0,N/A
MLBSLP,100.0,100.0,0.0,N/A
PRVUPO,100.0,100.0,0.0,N/A
SFCLP,164.0,164.0,0.0,N/A
SLBBLP,443.0,443.0,0.0,N/A
SIFCPO,286.0,286.0,0.0,N/A
SHINEP,222.0,222.0,0.0,N/A
RLFLPO,268.6,268.6,0.0,N/A
KMCDBP,587.0,587.0,0.0,N/A
ALICLP,252.0,252.0,0.0,N/A
SBLD83,1038.0,1038.0,0.0,N/A
SBLD2082,1045.2,1045.1,0.01,N/A
NICD83/84,1027.0,1025.9,0.11,N/A
SBLD84,1031.1,1029.0,0.2,N/A
SBID83,1055.0,1050.0,0.48,N/A
ULI,358.0,355.0,0.85,N/A
RBBF40,9.03,8.95,0.89,N/A
ADBLD83,1025.0,1015.0,0.99,N/A
ADBLB86,1010.0,1000.0,1.0,N/A
MLBSL,1653.0,1633.0,1.22,N/A
CBBLPO,395.0,390.0,1.28,N/A
HBLD83,1013.1,1000.0,1.31,N/A
SLBSL,1085.0,1071.0,1.31,N/A
RBCL,14206.0,14000.0,1.47,N/A
