Symbol,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
AKJCL,35,388.0,402.0,23395.0,490.0,23885.0,175.88
SSHL,0,0.0,221.9,15000.0,0.0,15000.0,0.0
HURJA,47,118.0,263.0,0.0,6815.0,6815.0,122.88
UNHPL,65,415.38,434.0,0.0,1210.0,1210.0,4.48
DORDI,130,307.54,277.5,0.0,-3905.0,-3905.0,-9.77
PPCL,10,390.0,380.0,-8000.0,-100.0,-8100.0,-207.69
MEL,164,323.0,238.1,0.0,-13923.6,-13923.6,-26.28
SINDU,115,866.3,720.0,0.0,-16825.0,-16825.0,-16.89
HLBSL,95,1079.0,898.0,0.0,-17195.0,-17195.0,-16.77
GBLBS,60,1519.0,775.9,0.0,-44586.0,-44586.0,-48.92
SAGAR,90,2220.0,1717.0,0.0,-45270.0,-45270.0,-22.66
