Symbol,Date,Open,High,Low,Close,Percent Change,Volume,EMA_20,EMA_50,RSI,30D_Avg_Volume,Slope_20,Slope_50,Crossover
API,2025-12-18,290.0,290.8,287.0,288.0,-0.69,103102.0,285.9464146772276,285.83578638288355,40.601495133244924,91157.2,0.21253133762561446,0.07206138308150685,True
MPFL,2025-12-18,573.3,595.0,573.3,588.9,0.67,68094.0,556.2450568519712,555.2927670082522,69.7916415002931,16841.166666666668,1.5728073815280823,0.5077109075315775,True
PCBL,2025-12-17,253.0,253.2,248.3,252.0,0.8,75655.0,247.61776729589084,247.55375490069662,46.93876809582112,55906.433333333334,0.1391018619512238,0.039486600599735765,True
BFC,2025-12-08,490.0,490.0,480.1,483.9,-0.23,26559.0,475.78195852067853,475.39896031480197,66.20925211018779,31223.633333333335,0.761513206395955,0.2608187747036368,True
SBI,2025-11-30,413.9,413.9,397.5,405.0,-0.44,25352.0,396.57221575906595,396.1139405207683,67.2810962695446,27526.833333333332,0.6888169622247233,0.24154323634952563,True
NHDL,2025-11-30,701.0,718.0,700.7,710.0,-0.7,3086.0,689.7117705944306,688.4989235687752,64.53957423311674,4179.166666666667,1.8020135269724051,0.6419197172034501,True
PPCL,2025-11-26,340.0,344.0,334.3,343.0,0.97,34554.0,327.8897685558169,327.1440663218006,61.39131570106345,24480.3,1.5323086256715441,0.5463505162338607,True
NIFRA,2025-11-25,286.0,288.6,280.0,288.6,1.26,319730.0,273.77355362226655,273.67828292812914,66.52891728227232,166732.1,0.9203848482222498,0.29774723144034854,True
NLICL,2025-11-23,610.0,618.0,600.0,618.0,3.17,87785.0,603.6206926436982,603.3728393467622,44.69214850062266,19352.433333333334,0.269706821699674,0.0878062256732619,True
SPDL,2025-11-03,423.0,438.0,422.1,437.0,3.31,562831.0,400.7415511542109,400.0032341726794,56.60377556021743,156679.6,1.8125669829917002,0.5941773326280668,True
SCB,2025-09-02,670.0,679.3,657.0,661.75,0.27,119242.0,639.5882614788404,639.0783371291873,66.75630892747549,34527.96666666667,0.7431331234208756,0.2271182672918485,True
NABBC,2025-08-03,1691.0,1820.0,1691.0,1722.86,3.86,22637.0,1639.7384259128187,1635.3234134926147,52.02404319774446,27518.366666666665,2.9633824370813273,1.0446005968823102,True
