Symbol,Score,Signal,Close,RSI,Trend,52W_Position_%,Volume_Ratio,Momentum_5D_%,Factors
CFCL,60,BUY,527.9,33.0,UP,31.2,0.18,-5.7,"Low_RSI, Strong_Uptrend, Above_200SMA, Below_BB_Middle, Negative_5D_Momentum_Reversal"
GHL,60,BUY,260.0,64.1,UP,53.3,1.72,12.5,"Strong_Uptrend, Above_200SMA, High_Volume, Positive_5D_Momentum, Strong_20D_Momentum"
MHNL,60,BUY,290.0,60.1,UP,78.6,1.69,7.9,"Strong_Uptrend, Above_200SMA, High_Volume, Positive_5D_Momentum, Strong_20D_Momentum"
LEC,60,BUY,237.0,59.5,UP,74.8,1.67,12.9,"Strong_Uptrend, Above_200SMA, High_Volume, Positive_5D_Momentum, Strong_20D_Momentum"
NABBC,60,BUY,1579.0,52.7,UP,68.4,0.52,-7.9,"Strong_Uptrend, Above_200SMA, Below_BB_Middle, Negative_5D_Momentum_Reversal, Strong_20D_Momentum"
SIFC,60,BUY,575.0,44.1,UP,58.3,0.21,-9.4,"Strong_Uptrend, Above_200SMA, Below_BB_Middle, Negative_5D_Momentum_Reversal, Strong_20D_Momentum"
GLH,55,BUY,280.5,64.1,UP,71.2,1.38,8.3,"Strong_Uptrend, Above_200SMA, Above_Avg_Volume, Positive_5D_Momentum, Strong_20D_Momentum"
GUFL,55,BUY,553.0,27.1,UP,39.4,0.3,-2.5,"Oversold_RSI, Strong_Uptrend, Above_200SMA, Below_BB_Middle"
MFIL,50,BUY,791.0,37.7,UP,76.9,0.43,-0.6,"Low_RSI, Strong_Uptrend, Above_200SMA, Below_BB_Middle"
MPFL,50,BUY,625.0,34.3,UP,51.0,0.35,-2.8,"Low_RSI, Strong_Uptrend, Above_200SMA, Below_BB_Middle"
NHPC,50,BUY,229.0,60.2,UP,83.9,0.91,10.6,"Strong_Uptrend, Above_200SMA, Positive_5D_Momentum, Strong_20D_Momentum"
PLI,50,BUY,587.0,51.8,UP,79.1,0.62,-1.7,"Strong_Uptrend, Above_200SMA, Below_BB_Middle, Strong_20D_Momentum"
PMHPL,45,WATCH,347.0,57.2,UP,45.2,0.56,0.6,"Strong_Uptrend, Above_200SMA, Strong_20D_Momentum"
HDHPC,45,WATCH,211.5,61.8,UP,84.5,0.52,2.8,"Strong_Uptrend, Above_200SMA, Strong_20D_Momentum"
TPC,45,WATCH,407.4,69.3,UP,34.5,2.76,3.4,"Strong_Uptrend, Above_200SMA, High_Volume"
AHPC,45,WATCH,298.0,70.7,UP,67.8,2.33,13.7,"Overbought_RSI, Strong_Uptrend, Above_200SMA, High_Volume, Positive_5D_Momentum, Strong_20D_Momentum"
GFCL,45,WATCH,635.0,24.3,DOWN,27.5,0.21,-2.9,"Oversold_RSI, Above_200SMA, Lower_Half_Range, Below_BB_Middle"
UMHL,40,WATCH,615.6,45.9,UP,80.7,0.23,-2.7,"Strong_Uptrend, Above_200SMA, Below_BB_Middle"
KKHC,40,WATCH,299.0,77.1,UP,34.6,1.42,30.6,"Overbought_RSI, Strong_Uptrend, Above_200SMA, Above_Avg_Volume, Positive_5D_Momentum, Strong_20D_Momentum"
MDB,40,WATCH,630.0,45.5,UP,46.8,0.33,-1.6,"Strong_Uptrend, Above_200SMA, Below_BB_Middle"
ALICL,40,WATCH,461.0,26.6,DOWN,4.1,1.96,-2.8,"Oversold_RSI, Below_200SMA, Near_52W_Low, Below_BB, High_Volume"
AKPL,40,WATCH,283.2,71.8,UP,82.8,1.37,7.3,"Overbought_RSI, Strong_Uptrend, Above_200SMA, Above_Avg_Volume, Positive_5D_Momentum, Strong_20D_Momentum"
UNHPL,40,WATCH,509.0,63.1,UP,88.0,1.25,2.4,"Strong_Uptrend, Above_200SMA, Near_52W_High, Above_Avg_Volume, Strong_20D_Momentum"
HURJA,35,WATCH,281.3,73.4,UP,100.0,2.55,15.3,"Overbought_RSI, Strong_Uptrend, Above_200SMA, Near_52W_High, High_Volume, Positive_5D_Momentum, Strong_20D_Momentum"
BPCL,35,WATCH,721.9,24.0,DOWN,52.1,0.31,-2.4,"Oversold_RSI, Above_200SMA, Below_BB_Middle"
MNBBL,35,WATCH,361.3,24.4,UP,12.8,0.53,-0.6,"Oversold_RSI, Weak_Uptrend, Below_200SMA, Near_52W_Low, Below_BB_Middle"
OHL,35,WATCH,709.0,40.4,UP,11.9,1.48,-3.2,"Strong_Uptrend, Below_200SMA, Near_52W_Low, Below_BB_Middle, Above_Avg_Volume"
PPCL,35,WATCH,377.0,55.2,UP,84.0,0.37,0.5,"Strong_Uptrend, Above_200SMA"
SHEL,35,WATCH,328.0,74.9,UP,91.9,7.17,14.1,"Overbought_RSI, Strong_Uptrend, Above_200SMA, Near_52W_High, High_Volume, Positive_5D_Momentum, Strong_20D_Momentum"
SINDU,35,WATCH,757.0,52.0,UP,18.5,0.31,-10.1,"Strong_Uptrend, Below_200SMA, Lower_Half_Range, Below_BB_Middle, Negative_5D_Momentum_Reversal"
SCB,35,WATCH,640.0,61.2,UP,47.5,0.7,1.4,"Strong_Uptrend, Above_200SMA"
SBL,35,WATCH,373.0,31.3,DOWN,81.5,1.39,-2.0,"Low_RSI, Above_200SMA, Below_BB_Middle, Above_Avg_Volume"
ICFC,35,WATCH,649.0,25.0,DOWN,55.7,0.24,-1.4,"Oversold_RSI, Above_200SMA, Below_BB_Middle"
API,35,WATCH,303.0,55.3,UP,65.8,0.92,2.4,"Strong_Uptrend, Above_200SMA"
CHL,35,WATCH,295.0,60.3,UP,19.3,0.72,5.4,"Strong_Uptrend, Below_200SMA, Lower_Half_Range, Positive_5D_Momentum, Strong_20D_Momentum"
SPDL,30,WATCH,400.0,55.0,UP,60.5,0.62,-1.9,"Weak_Uptrend, Above_200SMA, Below_BB_Middle"
