Symbol,Date,Signal,Close_at_Crossover,Latest_Close,P/L_%
GHL,2026-02-26,BUY,240.0,240.0,0.0
MDB,2026-02-26,BUY,637.5,637.5,0.0
NHPC,2026-02-26,BUY,224.0,224.0,0.0
SCB,2026-02-26,BUY,647.1,647.1,0.0
HDHPC,2026-02-19,BUY,195.1,193.9,-0.62
HURJA,2026-02-19,BUY,263.0,255.0,-3.04
SADBL,2026-02-19,BUY,412.0,416.5,1.09
EDBL,2026-02-19,SELL,590.0,583.2,1.15
SAHAS,2026-02-19,SELL,556.0,566.0,-1.8
GLH,2026-02-12,BUY,284.0,264.0,-7.04
CORBL,2026-02-12,SELL,1660.0,1615.0,2.71
AHPC,2026-02-05,BUY,277.0,280.0,1.08
CORBL,2026-02-05,BUY,1929.0,1615.0,-16.28
MPFL,2026-02-05,BUY,657.0,618.5,-5.86
AKJCL,2026-01-29,BUY,312.0,352.0,12.82
NABBC,2026-01-29,BUY,1580.0,1422.9,-9.94
SBI,2026-01-29,BUY,408.0,410.0,0.49
SIFC,2026-01-29,BUY,648.0,584.9,-9.74
AHPC,2026-01-29,SELL,272.0,280.0,-2.94
EDBL,2026-01-22,BUY,668.0,583.2,-12.69
ICFC,2026-01-22,BUY,695.0,650.0,-6.47
HPPL,2026-01-22,SELL,477.1,463.0,2.96
NHDL,2026-01-15,SELL,660.0,643.1,2.56
NRN,2026-01-15,SELL,1382.5,1495.0,-8.14
PCBL,2026-01-08,SELL,237.0,234.8,0.93
NHDL,2026-01-01,BUY,742.0,643.1,-13.33
PCBL,2026-01-01,BUY,261.6,234.8,-10.24
CORBL,2026-01-01,SELL,1580.0,1615.0,-2.22
MKJC,2026-01-01,SELL,510.4,522.0,-2.27
NIFRA,2026-01-01,SELL,265.0,261.5,1.32
NMB,2026-01-01,SELL,238.8,238.5,0.13
RURU,2026-01-01,SELL,670.5,657.6,1.92
MFIL,2025-12-25,BUY,709.0,806.0,13.68
ADBL,2025-12-25,SELL,288.0,298.0,-3.47
GBIME,2025-12-25,SELL,228.0,226.7,0.57
NHDL,2025-12-25,SELL,680.0,643.1,5.43
NHDL,2025-12-18,BUY,743.5,643.1,-13.5
SHL,2025-12-18,SELL,494.7,493.1,0.32
EDBL,2025-12-11,SELL,580.0,583.2,-0.55
GLH,2025-12-11,SELL,247.0,264.0,-6.88
SADBL,2025-12-11,SELL,379.8,416.5,-9.66
MEN,2025-12-04,SELL,554.5,583.0,-5.14
MNBBL,2025-12-04,SELL,347.9,360.4,-3.59
MEN,2025-11-27,BUY,670.1,583.0,-13.0
NMB,2025-11-27,BUY,260.0,238.5,-8.27
KSBBL,2025-11-27,SELL,444.0,458.0,-3.15
NMB,2025-11-20,SELL,237.0,238.5,-0.63
UMRH,2025-11-20,SELL,550.1,552.0,-0.35
RURU,2025-11-13,BUY,830.0,657.6,-20.77
