Symbol,Latest_Close,52_Week_Low,Distance_from_Low_%,Date_at_52W_Low
EDBLPO,324.0,408.0,-20.59,N/A
MDBPO,318.0,359.0,-11.42,N/A
ICFCD83,887.5,983.3,-9.74,N/A
ACLBSLP,512.0,556.0,-7.91,N/A
DLBS,1027.0,1081.0,-5.0,N/A
SMATAP,421.0,441.0,-4.54,N/A
MKCL,920.0,953.1,-3.47,N/A
SBLD83,1006.2,1038.0,-3.06,N/A
HBLPO,111.6,115.0,-2.96,N/A
KBLD86,1080.0,1096.3,-1.49,N/A
LBLD86,1083.0,1098.0,-1.37,N/A
MLBBL,997.0,1009.0,-1.19,N/A
GBLBS,671.0,679.0,-1.18,N/A
SCBD,1070.0,1080.0,-0.93,N/A
MERO,636.0,640.0,-0.62,N/A
ULHC,330.1,332.0,-0.57,N/A
SMFBS,1408.0,1415.0,-0.49,N/A
MANDU,763.9,766.0,-0.27,N/A
NICD83/84,1002.8,1005.0,-0.22,N/A
MSHL,575.0,576.0,-0.17,N/A
RBBD83,1010.3,1010.9,-0.06,N/A
NMLBBL,494.5,494.7,-0.04,N/A
LBBLPO,261.0,261.0,0.0,N/A
KMCDBP,587.0,587.0,0.0,N/A
MLBSP,698.0,698.0,0.0,N/A
JBBLPO,181.4,181.4,0.0,N/A
GUFLPO,298.0,298.0,0.0,N/A
KBLPO,100.0,100.0,0.0,N/A
GBIMEP,100.0,100.0,0.0,N/A
NMLBBLP,334.0,334.0,0.0,N/A
MNBBLP,236.2,236.2,0.0,N/A
NABILP,301.1,301.1,0.0,N/A
NMFBSP,610.0,610.0,0.0,N/A
NLICLP,321.0,321.0,0.0,N/A
MLBSLP,100.0,100.0,0.0,N/A
NRM,295.1,295.1,0.0,N/A
NICAP,179.0,179.0,0.0,N/A
NLICP,413.0,413.0,0.0,N/A
MATRIP,523.5,523.5,0.0,N/A
SIFCPO,286.0,286.0,0.0,N/A
SHINEP,222.0,222.0,0.0,N/A
SFCLP,164.0,164.0,0.0,N/A
FOWADP,550.0,550.0,0.0,N/A
ALICLP,252.0,252.0,0.0,N/A
CORBLP,100.0,100.0,0.0,N/A
CYCLP,831.0,831.0,0.0,N/A
BFCPO,250.0,250.0,0.0,N/A
CZBILP,100.0,100.0,0.0,N/A
PMLIP,255.0,255.0,0.0,N/A
RLFLPO,268.6,268.6,0.0,N/A
UAILPO,251.0,251.0,0.0,N/A
SONA,398.0,398.0,0.0,N/A
SLBBLP,443.0,443.0,0.0,N/A
SBLD2082,1045.2,1045.1,0.01,N/A
NFS,550.1,550.0,0.02,N/A
NWCL,644.0,643.0,0.16,N/A
PBLD86,1103.0,1100.2,0.25,N/A
PBD84,1070.0,1067.0,0.28,N/A
HLI,314.0,313.1,0.29,N/A
NIMBPO,137.5,137.1,0.29,N/A
RBCLPO,11050.0,11000.0,0.45,N/A
NIBD84,1035.0,1030.0,0.49,N/A
ALICL,415.2,413.1,0.51,N/A
SRBLD83,1015.0,1008.1,0.68,N/A
SMATA,705.0,700.0,0.71,N/A
CORBL,972.0,965.0,0.73,N/A
MHCL,298.3,296.1,0.74,N/A
PBLD84,1065.1,1057.2,0.75,N/A
MLBSL,1184.2,1175.0,0.78,N/A
NUBL,587.0,582.2,0.82,N/A
ULI,358.0,355.0,0.85,N/A
FOWAD,918.0,910.0,0.88,N/A
EHPL,321.2,318.3,0.91,N/A
LICN,770.0,763.0,0.92,N/A
USLB,1085.0,1075.0,0.93,N/A
UAIL,425.0,421.0,0.95,N/A
MKJC,424.1,419.9,1.0,N/A
ADBLB86,1010.0,1000.0,1.0,N/A
BOKD86KA,1111.1,1100.0,1.01,N/A
MATRI,788.0,780.0,1.03,N/A
NESDO,1395.0,1380.1,1.08,N/A
NMB50,9.86,9.75,1.13,N/A
RBBF40,8.91,8.8,1.25,N/A
SRLI,368.5,363.9,1.26,N/A
CBBLPO,395.0,390.0,1.28,N/A
JFL,380.0,375.0,1.33,N/A
SJCL,265.5,262.0,1.34,N/A
GMLI,1025.0,1011.0,1.38,N/A
MEHL,244.0,240.5,1.46,N/A
