Symbol,Date,50 vs 20 EMA Cross with RSI
RHGCL,2024-10-09,RHGCL - 2024-10-09 00:00:00 - Bullish Close: 423.7 - RSI: 51.77
DHPL,2024-10-09,DHPL - 2024-10-09 00:00:00 - Bullish Close: 252.0 - RSI: 55.76
MLBL,2024-10-09,MLBL - 2024-10-09 00:00:00 - Bullish Close: 407.6 - RSI: 56.47
SPDL,2024-10-09,SPDL - 2024-10-09 00:00:00 - Bullish Close: 305.0 - RSI: 54.11
NRIC,2024-10-09,NRIC - 2024-10-09 00:00:00 - Bullish Close: 813.0 - RSI: 55.08
BNT,2024-10-08,BNT - 2024-10-08 00:00:00 - Bearish Close: 14504.0 - RSI: 45.46
NABIL,2024-10-08,NABIL - 2024-10-08 00:00:00 - Bullish Close: 591.0 - RSI: 58.85
SGIC,2024-10-08,SGIC - 2024-10-08 00:00:00 - Bearish Close: 646.1 - RSI: 42.89
KSBBL,2024-10-08,KSBBL - 2024-10-08 00:00:00 - Bearish Close: 462.9 - RSI: 44.49
NESDO,2024-10-08,NESDO - 2024-10-08 00:00:00 - Bullish Close: 2298.0 - RSI: 48.78
SNLI,2024-10-07,SNLI - 2024-10-07 00:00:00 - Bullish Close: 616.0 - RSI: 58.80
BNT,2024-10-07,BNT - 2024-10-07 00:00:00 - Bullish Close: 15410.0 - RSI: 56.80
CKHL,2024-10-07,CKHL - 2024-10-07 00:00:00 - Bullish Close: 655.0 - RSI: 42.55
SHINE,2024-10-07,SHINE - 2024-10-07 00:00:00 - Bullish Close: 496.9 - RSI: 58.60
GMFIL,2024-10-07,GMFIL - 2024-10-07 00:00:00 - Bullish Close: 606.0 - RSI: 47.54
MHL,2024-10-06,MHL - 2024-10-06 00:00:00 - Bearish Close: 715.0 - RSI: 47.30
BFC,2024-10-06,BFC - 2024-10-06 00:00:00 - Bullish Close: 623.1 - RSI: 53.15
MFIL,2024-10-06,MFIL - 2024-10-06 00:00:00 - Bullish Close: 740.0 - RSI: 53.45
SIFC,2024-10-06,SIFC - 2024-10-06 00:00:00 - Bullish Close: 629.0 - RSI: 50.80
IHL,2024-10-02,IHL - 2024-10-02 00:00:00 - Bearish Close: 480.1 - RSI: 32.45
SMFBS,2024-10-02,SMFBS - 2024-10-02 00:00:00 - Bearish Close: 1416.2 - RSI: 35.41
EBL,2024-10-02,EBL - 2024-10-02 00:00:00 - Bearish Close: 603.0 - RSI: 30.91
BARUN,2024-10-02,BARUN - 2024-10-02 00:00:00 - Bullish Close: 350.0 - RSI: 53.76
SRLI,2024-10-02,SRLI - 2024-10-02 00:00:00 - Bearish Close: 451.0 - RSI: 25.11
DOLTI,2024-10-01,DOLTI - 2024-10-01 00:00:00 - Bearish Close: 496.0 - RSI: 35.06
BEDC,2024-09-30,BEDC - 2024-09-30 00:00:00 - Bearish Close: 431.0 - RSI: 42.79
CKHL,2024-09-30,CKHL - 2024-09-30 00:00:00 - Bearish Close: 622.7 - RSI: 47.32
NESDO,2024-09-30,NESDO - 2024-09-30 00:00:00 - Bearish Close: 2127.0 - RSI: 20.48
NFS,2024-09-30,NFS - 2024-09-30 00:00:00 - Bearish Close: 1219.8 - RSI: 23.51
SIFC,2024-09-30,SIFC - 2024-09-30 00:00:00 - Bearish Close: 542.0 - RSI: 31.94
RHGCL,2024-09-30,RHGCL - 2024-09-30 00:00:00 - Bearish Close: 375.0 - RSI: 37.98
MAKAR,2024-09-30,MAKAR - 2024-09-30 00:00:00 - Bearish Close: 449.0 - RSI: 28.86
MLBSL,2024-09-30,MLBSL - 2024-09-30 00:00:00 - Bearish Close: 1988.0 - RSI: 15.40
DHPL,2024-09-30,DHPL - 2024-09-30 00:00:00 - Bearish Close: 218.5 - RSI: 29.83
MFIL,2024-09-30,MFIL - 2024-09-30 00:00:00 - Bearish Close: 629.4 - RSI: 27.36
BARUN,2024-09-30,BARUN - 2024-09-30 00:00:00 - Bearish Close: 325.0 - RSI: 33.38
DDBL,2024-09-29,DDBL - 2024-09-29 00:00:00 - Bearish Close: 850.5 - RSI: 16.31
PPCL,2024-09-29,PPCL - 2024-09-29 00:00:00 - Bearish Close: 244.0 - RSI: 19.35
ENL,2024-09-29,ENL - 2024-09-29 00:00:00 - Bearish Close: 1058.4 - RSI: 45.71
NABIL,2024-09-29,NABIL - 2024-09-29 00:00:00 - Bearish Close: 541.5 - RSI: 23.83
GMFIL,2024-09-29,GMFIL - 2024-09-29 00:00:00 - Bearish Close: 496.0 - RSI: 18.05
PPL,2024-09-29,PPL - 2024-09-29 00:00:00 - Bearish Close: 437.0 - RSI: 18.63
MKCL,2024-09-29,MKCL - 2024-09-29 00:00:00 - Bearish Close: 1250.0 - RSI: 31.43
TAMOR,2024-09-29,TAMOR - 2024-09-29 00:00:00 - Bearish Close: 452.0 - RSI: 36.31
BFC,2024-09-29,BFC - 2024-09-29 00:00:00 - Bearish Close: 492.2 - RSI: 23.14
JBBL,2024-09-29,JBBL - 2024-09-29 00:00:00 - Bearish Close: 322.1 - RSI: 22.00
MLBL,2024-09-29,MLBL - 2024-09-29 00:00:00 - Bearish Close: 376.8 - RSI: 27.12
SICL,2024-09-29,SICL - 2024-09-29 00:00:00 - Bearish Close: 787.1 - RSI: 11.38
NRIC,2024-09-29,NRIC - 2024-09-29 00:00:00 - Bearish Close: 740.0 - RSI: 28.51
SJCL,2024-09-29,SJCL - 2024-09-29 00:00:00 - Bearish Close: 303.0 - RSI: 27.23
GLH,2024-09-29,GLH - 2024-09-29 00:00:00 - Bearish Close: 226.0 - RSI: 32.84
ALBSL,2024-09-26,ALBSL - 2024-09-26 00:00:00 - Bearish Close: 1000.0 - RSI: 37.43
BGWT,2024-09-26,BGWT - 2024-09-26 00:00:00 - Bearish Close: 914.0 - RSI: 35.50
SGHC,2024-09-26,SGHC - 2024-09-26 00:00:00 - Bearish Close: 374.7 - RSI: 40.53
SNLI,2024-09-26,SNLI - 2024-09-26 00:00:00 - Bearish Close: 545.1 - RSI: 23.46
PMLI,2024-09-26,PMLI - 2024-09-26 00:00:00 - Bearish Close: 565.0 - RSI: 21.15
SPDL,2024-09-26,SPDL - 2024-09-26 00:00:00 - Bearish Close: 270.0 - RSI: 30.21
CFCL,2024-09-26,CFCL - 2024-09-26 00:00:00 - Bearish Close: 506.2 - RSI: 21.40
JBLB,2024-09-26,JBLB - 2024-09-26 00:00:00 - Bearish Close: 1455.0 - RSI: 19.48
IGI,2024-09-26,IGI - 2024-09-26 00:00:00 - Bearish Close: 593.8 - RSI: 34.30
CBBL,2024-09-26,CBBL - 2024-09-26 00:00:00 - Bearish Close: 909.2 - RSI: 27.19
FOWAD,2024-09-25,FOWAD - 2024-09-25 00:00:00 - Bearish Close: 1368.0 - RSI: 23.76
SKBBL,2024-09-25,SKBBL - 2024-09-25 00:00:00 - Bearish Close: 888.9 - RSI: 16.33
SJLIC,2024-09-25,SJLIC - 2024-09-25 00:00:00 - Bearish Close: 463.0 - RSI: 27.75
HEI,2024-09-25,HEI - 2024-09-25 00:00:00 - Bearish Close: 647.9 - RSI: 23.78
SALICO,2024-09-25,SALICO - 2024-09-25 00:00:00 - Bearish Close: 741.0 - RSI: 19.39
UAIL,2024-09-25,UAIL - 2024-09-25 00:00:00 - Bearish Close: 635.0 - RSI: 26.99
NWCL,2024-09-25,NWCL - 2024-09-25 00:00:00 - Bearish Close: 919.0 - RSI: 43.77
HPPL,2024-09-25,HPPL - 2024-09-25 00:00:00 - Bearish Close: 307.8 - RSI: 24.72
MHNL,2024-09-25,MHNL - 2024-09-25 00:00:00 - Bearish Close: 264.0 - RSI: 30.03
MBJC,2024-09-25,MBJC - 2024-09-25 00:00:00 - Bearish Close: 341.0 - RSI: 44.14
