Symbol,Latest_Close,52_Week_Low,Distance_from_Low_%,Date_at_52W_Low
CZBILP,106.9,106.9,0.0,N/A
HBLD83,1033.0,1033.0,0.0,N/A
PCBLP,100.0,100.0,0.0,N/A
ICFCD83,1122.0,1119.0,0.27,N/A
BNL,15101.0,15044.0,0.38,N/A
ADBLD83,1050.5,1046.0,0.43,N/A
TAMOR,439.0,437.0,0.46,N/A
CIT,1739.7,1730.8,0.51,N/A
KMCDB,923.0,915.0,0.87,N/A
SWBBL,732.0,724.8,0.99,N/A
GILB,1116.0,1105.0,1.0,N/A
MLBSL,1890.0,1870.0,1.07,N/A
SKBBL,762.5,752.7,1.3,N/A
NMB,234.0,231.0,1.3,N/A
PRVU,182.3,179.9,1.33,N/A
MSHL,811.0,800.1,1.36,N/A
