Symbol,50 vs 20 EMA Cross,Date
ACLBSL,CIT - 2024-07-30 00:00:00 - Bear Close: 2190.0,2024-07-30
ACLBSL,JOSHI - 2024-07-22 00:00:00 - Bear Close: 324.0,2024-07-22
ACLBSL,PPL - 2024-07-22 00:00:00 - Bear Close: 523.9,2024-07-22
ACLBSL,HDL - 2024-07-21 00:00:00 - Bear Close: 1519.0,2024-07-21
ACLBSL,UPPER - 2024-07-17 00:00:00 - Bear Close: 189.6,2024-07-17
ACLBSL,UPCL - 2024-07-16 00:00:00 - Bear Close: 224.0,2024-07-16
ACLBSL,RIDI - 2024-07-16 00:00:00 - Bear Close: 209.5,2024-07-16
RBCLPO,MEL - 2024-07-16 00:00:00 - Bear Close: 251.0,2024-07-16
ACLBSL,RHPL - 2024-07-15 00:00:00 - Bear Close: 295.0,2024-07-15
ACLBSL,UMHL - 2024-07-14 00:00:00 - Bear Close: 258.0,2024-07-14
ACLBSL,SICL - 2024-07-11 00:00:00 - Bear Close: 719.9,2024-07-11
ACLBSL,HBL - 2024-07-11 00:00:00 - Bear Close: 201.6,2024-07-11
UMRH,NIMB - 2024-07-11 00:00:00 - Bear Close: 171.5,2024-07-11
ACLBSL,SPDL - 2024-07-10 00:00:00 - Bear Close: 241.0,2024-07-10
ACLBSL,KBL - 2024-07-09 00:00:00 - Bear Close: 143.5,2024-07-09
ACLBSL,SPDL - 2024-07-09 00:00:00 - Bull Close: 240.0,2024-07-09
ACLBSL,MBL - 2024-07-08 00:00:00 - Bear Close: 183.0,2024-07-08
ACLBSL,JBBL - 2024-07-07 00:00:00 - Bear Close: 314.0,2024-07-07
