Symbol,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
AKJCL,35,388.0,332.1,23395.0,-1956.5,21438.5,157.87
SSHL,0,0.0,200.4,15000.0,0.0,15000.0,0.0
HURJA,47,118.0,235.0,0.0,5499.0,5499.0,99.15
UNHPL,65,415.38,346.9,0.0,-4451.5,-4451.5,-16.49
PPCL,10,390.0,331.9,-8000.0,-581.0,-8581.0,-220.03
DORDI,130,307.54,238.0,0.0,-9040.0,-9040.0,-22.61
MEL,164,323.0,202.0,0.0,-19844.0,-19844.0,-37.46
HLBSL,95,1079.0,859.0,0.0,-20900.0,-20900.0,-20.39
GBLBS,60,1519.0,622.0,0.0,-53820.0,-53820.0,-59.05
SINDU,115,866.3,359.7,0.0,-58259.5,-58259.5,-58.48
SAGAR,90,2220.0,1538.0,0.0,-61380.0,-61380.0,-30.72
