Symbol,Latest_Close,52_Week_Low,52_Week_High,Distance_from_Low_%,Distance_from_High_%
EDBLPO,324.0,408.0,408.0,-20.59,-20.59
MDBPO,318.0,359.0,359.0,-11.42,-11.42
ICFCD83,843.2,934.2,1337.8,-9.74,-36.97
RHPL,188.0,205.2,325.0,-8.38,-42.15
ACLBSLP,512.0,556.0,613.0,-7.91,-16.48
MKJC,325.0,352.3,635.0,-7.75,-48.82
TVCL,354.0,377.6,689.0,-6.25,-48.62
SMATAP,421.0,441.0,593.0,-4.54,-29.01
MMKJL,345.0,360.4,699.9,-4.27,-50.71
SBLD83,1006.2,1038.0,1116.5,-3.06,-9.88
HBLPO,111.6,115.0,133.0,-2.96,-16.09
SICL,559.0,575.0,757.0,-2.78,-26.16
NMIC,821.0,840.0,1525.0,-2.26,-46.16
NICL,442.2,452.0,620.2,-2.17,-28.7
SALICO,553.0,565.2,712.0,-2.16,-22.33
NIL,549.9,560.0,725.0,-1.8,-24.15
MLBSL,1096.0,1115.5,2272.5,-1.75,-51.77
NRIC,851.0,865.0,1842.0,-1.62,-53.8
UAIL,388.8,395.1,538.9,-1.59,-27.85
HRL,537.4,545.0,1074.8,-1.39,-50.0
LBLD86,1083.0,1098.0,1240.0,-1.37,-12.66
HLI,300.0,304.0,416.0,-1.32,-27.88
SCBD,1056.6,1070.0,1236.0,-1.25,-14.51
NWCL,603.0,610.6,1045.0,-1.24,-42.3
MCHL,254.0,257.2,539.0,-1.24,-52.88
CHCL,405.0,410.0,525.0,-1.22,-22.86
NLG,516.0,522.0,867.0,-1.15,-40.48
FOWAD,878.0,887.0,1364.0,-1.01,-35.63
SGIC,400.1,404.1,579.0,-0.99,-30.9
MSHL,546.0,549.0,955.0,-0.55,-42.83
ULHC,301.0,302.5,599.0,-0.5,-49.75
SBLD84,1025.0,1029.0,1201.0,-0.39,-14.65
BOKD86KA,1096.5,1100.0,1247.0,-0.32,-12.07
NMB50,9.68,9.7,11.62,-0.21,-16.7
RURU,585.0,586.0,830.0,-0.17,-29.52
VLBS,620.0,621.0,876.0,-0.16,-29.22
RBBD83,1010.3,1010.9,1100.0,-0.06,-8.15
RLFLPO,268.6,268.6,303.0,0.0,-11.35
NICAP,179.0,179.0,331.3,0.0,-45.97
