Symbol,Date,Signal,Close_at_Crossover,Latest_Close,P/L_%
GHL,2026-02-19,BUY,247.0,247.0,0.0
HDHPC,2026-02-19,BUY,203.9,203.9,0.0
HURJA,2026-02-19,BUY,271.2,271.2,0.0
MDB,2026-02-19,BUY,628.0,628.0,0.0
NHPC,2026-02-19,BUY,230.1,230.1,0.0
SADBL,2026-02-19,BUY,417.0,417.0,0.0
EDBL,2026-02-19,SELL,590.0,590.0,0.0
SAHAS,2026-02-19,SELL,557.0,557.0,0.0
GLH,2026-02-12,BUY,284.0,275.0,-3.17
CORBL,2026-02-12,SELL,1660.0,1630.0,1.81
AHPC,2026-02-05,BUY,277.0,280.1,1.12
CORBL,2026-02-05,BUY,1929.0,1630.0,-15.5
MPFL,2026-02-05,BUY,657.0,618.0,-5.94
AKJCL,2026-01-29,BUY,312.0,380.0,21.79
NABBC,2026-01-29,BUY,1580.0,1520.0,-3.8
SBI,2026-01-29,BUY,408.0,403.0,-1.23
SIFC,2026-01-29,BUY,648.0,586.0,-9.57
AHPC,2026-01-29,SELL,272.0,280.1,-2.98
EDBL,2026-01-22,BUY,668.0,590.0,-11.68
ICFC,2026-01-22,BUY,695.0,654.9,-5.77
HPPL,2026-01-22,SELL,477.1,469.0,1.7
NHDL,2026-01-15,SELL,660.0,654.0,0.91
NRN,2026-01-15,SELL,1382.5,1558.0,-12.69
PCBL,2026-01-08,SELL,237.0,233.0,1.69
NHDL,2026-01-01,BUY,742.0,654.0,-11.86
PCBL,2026-01-01,BUY,261.6,233.0,-10.93
CORBL,2026-01-01,SELL,1580.0,1630.0,-3.16
MKJC,2026-01-01,SELL,510.4,522.0,-2.27
NIFRA,2026-01-01,SELL,265.0,259.6,2.04
NMB,2026-01-01,SELL,238.8,235.0,1.59
RURU,2026-01-01,SELL,670.5,654.0,2.46
MFIL,2025-12-25,BUY,709.0,777.0,9.59
ADBL,2025-12-25,SELL,288.0,297.0,-3.12
GBIME,2025-12-25,SELL,228.0,224.2,1.67
NHDL,2025-12-25,SELL,680.0,654.0,3.82
NHDL,2025-12-18,BUY,743.5,654.0,-12.04
SHL,2025-12-18,SELL,494.7,491.0,0.75
EDBL,2025-12-11,SELL,580.0,590.0,-1.72
GLH,2025-12-11,SELL,247.0,275.0,-11.34
SADBL,2025-12-11,SELL,379.8,417.0,-9.79
MEN,2025-12-04,SELL,554.5,579.0,-4.42
MNBBL,2025-12-04,SELL,347.9,363.0,-4.34
MEN,2025-11-27,BUY,670.1,579.0,-13.59
NMB,2025-11-27,BUY,260.0,235.0,-9.62
KSBBL,2025-11-27,SELL,444.0,458.0,-3.15
NMB,2025-11-20,SELL,237.0,235.0,0.84
UMRH,2025-11-20,SELL,550.1,560.0,-1.8
RURU,2025-11-13,BUY,830.0,654.0,-21.2
GBBL,2025-11-13,SELL,370.0,398.9,-7.81
ICFC,2025-11-13,SELL,615.0,654.9,-6.49
ICFC,2025-11-06,BUY,652.0,654.9,0.44
ICFC,2025-10-30,SELL,630.0,654.9,-3.95
DHPL,2025-10-23,SELL,283.0,305.9,-8.09
MBL,2025-10-23,SELL,207.1,228.0,-10.09
MFIL,2025-10-23,SELL,568.0,777.0,-36.8
NHDL,2025-10-23,SELL,636.5,654.0,-2.75
SAPDBL,2025-10-23,SELL,789.9,817.0,-3.43
CGH,2025-10-16,SELL,823.8,835.0,-1.36
GHL,2025-10-16,SELL,200.9,247.0,-22.95
MLBL,2025-10-16,SELL,363.9,367.0,-0.85
PCBL,2025-10-16,SELL,232.8,233.0,-0.09
MDB,2025-10-09,SELL,592.1,628.0,-6.06
PRVU,2025-10-02,SELL,207.9,183.2,11.88
HDHPC,2025-09-25,SELL,186.0,203.9,-9.62
KBL,2025-09-25,SELL,190.3,185.9,2.31
LEC,2025-09-25,SELL,208.0,223.0,-7.21
NABBC,2025-09-25,SELL,772.0,1520.0,-96.89
NBL,2025-09-25,SELL,250.0,243.5,2.6
CZBIL,2025-09-18,SELL,197.0,188.6,4.26
NHPC,2025-09-18,SELL,178.6,230.1,-28.84
NLICL,2025-09-18,SELL,550.0,579.9,-5.44
RURU,2025-09-18,SELL,650.0,654.0,-0.62
SBI,2025-09-18,SELL,376.9,403.0,-6.92
SCB,2025-09-18,SELL,607.0,640.0,-5.44
SINDU,2025-09-18,SELL,618.0,749.0,-21.2
AKJCL,2025-09-11,SELL,191.33,380.0,-98.61
CHCL,2025-09-11,SELL,497.36,470.0,5.5
JBBL,2025-09-11,SELL,325.4,334.0,-2.64
MHNL,2025-09-11,SELL,245.13,277.0,-13.0
NYADI,2025-09-11,SELL,399.62,415.0,-3.85
SSHL,2025-09-11,SELL,173.88,190.4,-9.5
BARUN,2025-09-04,SELL,330.66,359.0,-8.57
MPFL,2025-09-04,SELL,570.03,618.0,-8.42
HURJA,2025-08-28,SELL,237.78,271.2,-14.06
KKHC,2025-08-28,SELL,256.24,290.0,-13.18
OHL,2025-08-21,SELL,862.03,699.0,18.91
SIFC,2025-08-21,SELL,508.34,586.0,-15.28
JOSHI,2025-08-14,SELL,319.81,301.0,5.88
LEC,2025-08-07,BUY,254.17,223.0,-12.26
ADBL,2025-07-31,BUY,332.18,297.0,-10.59
ICFC,2025-07-31,BUY,694.65,654.9,-5.72
MFIL,2025-07-31,BUY,716.71,777.0,8.41
CGH,2025-07-24,BUY,1129.73,835.0,-26.09
GBBL,2025-07-24,BUY,469.65,398.9,-15.06
JBBL,2025-07-24,BUY,387.21,334.0,-13.74
MNBBL,2025-07-24,BUY,473.72,363.0,-23.37
RURU,2025-07-24,BUY,812.81,654.0,-19.54
SCB,2025-07-24,BUY,670.91,640.0,-4.61
SIFC,2025-07-24,BUY,566.43,586.0,3.45
RHPL,2025-07-24,SELL,349.21,305.0,12.66
CHCL,2025-07-17,BUY,547.62,470.0,-14.17
LBBL,2025-07-17,BUY,492.67,483.0,-1.96
MBL,2025-07-17,BUY,261.69,228.0,-12.87
NBL,2025-07-17,BUY,299.67,243.5,-18.74
CZBIL,2025-07-10,BUY,220.98,188.6,-14.65
SJCL,2025-07-10,SELL,314.29,309.7,1.46
PCBL,2025-07-03,BUY,254.49,233.0,-8.44
MHNL,2025-06-26,BUY,280.79,277.0,-1.35
CFCL,2025-06-26,SELL,498.18,554.0,-11.2
CHL,2025-06-26,SELL,337.99,291.0,13.9
CZBIL,2025-06-26,SELL,201.99,188.6,6.63
PCBL,2025-06-26,SELL,237.82,233.0,2.03
AKJCL,2025-06-19,BUY,218.06,380.0,74.26
SAHAS,2025-06-19,BUY,545.38,557.0,2.13
SBL,2025-06-19,BUY,307.4,372.0,21.01
SIFC,2025-06-19,SELL,510.63,586.0,-14.76
SIFC,2025-06-12,BUY,586.56,586.0,-0.1
ALICL,2025-06-12,SELL,500.56,447.0,10.7
MHNL,2025-06-12,SELL,264.38,277.0,-4.77
PROFL,2025-06-12,SELL,494.97,464.9,6.08
TRH,2025-06-12,SELL,942.89,750.0,20.46
NGPL,2025-06-05,BUY,395.88,437.0,10.39
JBBL,2025-06-05,SELL,326.04,334.0,-2.44
MBL,2025-06-05,SELL,217.46,228.0,-4.85
RLFL,2025-06-05,SELL,467.59,458.6,1.92
SIFC,2025-06-05,SELL,485.56,586.0,-20.69
TPC,2025-06-05,SELL,336.55,409.0,-21.53
GBIME,2025-05-29,BUY,249.27,224.2,-10.06
HURJA,2025-05-29,BUY,253.03,271.2,7.18
MBL,2025-05-29,BUY,234.82,228.0,-2.9
BFC,2025-05-29,SELL,485.09,473.9,2.31
SCB,2025-05-29,SELL,628.67,640.0,-1.8
SPC,2025-05-29,SELL,508.71,503.4,1.04
GMFIL,2025-05-22,SELL,507.26,472.0,6.95
SFCL,2025-05-22,SELL,492.43,387.0,21.41
AKJCL,2025-05-15,SELL,205.45,380.0,-84.96
MBL,2025-05-15,SELL,211.18,228.0,-7.96
