Symbol,Latest_Close,52_Week_Low,Distance_from_Low_%,Date_at_52W_Low
EDBLPO,324.0,408.0,-20.59,N/A
MDBPO,318.0,359.0,-11.42,N/A
ICFCD83,843.2,934.2,-9.74,N/A
RHPL,188.0,205.2,-8.38,N/A
ACLBSLP,512.0,556.0,-7.91,N/A
MKJC,325.0,352.3,-7.75,N/A
TVCL,354.0,377.6,-6.25,N/A
SMATAP,421.0,441.0,-4.54,N/A
MMKJL,345.0,360.4,-4.27,N/A
SBLD83,1006.2,1038.0,-3.06,N/A
HBLPO,111.6,115.0,-2.96,N/A
SICL,559.0,575.0,-2.78,N/A
NMIC,821.0,840.0,-2.26,N/A
NICL,442.2,452.0,-2.17,N/A
SALICO,553.0,565.2,-2.16,N/A
NIL,549.9,560.0,-1.8,N/A
MLBSL,1096.0,1115.5,-1.75,N/A
NRIC,851.0,865.0,-1.62,N/A
UAIL,388.8,395.1,-1.59,N/A
HRL,537.4,545.0,-1.39,N/A
LBLD86,1083.0,1098.0,-1.37,N/A
HLI,300.0,304.0,-1.32,N/A
SCBD,1056.6,1070.0,-1.25,N/A
NWCL,603.0,610.6,-1.24,N/A
MCHL,254.0,257.2,-1.24,N/A
CHCL,405.0,410.0,-1.22,N/A
NLG,516.0,522.0,-1.15,N/A
FOWAD,878.0,887.0,-1.01,N/A
SGIC,400.1,404.1,-0.99,N/A
MSHL,546.0,549.0,-0.55,N/A
ULHC,301.0,302.5,-0.5,N/A
SBLD84,1025.0,1029.0,-0.39,N/A
BOKD86KA,1096.5,1100.0,-0.32,N/A
NMB50,9.68,9.7,-0.21,N/A
RURU,585.0,586.0,-0.17,N/A
VLBS,620.0,621.0,-0.16,N/A
RBBD83,1010.3,1010.9,-0.06,N/A
PMLIP,255.0,255.0,0.0,N/A
NABILP,301.1,301.1,0.0,N/A
NIBD84,1030.0,1030.0,0.0,N/A
SRLIP,197.6,197.6,0.0,N/A
SPIL,625.0,625.0,0.0,N/A
UAILPO,251.0,251.0,0.0,N/A
USLB,970.0,970.0,0.0,N/A
SIFCPO,286.0,286.0,0.0,N/A
SHINEP,222.0,222.0,0.0,N/A
RLFLPO,268.6,268.6,0.0,N/A
SALICOPO,270.0,270.0,0.0,N/A
NICAP,179.0,179.0,0.0,N/A
MNBBLP,236.2,236.2,0.0,N/A
MATRIP,523.5,523.5,0.0,N/A
KMCDBP,587.0,587.0,0.0,N/A
JBBLPO,181.4,181.4,0.0,N/A
MLBSLP,100.0,100.0,0.0,N/A
MLBSP,698.0,698.0,0.0,N/A
LBBLPO,261.0,261.0,0.0,N/A
KBLPO,100.0,100.0,0.0,N/A
GUFLPO,298.0,298.0,0.0,N/A
FOWADP,550.0,550.0,0.0,N/A
GBIMEP,100.0,100.0,0.0,N/A
CORBLP,100.0,100.0,0.0,N/A
CYCLP,831.0,831.0,0.0,N/A
ALICLP,252.0,252.0,0.0,N/A
BFCPO,250.0,250.0,0.0,N/A
SLBBLP,443.0,443.0,0.0,N/A
SFCLP,164.0,164.0,0.0,N/A
NLICP,413.0,413.0,0.0,N/A
NLICLP,321.0,321.0,0.0,N/A
NMLBBLP,334.0,334.0,0.0,N/A
NMFBSP,610.0,610.0,0.0,N/A
SBLD2082,1045.2,1045.1,0.01,N/A
HBLD86,1112.4,1112.0,0.04,N/A
KDL,731.1,730.0,0.15,N/A
NLIC,690.3,689.0,0.19,N/A
IGI,392.9,392.0,0.23,N/A
PBLD86,1103.0,1100.2,0.25,N/A
ENL,764.0,762.0,0.26,N/A
PBD84,1070.0,1067.0,0.28,N/A
NUBL,574.0,572.1,0.33,N/A
PRVU,178.6,178.0,0.34,N/A
NMBHF2,8.6,8.57,0.35,N/A
SKBBL,742.5,739.1,0.46,N/A
GWFD83,1035.0,1030.2,0.47,N/A
SMJC,419.0,417.0,0.48,N/A
HIDCL,242.0,240.7,0.54,N/A
SRLI,357.3,355.3,0.56,N/A
MKCL,870.0,865.1,0.57,N/A
PRIN,599.6,596.0,0.6,N/A
IHL,300.0,298.0,0.67,N/A
PBLD84,1065.1,1057.2,0.75,N/A
ALICL,402.3,399.0,0.83,N/A
ULI,358.0,355.0,0.85,N/A
NICD83/84,1010.0,1001.4,0.86,N/A
KPCL,454.0,450.0,0.89,N/A
EHPL,313.9,311.1,0.9,N/A
MATRI,760.0,753.1,0.92,N/A
NIMB,185.0,183.2,0.98,N/A
BNHC,263.6,261.0,1.0,N/A
ADBLB86,1010.0,1000.0,1.0,N/A
KBSH,880.0,871.1,1.02,N/A
RBCL,13802.0,13660.0,1.04,N/A
ILI,403.2,399.0,1.05,N/A
DLBS,1007.1,996.2,1.09,N/A
MHCL,275.0,272.0,1.1,N/A
NRM,288.5,285.3,1.12,N/A
SBD87,1062.0,1050.0,1.14,N/A
SMATA,695.0,687.0,1.16,N/A
NICA,308.1,304.5,1.18,N/A
MKHC,246.9,244.0,1.19,N/A
SWMF,587.0,580.0,1.21,N/A
RNLI,415.0,410.0,1.22,N/A
AHPC,252.7,249.5,1.28,N/A
CBBLPO,395.0,390.0,1.28,N/A
MAKAR,401.0,395.7,1.34,N/A
GBLBS,666.0,657.1,1.35,N/A
LICN,761.5,751.3,1.36,N/A
SMPDA,740.0,730.0,1.37,N/A
SGHC,290.0,286.0,1.4,N/A
NIFRAGED,1000.1,986.0,1.43,N/A
CLI,417.1,411.0,1.48,N/A
