Symbol,Latest_Close,52_Week_Low,52_Week_High,Distance_from_Low_%,Distance_from_High_%
NMFBSP,628.0,675.0,675.0,-6.96,-6.96
PMLIP,255.0,270.0,309.0,-5.56,-17.48
SMATAP,421.0,441.0,593.0,-4.54,-29.01
HBLPO,111.6,115.0,133.0,-2.96,-16.09
CZBILP,105.8,106.9,111.0,-1.03,-4.68
SBLD83,1042.0,1045.0,1122.0,-0.29,-7.13
TSHL,445.0,445.2,989.0,-0.04,-55.01
NLICP,413.0,413.0,413.0,0.0,0.0
NABILP,301.1,301.1,301.1,0.0,0.0
PRVUPO,100.0,100.0,100.9,0.0,-0.89
SIFCPO,286.0,286.0,286.0,0.0,0.0
SHINEP,222.0,222.0,228.0,0.0,-2.63
MLBSP,698.0,698.0,957.0,0.0,-27.06
CYCLP,831.0,831.0,864.0,0.0,-3.82
NLICLP,321.0,321.0,321.0,0.0,0.0
BFCPO,250.0,250.0,324.0,0.0,-22.84
FOWADP,660.0,660.0,660.0,0.0,0.0
RLFLPO,268.6,268.6,303.0,0.0,-11.35
MATRIP,523.5,523.5,766.5,0.0,-31.7
LBBLPO,261.0,261.0,261.0,0.0,0.0
KMCDBP,587.0,587.0,605.0,0.0,-2.98
MLBSLP,100.0,100.0,100.0,0.0,0.0
CORBLP,100.0,100.0,100.0,0.0,0.0
ALICLP,252.0,252.0,388.0,0.0,-35.05
JBBLPO,181.4,181.4,187.0,0.0,-2.99
SFCLP,164.0,164.0,164.0,0.0,0.0
KBLPO,100.0,100.0,111.0,0.0,-9.91
NMLBBLP,334.0,334.0,366.1,0.0,-8.77
SBLD2082,1045.2,1045.1,1097.6,0.01,-4.77
SLBBLP,456.0,453.0,499.0,0.66,-8.62
NICD83/84,1050.0,1042.8,1149.0,0.69,-8.62
ULI,358.0,355.0,746.0,0.85,-52.01
MKJC,460.0,456.1,635.0,0.86,-27.56
SMPDA,793.0,786.1,1155.0,0.88,-31.34
MLBBL,1140.0,1130.0,1690.0,0.88,-32.54
PBD84,1080.0,1070.2,1182.0,0.92,-8.63
MATRI,853.0,845.1,1347.0,0.93,-36.67
SKBBL,752.0,745.0,999.0,0.94,-24.72
RBBD83,1038.0,1025.7,1100.0,1.2,-5.64
CBBLPO,395.0,390.0,395.0,1.28,0.0
NMLBBL,548.0,541.1,807.0,1.28,-32.09
NUBL,625.0,617.0,854.4,1.3,-26.85
HBLD83,1035.0,1020.0,1111.0,1.47,-6.84
JSLBB,1015.0,1000.0,1485.0,1.5,-31.65
SMATA,755.0,743.0,1382.0,1.62,-45.37
RBBF40,9.13,8.98,10.2,1.67,-10.49
NBLD82,1060.0,1042.5,1140.0,1.68,-7.02
USHL,538.1,529.0,945.0,1.72,-43.06
RURU,642.0,631.0,853.0,1.74,-24.74
NWCL,732.0,719.0,1045.0,1.81,-29.95
SARBTM,814.0,799.0,1048.0,1.88,-22.33
MLBL,355.5,348.9,468.6,1.89,-24.14
SWMF,621.8,610.0,868.1,1.93,-28.37
KDL,765.0,750.0,1200.0,2.0,-36.25
SLBBL,809.0,793.0,1155.0,2.02,-29.96
PFL,360.0,352.8,475.5,2.04,-24.29
BHPL,500.0,490.0,916.9,2.04,-45.47
ALICL,438.9,430.0,550.0,2.07,-20.2
UMRH,522.9,512.0,675.0,2.13,-22.53
KPCL,475.0,465.0,711.0,2.15,-33.19
EHPL,373.0,365.0,685.0,2.19,-45.55
JBLB,1247.0,1219.9,1644.0,2.22,-24.15
SJCL,272.0,266.1,365.0,2.22,-25.48
ENL,819.2,801.1,1225.0,2.26,-33.13
BNL,14301.8,13968.1,18399.9,2.39,-22.27
SBLD84,1065.0,1040.0,1201.0,2.4,-11.32
GILB,1094.0,1067.5,1441.6,2.48,-24.11
MKHC,303.0,295.6,503.4,2.5,-39.81
HPPL,362.0,353.0,605.0,2.55,-40.17
MBJC,277.0,270.0,342.0,2.59,-19.01
FOWAD,979.9,955.0,1364.0,2.61,-28.16
HRL,585.0,570.0,1139.9,2.63,-48.68
USLB,1245.0,1213.0,2750.0,2.64,-54.73
MERO,709.0,690.2,1000.0,2.72,-29.1
BNHC,314.5,306.1,613.8,2.74,-48.76
MLBS,1162.0,1131.0,1900.0,2.74,-38.84
GMLI,1178.5,1146.7,2375.0,2.77,-50.38
GCIL,354.7,345.0,579.0,2.81,-38.74
NIMBPO,146.0,142.0,184.5,2.82,-20.87
SMH,536.0,521.1,1024.8,2.86,-47.7
UNL,46505.0,45200.0,50724.0,2.89,-8.32
PBLD84,1093.0,1062.1,1158.4,2.91,-5.65
MLBSL,1745.0,1695.0,2435.5,2.95,-28.35
MMKJL,476.0,462.0,699.9,3.03,-31.99
MEHL,334.9,325.0,519.0,3.05,-35.47
HLICF,8.76,8.5,10.55,3.06,-16.97
ICFC,613.2,595.0,730.9,3.06,-16.1
SPL,665.0,645.1,1035.0,3.08,-35.75
NIBD2082,1040.0,1008.5,1170.0,3.12,-11.11
CBBL,910.0,882.0,1144.8,3.17,-20.51
SGICP,258.0,250.0,323.0,3.2,-20.12
AHL,449.0,435.0,700.0,3.22,-35.86
JFL,398.0,385.4,558.0,3.27,-28.67
LBL,173.0,167.5,972.0,3.28,-82.2
LICN,799.0,773.0,990.0,3.36,-19.29
ADBLD83,1056.4,1022.0,1160.0,3.37,-8.93
RBCL,14490.0,14015.0,16900.0,3.39,-14.26
NIFRA,253.9,245.5,328.1,3.42,-22.62
NADEP,720.0,696.0,1046.0,3.45,-31.17
HLI,329.0,318.0,464.0,3.46,-29.09
SRBLD83,1075.0,1038.8,1126.0,3.48,-4.53
CGH,774.0,748.0,1150.0,3.48,-32.7
SJLICP,240.1,232.0,245.0,3.49,-2.0
PBD85,1069.1,1033.0,1150.0,3.49,-7.03
PMLI,458.0,442.3,572.0,3.55,-19.93
NMB,238.2,230.0,283.0,3.57,-15.83
UNLB,1326.5,1280.0,2480.0,3.63,-46.51
VLUCL,451.9,436.0,664.8,3.65,-32.02
