Symbol,Date,Signal,Close_at_Crossover,Latest_Close,P/L_%
MDB,2026-02-26,BUY,614.5,614.5,0.0
NHPC,2026-02-26,BUY,212.0,212.0,0.0
NLIC,2026-02-26,SELL,748.7,748.7,0.0
HDHPC,2026-02-19,BUY,195.1,192.0,-1.59
HURJA,2026-02-19,BUY,263.0,252.0,-4.18
SADBL,2026-02-19,BUY,412.0,406.5,-1.33
EDBL,2026-02-19,SELL,590.0,576.1,2.36
SAHAS,2026-02-19,SELL,556.0,553.0,0.54
GLH,2026-02-12,BUY,284.0,257.0,-9.51
CORBL,2026-02-12,SELL,1660.0,1612.0,2.89
AHPC,2026-02-05,BUY,277.0,271.9,-1.84
CORBL,2026-02-05,BUY,1929.0,1612.0,-16.43
MPFL,2026-02-05,BUY,657.0,623.0,-5.18
AKJCL,2026-01-29,BUY,312.0,342.1,9.65
NABBC,2026-01-29,BUY,1580.0,1320.0,-16.46
SBI,2026-01-29,BUY,408.0,400.0,-1.96
SIFC,2026-01-29,BUY,648.0,573.1,-11.56
AHPC,2026-01-29,SELL,272.0,271.9,0.04
EDBL,2026-01-22,BUY,668.0,576.1,-13.76
ICFC,2026-01-22,BUY,695.0,625.0,-10.07
HPPL,2026-01-22,SELL,477.1,460.0,3.58
NHDL,2026-01-15,SELL,660.0,635.0,3.79
NRN,2026-01-15,SELL,1382.5,1474.2,-6.63
PCBL,2026-01-08,SELL,237.0,230.8,2.62
NHDL,2026-01-01,BUY,742.0,635.0,-14.42
PCBL,2026-01-01,BUY,261.6,230.8,-11.77
CORBL,2026-01-01,SELL,1580.0,1612.0,-2.03
MKJC,2026-01-01,SELL,510.4,527.0,-3.25
NIFRA,2026-01-01,SELL,265.0,256.3,3.28
NMB,2026-01-01,SELL,238.8,234.0,2.01
RURU,2026-01-01,SELL,670.5,649.0,3.21
MFIL,2025-12-25,BUY,709.0,780.0,10.01
ADBL,2025-12-25,SELL,288.0,293.0,-1.74
GBIME,2025-12-25,SELL,228.0,221.3,2.94
NHDL,2025-12-25,SELL,680.0,635.0,6.62
NHDL,2025-12-18,BUY,743.5,635.0,-14.59
SHL,2025-12-18,SELL,494.7,487.1,1.54
EDBL,2025-12-11,SELL,580.0,576.1,0.67
GLH,2025-12-11,SELL,247.0,257.0,-4.05
SADBL,2025-12-11,SELL,379.8,406.5,-7.03
MEN,2025-12-04,SELL,554.5,570.2,-2.83
MNBBL,2025-12-04,SELL,347.9,354.0,-1.75
