Symbol,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
AKJCL,35,388.0,382.8,23395.0,-182.0,23213.0,170.94
SSHL,0,0.0,225.0,15000.0,0.0,15000.0,0.0
HURJA,47,118.0,272.0,0.0,7238.0,7238.0,130.51
UNHPL,65,415.38,515.0,0.0,6475.0,6475.0,23.98
DORDI,130,307.54,288.0,0.0,-2540.0,-2540.0,-6.35
PPCL,10,390.0,394.9,-8000.0,49.0,-7951.0,-203.87
MEL,164,323.0,272.0,0.0,-8364.0,-8364.0,-15.79
SINDU,115,866.3,761.0,0.0,-12110.0,-12110.0,-12.16
HLBSL,95,1079.0,900.0,0.0,-17005.0,-17005.0,-16.59
SAGAR,90,2220.0,1819.0,0.0,-36090.0,-36090.0,-18.06
GBLBS,60,1519.0,778.5,0.0,-44430.0,-44430.0,-48.75
