Symbol,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
AKJCL,35,388.0,348.9,23395.0,-1368.5,22026.5,162.2
SSHL,0,0.0,198.0,15000.0,0.0,15000.0,0.0
HURJA,47,118.0,234.1,0.0,5456.7,5456.7,98.39
UNHPL,65,415.38,367.0,0.0,-3145.0,-3145.0,-11.65
DORDI,130,307.54,246.7,0.0,-7909.0,-7909.0,-19.78
PPCL,10,390.0,329.1,-8000.0,-609.0,-8609.0,-220.74
MEL,164,323.0,204.0,0.0,-19516.0,-19516.0,-36.84
HLBSL,95,1079.0,870.0,0.0,-19855.0,-19855.0,-19.37
SINDU,115,866.3,640.0,0.0,-26025.0,-26025.0,-26.12
GBLBS,60,1519.0,671.0,0.0,-50880.0,-50880.0,-55.83
SAGAR,90,2220.0,1557.0,0.0,-59670.0,-59670.0,-29.86
