Symbol,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
AKJCL,35,388.0,355.0,23395.0,-1155.0,22240.0,163.77
SSHL,0,0.0,201.0,15000.0,0.0,15000.0,0.0
HURJA,47,118.0,231.9,0.0,5353.3,5353.3,96.53
UNHPL,65,415.38,392.0,0.0,-1520.0,-1520.0,-5.63
DORDI,130,307.54,252.0,0.0,-7220.0,-7220.0,-18.06
PPCL,10,390.0,336.0,-8000.0,-540.0,-8540.0,-218.97
MEL,164,323.0,219.9,0.0,-16908.4,-16908.4,-31.92
SINDU,115,866.3,712.0,0.0,-17745.0,-17745.0,-17.81
HLBSL,95,1079.0,880.0,0.0,-18905.0,-18905.0,-18.44
GBLBS,60,1519.0,751.9,0.0,-46026.0,-46026.0,-50.5
SAGAR,90,2220.0,1585.0,0.0,-57150.0,-57150.0,-28.6
