Symbol,Latest_Close,52_Week_Low,Distance_from_Low_%,Date_at_52W_Low
BEDC,430.2,430.2,0.0,N/A
CZBILP,106.9,106.9,0.0,N/A
CYCLP,864.0,864.0,0.0,N/A
CITY,452.0,452.0,0.0,N/A
GBIMEP,100.0,100.0,0.0,N/A
GMLI,1485.0,1485.0,0.0,N/A
FOWADP,660.0,660.0,0.0,N/A
MATRIP,523.5,523.5,0.0,N/A
KMCDBP,605.0,605.0,0.0,N/A
KBLPO,100.0,100.0,0.0,N/A
JBLBP,100.0,100.0,0.0,N/A
JBBLPO,187.0,187.0,0.0,N/A
ILBSP,624.0,624.0,0.0,N/A
HRL,704.7,704.7,0.0,N/A
HLI,349.0,349.0,0.0,N/A
HBLPO,131.0,131.0,0.0,N/A
KSBBLP,269.0,269.0,0.0,N/A
KPCL,485.0,485.0,0.0,N/A
LBBLPO,261.0,261.0,0.0,N/A
PRVUPO,100.0,100.0,0.0,N/A
SIFCPO,286.0,286.0,0.0,N/A
NLICLP,321.0,321.0,0.0,N/A
NLICP,413.0,413.0,0.0,N/A
NMFBSP,675.0,675.0,0.0,N/A
NABILP,301.1,301.1,0.0,N/A
NHDL,620.0,620.0,0.0,N/A
NIBD2082,1008.5,1008.5,0.0,N/A
MSLBP,735.0,735.0,0.0,N/A
MLBSLP,100.0,100.0,0.0,N/A
MMKJL,525.0,525.0,0.0,N/A
MNBBLP,236.2,236.2,0.0,N/A
MLBLPO,193.0,193.0,0.0,N/A
SFCLP,164.0,164.0,0.0,N/A
SLBBLP,453.0,453.0,0.0,N/A
PCBLP,100.0,100.0,0.0,N/A
PMLIP,270.0,270.0,0.0,N/A
RLFLPO,274.0,274.0,0.0,N/A
SPL,670.4,670.4,0.0,N/A
SNMAPO,180.0,180.0,0.0,N/A
SMPDA,840.0,840.0,0.0,N/A
SWBBL,713.1,713.1,0.0,N/A
HATHY,860.7,860.6,0.01,N/A
SBLD2082,1045.2,1045.1,0.01,N/A
VLBS,735.1,735.0,0.01,N/A
UNLB,1570.0,1569.0,0.06,N/A
MLBS,1367.0,1366.0,0.07,N/A
UMRH,512.4,512.0,0.08,N/A
BGWT,720.0,719.0,0.14,N/A
JBLB,1273.0,1270.0,0.24,N/A
MLBSL,1772.0,1765.0,0.4,N/A
RBBD83,1030.1,1025.7,0.43,N/A
NRIC,968.0,963.9,0.43,N/A
NLG,615.0,612.0,0.49,N/A
GLBSL,1715.0,1705.2,0.57,N/A
VLUCL,518.1,515.1,0.58,N/A
SRBLD83,1045.0,1038.8,0.6,N/A
USLB,1330.0,1322.0,0.61,N/A
SKBBL,756.6,752.0,0.61,N/A
MAKAR,473.0,470.0,0.64,N/A
SMJC,467.0,464.0,0.65,N/A
SMH,593.9,590.0,0.66,N/A
MLBBL,1250.0,1240.5,0.77,N/A
RURU,636.0,631.0,0.79,N/A
AHL,466.3,462.6,0.8,N/A
SBD89,1230.0,1220.0,0.82,N/A
GMFBS,1325.0,1314.0,0.84,N/A
ULI,358.0,355.0,0.85,N/A
NMLBBL,605.2,600.0,0.87,N/A
RAWA,659.0,653.0,0.92,N/A
NICL,487.9,483.0,1.01,N/A
MKHC,314.0,310.7,1.06,N/A
HBLD83,1031.0,1020.0,1.08,N/A
CGH,809.0,800.2,1.1,N/A
MKCL,1334.0,1318.0,1.21,N/A
CBBLPO,395.0,390.0,1.28,N/A
GILB,1115.0,1100.0,1.36,N/A
