Symbol,Date,Open,High,Low,Close,Percent Change,Volume,EMA_20,EMA_50,RSI,30D_Avg_Volume,Slope_20,Slope_50,Crossover
GBLBS,2025-07-09,813.77,820.0,800.6,815.01,0.15,4039989.5,805.010744366654,804.9661808917419,65.40038355204831,5735893.3375,1.224982724374695,0.42498722419798013,True
HDL,2025-07-09,1220.0,1227.0,1214.0,1220.62,0.05,46417956.0,1202.2859213506017,1202.0985102780326,66.00571002979146,39856926.0,2.0813619209781793,0.7070436836346289,True
MBL,2025-07-08,224.2,228.0,222.1,226.32,0.95,14952343.0,221.73386347665556,221.55084958720616,69.8636509798051,19585037.616666667,0.6165374134141928,0.2180985463348975,True
ICFC,2025-07-08,620.0,626.0,614.0,623.21,0.52,8602786.0,612.8379651603805,612.3944084637811,54.95302096356358,12311286.291666666,1.4002461118426708,0.4953867586974866,True
GBBL,2025-07-08,402.0,403.0,396.6,401.27,-0.18,6575438.5,395.66727885540206,395.5509012790842,66.58230852502861,11198708.95,0.8502740941184698,0.2953217679456088,True
CZBIL,2025-07-07,217.4,217.4,211.0,211.66,-2.64,23303430.0,208.09989643291834,207.9973593391815,62.20572738090436,17835606.233333334,0.45209756161272024,0.15484576154499904,True
NMLBBL,2025-07-07,660.0,670.0,651.0,660.81,0.12,10661340.0,648.9140631733302,648.6865476164799,52.49394082700323,7213048.395833333,1.7492208002297729,0.6111233636111365,True
GBILD84/85,2025-07-06,1177.0,1180.0,1177.0,1180.0,0.25,222930.0,1166.8995643733697,1166.7856885387896,58.52302457671922,95768.67385660807,1.4831477135463955,0.507134785187418,True
NIMB,2025-07-06,216.0,218.5,214.5,215.24,-0.35,18365766.0,211.55335911284774,211.3409636810136,60.77913779326248,27795869.066666666,0.43462699907549907,0.1535593594981492,True
RBCLPO,2025-07-06,11804.0,12000.0,11803.2,12000.0,1.66,10422951.0,11592.406512511008,11570.944497887469,64.10831400481577,2978701.6666666665,21.053214036611827,7.338994376601841,True
MNMF1,2025-07-06,9.2,9.38,9.14,9.21,0.11,212445.05,9.160521322144062,9.160521204603631,55.223889094885536,137484.49016927084,0.00994914710266528,0.0033655940648770867,True
SMATA,2025-07-03,840.4,849.8,795.0,822.23,-2.16,17986198.0,792.4257616070521,791.709252264614,68.66144503792654,6483941.483333333,3.8996270120418783,1.3394696032275306,True
MEL,2025-07-02,327.3,333.0,322.0,323.26,-1.23,24351350.0,311.4737511470928,311.1981206366597,64.56141439160145,15849916.083333334,1.2898272355203289,0.45347542711556343,True
NABIL,2025-07-02,494.5,495.8,491.0,494.96,0.09,27202962.0,490.21920683740007,490.10240442733783,66.15923112795417,25444365.466666665,0.13533848079351857,0.04087240131426597,True
KBL,2025-07-02,208.0,213.1,208.0,212.67,2.25,68714590.0,206.49572357257534,206.41389798954543,64.32048147197492,96797821.33333333,0.20250686575856774,0.05802553052740791,True
NMFBS,2025-07-02,1275.0,1284.0,1265.0,1273.4,-0.13,12148040.0,1230.248972095577,1229.7587947774757,68.05357142857143,5940578.916666667,1.8156302623456668,0.5478496557142535,True
DDBL,2025-07-01,806.0,825.0,801.1,817.35,1.41,14706445.0,795.7981896194625,794.9437483218748,58.79105011189269,8173054.7875,0.304294945038464,0.08766142763231528,True
NBL,2025-07-01,254.0,260.0,251.5,259.18,2.04,34879964.0,253.1011597531973,252.79246655239703,66.25486364556897,19488751.233333334,0.16079076265135656,0.058872881201943984,True
GRDBL,2025-07-01,1300.0,1422.9,1280.0,1378.98,6.08,53356868.0,1253.0393658201742,1252.300581484209,62.80878443691463,34914425.45,8.152423008311962,2.621803037398513,True
SAPDBL,2025-07-01,1150.9,1243.9,1058.0,1191.17,3.5,252059470.0,1017.1189485735872,1010.1303273223251,63.132001532148955,94916998.2,9.277291329342484,3.0908929899544773,True
NUBL,2025-06-30,690.0,696.0,686.1,694.46,0.65,7976700.0,680.3370800880659,679.9393816661534,65.98870190672866,8918213.075,0.6740837747814794,0.22577421773930836,True
ADBLD83,2025-06-30,1093.0,1093.0,1093.0,1106.94,1.28,340076.4,1093.219838079253,1092.9404954222443,54.43882054533073,185197.66653645833,0.47362180933100717,0.19797386996601746,True
MHNL,2025-06-26,287.0,294.0,275.0,280.79,-2.16,40188704.0,264.4620619010342,264.347849496362,67.85899397187293,9705021.825,0.7887833024994393,0.23561330727681024,True
SSHL,2025-06-23,235.1,246.6,233.4,244.99,4.21,108475930.0,234.22631983952434,233.80119377130717,65.93045495374653,28057599.05,0.6077035952736309,0.20980714053915223,True
KKHC,2025-06-22,355.4,369.8,353.5,355.53,0.04,13397595.0,350.27436137259576,350.2419116475144,57.135014787714745,8975095.566666666,1.053195113482468,0.35124282145219465,True
