Symbol,Trade_Date,Price,Quantity
AKJCL,2025-03-24,220,100
DORDI,2025-09-02,312,120
HLBSL,2025-02-10,1079,95
GBLBS,2025-12-17,3007,20
HURJA,2025-01-30,118,47
MEL,2025-08-22,323,164
PPCL,2025-08-22,390,510
UNHPL,2025-04-17,315,140
