Symbol,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
AKJCL,35,388.0,361.0,23395.0,-945.0,22450.0,165.32
SSHL,0,0.0,203.4,15000.0,0.0,15000.0,0.0
HURJA,47,118.0,239.0,0.0,5687.0,5687.0,102.54
UNHPL,65,415.38,383.9,0.0,-2046.5,-2046.5,-7.58
DORDI,130,307.54,254.0,0.0,-6960.0,-6960.0,-17.41
PPCL,10,390.0,340.6,-8000.0,-494.0,-8494.0,-217.79
MEL,164,323.0,216.7,0.0,-17433.2,-17433.2,-32.91
HLBSL,95,1079.0,884.0,0.0,-18525.0,-18525.0,-18.07
SINDU,115,866.3,701.0,0.0,-19010.0,-19010.0,-19.08
SAGAR,90,2220.0,1752.6,0.0,-42066.0,-42066.0,-21.05
GBLBS,60,1519.0,743.0,0.0,-46560.0,-46560.0,-51.09
