Symbol,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
AKJCL,35,388.0,375.0,23395.0,-455.0,22940.0,168.92
SSHL,0,0.0,216.4,15000.0,0.0,15000.0,0.0
HURJA,47,118.0,257.4,0.0,6551.8,6551.8,118.14
UNHPL,65,415.38,429.0,0.0,885.0,885.0,3.28
DORDI,130,307.54,275.0,0.0,-4230.0,-4230.0,-10.58
PPCL,10,390.0,379.7,-8000.0,-103.0,-8103.0,-207.77
MEL,164,323.0,235.5,0.0,-14350.0,-14350.0,-27.09
SINDU,115,866.3,717.9,0.0,-17066.5,-17066.5,-17.13
HLBSL,95,1079.0,880.0,0.0,-18905.0,-18905.0,-18.44
GBLBS,60,1519.0,770.9,0.0,-44886.0,-44886.0,-49.25
SAGAR,90,2220.0,1675.0,0.0,-49050.0,-49050.0,-24.55
