Symbol,Date,Open,High,Low,Close,Percent Change,Volume,52High,52Low,EMA_20,EMA_50,RSI,30D_Avg_Volume,Slope_20,Slope_50,Crossover
ANLB,2026-02-12,6010.7,6375.0,6010.1,6200.0,3.15,1318.0,6800.0,4673.0,6092.395229364338,6088.74124228833,59.986684420772306,595.5333333333333,7.1400788593873585,2.3969110624651875,True
NICGF2,2026-02-10,9.25,9.45,9.11,9.45,2.16,40610.0,9.98,8.33,9.330604396802867,9.32695084418896,54.61538630829984,26646.083333333332,0.004960272810874145,0.0018788369014067995,True
RBBF40,2026-02-10,9.69,9.9,9.31,9.88,1.96,39866.0,10.11,8.98,9.459063656689732,9.433010370270262,61.694921281479324,27004.647058823528,0.019659911860869527,0.0076224581109869405,True
MAKAR,2026-02-09,556.0,560.0,552.0,558.5,0.45,7815.0,859.0,515.0,552.6297684470052,552.4072164531694,51.62220677151633,10214.866666666667,0.30022415077719417,0.10083773752458,True
MNBBL,2026-02-08,370.9,376.0,370.0,371.5,0.16,55374.0,503.0,340.1,364.4595178754297,364.265150397021,53.43511450381679,62513.96666666667,0.2801973830791667,0.09294393802670128,True
NLG,2026-02-08,720.0,720.0,700.0,706.0,-1.94,45113.0,1195.0,660.0,686.5538878192197,685.4119694586016,57.41350757006724,33615.6,0.5062923705669391,0.1622629014507538,True
SCB,2026-02-05,628.1,640.0,628.1,639.9,1.88,27507.0,701.0,594.9,633.6087683999195,633.4820227535668,58.655808784591784,22776.4,0.014379917082055726,0.001356072037629019,True
SIGS3,2026-02-04,10.2,10.45,10.2,10.32,1.18,7499.0,11.46,8.5,10.206646181187153,10.20126411355183,60.71426746797956,4355.625,0.0038417308847442655,0.0012786137392492235,True
OHL,2026-02-04,740.0,744.0,712.0,732.5,-1.01,7773.0,1100.0,633.1,716.5139208149667,716.3655065069908,63.37625584810896,6311.4,0.4602438904999417,0.1339044704549906,True
CMF2,2026-02-03,9.79,10.16,9.79,10.16,3.78,7036.0,10.86,8.64,9.909870930521741,9.901648989590898,63.26532399640328,3068.1428571428573,0.00540282147451201,0.0017416338317442382,True
TRH,2026-02-03,754.0,784.0,742.1,764.0,1.33,10012.0,1190.0,681.1,742.173952531919,741.2126237254615,64.75958173656298,3640.1,1.2781989556043527,0.4727017484792668,True
NIBLSTF,2026-02-02,8.9,9.24,8.73,9.06,1.8,191671.0,10.08,7.85,8.987766306114883,8.984877970875532,53.92160620972017,235385.66666666666,0.0015533527757110477,0.0009756857278407693,True
PFL,2026-02-01,383.0,392.6,380.5,385.0,0.52,79808.0,520.0,352.8,376.1868764310474,376.0703830469228,59.74659101319573,19100.366666666665,0.7860996935197704,0.28491379878330464,True
NMBHF2,2026-01-29,9.52,9.79,9.5,9.6,0.84,15424.0,10.0,8.16,9.421145843396209,9.41382981404296,51.99999427796501,16473.84,0.016984159772098904,0.006063258894316093,True
SHLB,2026-01-29,1670.1,1679.9,1645.1,1678.0,0.47,880.0,2907.0,1540.2,1652.6467369336722,1651.4389968208234,66.01067117487975,1099.56,3.951028116047792,1.4052970050669955,True
CYCL,2026-01-28,1549.0,1606.0,1549.0,1606.0,3.68,4563.0,2040.0,1462.0,1567.4784290271427,1567.4782589654474,59.89802329515248,3706.125,2.353751068178326,0.7856986280870842,True
AHL,2026-01-28,552.1,601.0,551.5,597.9,8.3,22893.0,891.0,532.0,558.3821607586073,556.3270563142926,67.11833755120719,8604.041666666666,1.4752894181641978,0.546298943304987,True
MKHL,2026-01-27,803.5,837.0,803.5,836.9,4.16,31068.0,1027.0,652.0,803.7274132942781,803.496592852045,63.104475349467,9597.478260869566,1.6756325171920252,0.533778399295852,True
SMPDA,2026-01-26,906.1,922.0,901.0,922.0,1.75,13169.0,1155.0,840.0,890.4836470295257,890.4655367493525,66.10169491525424,5766.5,1.704214783096336,0.5477092762817393,True
RHPL,2026-01-26,293.7,294.0,283.6,289.9,-1.29,74347.0,487.3,252.3,277.90103686261347,277.45918256359624,60.82224779909908,32327.366666666665,0.831873610372179,0.28290488949764947,True
BHDC,2026-01-26,505.0,505.0,486.1,492.4,-2.5,97827.0,760.2,426.0,476.85011861499527,476.451294690274,57.52855754830049,42485.77272727273,0.8707722100622732,0.2780991232529345,True
TAMOR,2026-01-26,461.0,475.0,452.3,463.8,0.61,85376.0,637.0,437.0,452.46761735720105,452.14743714878534,62.53163784365111,18549.636363636364,0.6204356420837712,0.2100595259811712,True
SJCL,2026-01-26,295.0,302.8,294.1,296.5,0.51,24357.0,380.0,267.0,289.15240781049823,289.0322834919655,64.02264697059161,11611.266666666666,0.7120078739543032,0.23715746659083833,True
MHCL,2026-01-26,406.0,406.0,394.1,398.9,-1.75,33189.0,655.0,363.0,388.09370720667255,387.6537015916434,59.91983477695562,11475.09090909091,0.5765643592439119,0.18928477690382123,True
UNLB,2026-01-26,1950.0,1977.0,1920.0,1959.0,0.46,626.0,2888.6,1818.4,1908.5059919041387,1906.545348869536,62.102353357314044,692.3636363636364,3.5240983691940526,1.2251267248505429,True
LLBS,2026-01-26,1027.1,1068.0,1005.3,1030.0,0.28,2037.0,1367.3,865.0,982.4873891458121,981.870419659357,62.972569927997526,1335.1818181818182,4.453615991275842,1.4772195051609287,True
DHPL,2026-01-25,306.1,316.0,306.1,314.9,2.87,35811.0,,,296.5799403142768,296.44346755868935,67.21014112165344,9837.033333333333,1.0356525519154616,0.3358915849891332,True
SARBTM,2026-01-25,885.0,904.0,884.0,904.0,2.15,64106.0,,,884.629587922422,883.972676072483,52.17391112050718,28626.333333333332,0.5055482027442849,0.1830356396367506,True
MEHL,2026-01-25,441.0,460.0,441.0,455.0,3.17,41698.0,,,436.35978483284674,436.21495368850105,63.1579017815315,28405.380952380954,0.9894689572896709,0.3120488703654701,True
SICL,2026-01-25,645.0,650.9,635.1,650.0,0.78,16177.0,,,634.9745492871969,634.4971746852889,67.7935711167247,8225.095238095239,0.7840457298755155,0.26962402432404814,True
JSLBB,2026-01-25,1200.0,1208.0,1181.3,1208.0,0.67,1920.0,,,1179.9110537173751,1179.0812883849876,63.29231604293823,947.9047619047619,1.1771315929090633,0.40636725616723196,True
NYADI,2026-01-25,407.0,425.0,403.0,424.9,4.4,32395.0,,,397.37507118145345,396.45956027645315,58.6288445923108,15132.666666666666,1.3245947598321322,0.4654366063734301,True
VLBS,2026-01-25,792.0,792.0,765.0,791.9,-0.01,9286.0,,,768.9596869063384,767.5949562798818,62.58848244051696,2779.0,1.0753199150257615,0.39873397448400283,True
SMJC,2026-01-25,504.0,505.8,490.3,504.0,0.0,22128.0,,,494.4260354143525,494.2120224938942,58.37652706578835,11142.142857142857,0.5261235678904654,0.17624397851785717,True
UMRH,2026-01-25,578.0,596.0,578.0,584.0,1.04,55072.0,,,563.3271854417378,563.2575942907629,64.10658577115257,28829.433333333334,0.8943333974380039,0.2679261159604266,True
UNL,2026-01-25,47500.0,47501.0,47500.0,47500.0,0.0,76.0,,,46999.17868887028,46993.69399515917,60.569040543224155,44.94736842105263,2.4220072734722633,0.10592025668447605,True
ULHC,2026-01-25,457.0,474.9,457.0,472.0,3.28,19758.0,,,460.06091973321895,459.7981855882292,54.71428801867326,12402.57142857143,0.22584749139489305,0.060035319718213034,True
SMATA,2026-01-22,801.0,809.0,795.0,809.0,1.0,6496.0,,,792.2370798830178,792.1859396251157,51.841621040160696,6219.3,0.8724987571548354,0.2621437252688338,True
USHEC,2026-01-22,462.2,478.0,462.2,471.0,1.9,27819.0,,,463.8963151371221,463.55552360015406,59.51087272009567,18891.55,0.4213607553405268,0.1445359892303145,True
SHINE,2026-01-22,413.0,415.0,410.0,412.0,-0.24,16996.0,,,404.8818981105132,404.709106531712,69.11768137796088,22286.233333333334,0.7440852243987933,0.25119386267991783,True
HURJA,2026-01-22,232.0,237.6,228.6,237.5,2.37,199696.0,,,225.40784879831986,225.14109256359097,69.45244272459435,47715.1,0.6016520056598097,0.19838907566903002,True
DLBS,2026-01-22,1333.0,1356.6,1330.0,1356.6,1.77,1115.0,,,1336.6327189248045,1336.113071264753,53.94485608311446,758.8,2.009967562881047,0.6559719233269334,True
