Symbol,Date,Signal,Entry_Close,Latest_Close,PnL_%
SSHL,2026-01-04,Buy,152.1,158.6,4.27
NRN,2026-01-04,Buy,1365.0,1372.0,0.51
KKHC,2025-12-24,Buy,214.7,223.5,4.1
SAHAS,2025-12-18,Buy,544.0,548.0,0.74
TRH,2025-11-25,Buy,718.0,715.5,-0.35
MNBBL,2025-11-25,Buy,356.8,351.0,-1.63
GBBL,2025-11-20,Buy,373.4,392.0,4.98
MBL,2025-10-30,Buy,213.0,227.7,6.9
SANIMA,2025-10-29,Buy,318.0,336.0,5.66
TPC,2025-10-29,Buy,291.2,371.1,27.44
MPFL,2025-10-28,Buy,513.0,632.1,23.22
SFCL,2025-10-28,Buy,390.0,372.0,-4.62
OHL,2025-10-26,Buy,670.0,698.0,4.18
KSBBL,2025-10-26,Buy,414.0,453.8,9.61
RLFL,2025-10-26,Buy,405.0,423.3,4.52
NABBC,2025-10-16,Buy,720.0,1404.4,95.06
CHL,2025-09-24,Buy,258.7,256.8,-0.73
HBL,2025-09-23,Buy,200.1,190.0,-5.05
HDHPC,2025-09-23,Buy,190.8,176.8,-7.34
JOSHI,2025-09-23,Buy,315.8,281.9,-10.73
GHL,2025-09-23,Buy,224.0,210.0,-6.25
UPPER,2025-09-23,Buy,192.4,173.7,-9.72
GFCL,2025-09-21,Buy,605.0,632.0,4.46
RHPL,2025-09-21,Buy,287.02,294.0,2.43
BARUN,2025-09-21,Buy,320.56,317.0,-1.11
NBL,2025-09-21,Buy,249.03,242.3,-2.7
HURJA,2025-09-21,Buy,226.87,223.0,-1.71
SINDU,2025-09-21,Buy,679.8,722.9,6.34
BFC,2025-09-18,Buy,419.8,468.9,11.7
JFL,2025-09-18,Buy,402.7,430.0,6.78
LICN,2025-09-18,Buy,773.2,855.1,10.59
GUFL,2025-09-18,Buy,465.5,509.5,9.45
CFCL,2025-09-18,Buy,467.0,498.0,6.64
AKJCL,2025-09-18,Buy,173.0,200.0,15.61
ALICL,2025-07-07,Buy,499.75,472.0,-5.55
NLIC,2025-06-30,Buy,728.63,779.0,6.91
NYADI,2025-06-08,Buy,430.96,388.0,-9.97
SAPDBL,2025-05-19,Buy,787.0,829.8,5.44
SCB,2025-05-08,Buy,607.56,636.0,4.68
PROFL,2025-05-06,Buy,474.76,447.1,-5.83
NFS,2025-05-06,Buy,590.98,628.0,6.26
PRVU,2025-05-06,Buy,196.09,184.0,-6.17
LBBL,2025-05-04,Buy,383.93,488.0,27.11
SPC,2025-03-27,Buy,524.02,534.0,1.9
PFL,2025-02-05,Buy,403.0,357.9,-11.19
NABIL,2025-02-03,Buy,495.9,487.0,-1.79
ADBL,2025-02-02,Buy,294.9,299.5,1.56
NICA,2025-01-28,Buy,357.0,339.1,-5.01
SBL,2025-01-28,Buy,286.0,390.6,36.57
CHCL,2025-01-22,Buy,514.9,470.0,-8.72
NGPL,2025-01-08,Buy,265.0,389.0,46.79
LEC,2025-01-05,Buy,200.1,198.8,-0.65
ICFC,2025-01-01,Buy,648.0,644.0,-0.62
API,2024-12-24,Buy,263.3,288.8,9.68
BPCL,2024-12-23,Buy,387.0,758.0,95.87
GBIME,2024-12-11,Buy,232.5,228.0,-1.94
RURU,2024-05-14,Buy,557.5,656.0,17.67
CHDC,2024-05-14,Buy,770.0,2259.0,193.38
SHEL,2024-05-14,Buy,156.9,275.1,75.33
AHPC,2024-05-13,Buy,158.0,254.0,60.76
HIDCL,2024-04-29,Buy,162.0,255.9,57.96
AKPL,2024-04-29,Buy,167.0,246.2,47.43
KBL,2024-04-25,Buy,134.0,179.3,33.81
MEN,2024-04-07,Buy,510.0,572.0,12.16
NMB,2024-03-06,Buy,181.4,239.9,32.25
PCBL,2024-03-03,Buy,188.9,237.1,25.52
CZBIL,2023-11-21,Buy,160.3,196.6,22.65
EBL,2023-11-20,Buy,467.9,660.4,41.14
SHPC,2023-11-06,Buy,292.0,526.7,80.38
CGH,2023-10-18,Buy,1090.0,850.3,-21.99
NLICL,2023-10-17,Buy,531.0,583.5,9.89
UMRH,2023-09-18,Buy,342.0,559.0,63.45
PMHPL,2023-09-18,Buy,158.8,311.6,96.22
UMHL,2023-09-17,Buy,174.0,565.7,225.11
SPDL,2023-09-13,Buy,175.0,384.0,119.43
NHPC,2023-09-12,Buy,134.0,188.0,40.3
DHPL,2023-09-12,Buy,140.0,285.0,103.57
PPCL,2023-09-12,Buy,215.0,344.1,60.05
UPCL,2023-09-12,Buy,173.8,353.0,103.11
MKJC,2023-09-11,Buy,325.0,519.7,59.91
MHNL,2023-09-10,Buy,175.0,242.0,38.29
UNHPL,2023-08-27,Buy,165.0,461.0,179.39
RADHI,2023-08-22,Buy,209.0,788.0,277.03
EDBL,2023-04-11,Buy,285.9,596.0,108.46
PLI,2023-04-10,Buy,397.0,587.0,47.86
PLIC,2023-03-09,Buy,422.0,340.0,-19.43
ULI,2023-03-07,Buy,407.0,358.0,-12.04
GLICL,2023-02-08,Buy,456.0,344.0,-24.56
NIB,2023-01-01,Buy,239.6,251.0,4.76
MEGA,2022-12-26,Buy,196.5,219.0,11.45
SRBL,2022-12-26,Buy,183.5,173.1,-5.67
BOKL,2022-12-26,Buy,205.0,207.3,1.12
HPPL,2022-12-22,Buy,217.9,457.0,109.73
