Symbol,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
AKJCL,35,388.0,396.0,23395.0,280.0,23675.0,174.34
SSHL,0,0.0,231.0,15000.0,0.0,15000.0,0.0
HURJA,47,118.0,294.5,0.0,8295.5,8295.5,149.58
UNHPL,65,415.38,538.8,0.0,8022.0,8022.0,29.71
DORDI,130,307.54,290.3,0.0,-2241.0,-2241.0,-5.61
MEL,164,323.0,287.1,0.0,-5887.6,-5887.6,-11.11
PPCL,10,390.0,409.0,-8000.0,190.0,-7810.0,-200.26
SINDU,115,866.3,785.7,0.0,-9269.5,-9269.5,-9.3
HLBSL,95,1079.0,930.0,0.0,-14155.0,-14155.0,-13.81
SAGAR,90,2220.0,1950.0,0.0,-24300.0,-24300.0,-12.16
GBLBS,60,1519.0,795.0,0.0,-43440.0,-43440.0,-47.66
