Symbol,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
HURJA,47,118.0,225.8,0,5066.6,5066.6,91.36
UNHPL,20,315.0,490.0,0,3500.0,3500.0,55.56
AKJCL,10,220.0,186.7,0,-333.0,-333.0,-15.14
DORDI,120,312.0,252.2,0,-7176.0,-7176.0,-19.17
MEL,164,323.0,272.0,0,-8364.0,-8364.0,-15.79
HLBSL,95,1079.0,925.0,0,-14630.0,-14630.0,-14.27
SINDU,64,969.14,706.0,-335,-16841.0,-17176.0,-27.69
PPCL,510,390.0,348.9,0,-20961.0,-20961.0,-10.54
GBLBS,20,3007.0,820.0,0,-43740.0,-43740.0,-72.73
