Symbol,50 vs 20 EMA Cross,Date
HATHY,VLUCL - 2024-02-21 00:00:00 - Cross - Close: 533.1,2024-02-21
HBL,UPCL - 2024-02-20 00:00:00 - Cross - Close: 222.1,2024-02-20
HDHPC,WNLB - 2024-02-15 00:00:00 - Cross - Close: 834.1,2024-02-15
HDL,UNL - 2024-01-30 00:00:00 - Cross - Close: 39993.0,2024-01-30
HEI,SHLB - 2024-02-14 00:00:00 - Cross - Close: 915.0,2024-02-14
HEIP,SMB - 2024-02-13 00:00:00 - Cross - Close: 970.0,2024-02-13
HHL,SHL - 2024-02-12 00:00:00 - Cross - Close: 464.7,2024-02-12
HIDCL,VLUCL - 2024-02-11 00:00:00 - Cross - Close: 525.1,2024-02-11
HIDCLP,SADBL - 2024-02-08 00:00:00 - Cross - Close: 311.0,2024-02-08
HLBSL,SIFC - 2024-02-07 00:00:00 - Cross - Close: 361.0,2024-02-07
HLI,UNL - 2024-01-21 00:00:00 - Cross - Close: 40200.0,2024-01-21
HPPL,UNL - 2024-01-18 00:00:00 - Cross - Close: 40200.0,2024-01-18
HRL,VLBS - 2024-02-04 00:00:00 - Cross - Close: 635.0,2024-02-04
HURJA,SWBBL - 2024-02-01 00:00:00 - Cross - Close: 735.1,2024-02-01
ICFC,SMATA - 2024-01-31 00:00:00 - Cross - Close: 630.0,2024-01-31
ICFCD83,UNL - 2024-01-11 00:00:00 - Cross - Close: 38750.0,2024-01-11
IGI,SADBL - 2024-01-29 00:00:00 - Cross - Close: 306.6,2024-01-29
IHL,TRADING - 2024-01-23 00:00:00 - Cross - Close: 2839.48,2024-01-23
ILBS,SIFC - 2024-01-25 00:00:00 - Cross - Close: 350.0,2024-01-25
ILI,SADBL - 2024-01-24 00:00:00 - Cross - Close: 300.2,2024-01-24
JALPA,STC - 2024-01-23 00:00:00 - Cross - Close: 5280.0,2024-01-23
JBBD87,SPIL - 2024-01-22 00:00:00 - Cross - Close: 742.0,2024-01-22
JBBL,SBL - 2024-01-21 00:00:00 - Cross - Close: 240.0,2024-01-21
JBLB,TRH - 2024-01-18 00:00:00 - Cross - Close: 821.2,2024-01-18
JFL,SJLIC - 2024-01-17 00:00:00 - Cross - Close: 535.2,2024-01-17
JOSHI,NTC - 2024-01-16 00:00:00 - Cross - Close: 898.0,2024-01-16
JSLBB,UPPER - 2024-01-14 00:00:00 - Cross - Close: 211.5,2024-01-14
KBL,SHIVM - 2024-01-11 00:00:00 - Cross - Close: 518.1,2024-01-11
KBLD86,SRLI - 2024-01-10 00:00:00 - Cross - Close: 475.0,2024-01-10
KBSH,SMATA - 2024-01-09 00:00:00 - Cross - Close: 618.0,2024-01-09
KDBY,SRLI - 2024-01-08 00:00:00 - Cross - Close: 470.0,2024-01-08
KDL,SWBBL - 2024-01-07 00:00:00 - Cross - Close: 710.5,2024-01-07
KEF,SRLI - 2024-01-04 00:00:00 - Cross - Close: 470.0,2024-01-04
KKHC,SMATA - 2024-01-03 00:00:00 - Cross - Close: 605.0,2024-01-03
KLBSL,SKBBL - 2024-01-02 00:00:00 - Cross - Close: 865.0,2024-01-02
KMCDB,UPPER - 2024-01-01 00:00:00 - Cross - Close: 199.0,2024-01-01
KPCL,NBL - 2023-12-28 00:00:00 - Cross - Close: 240.0,2023-12-28
KRBL,SFMF - 2023-12-13 00:00:00 - Cross - Close: 9.58,2023-12-13
KSBBL,SCB - 2023-12-24 00:00:00 - Cross - Close: 518.8,2023-12-24
KSBBLD87,SPHL - 2023-12-21 00:00:00 - Cross - Close: 418.7,2023-12-21
LBBL,UMRH - 2023-12-19 00:00:00 - Cross - Close: 336.1,2023-12-19
LBLD86,USLB - 2023-12-18 00:00:00 - Cross - Close: 720.0,2023-12-18
LEC,UNLB - 2023-12-14 00:00:00 - Cross - Close: 1016.0,2023-12-14
LICN,ULHC - 2023-12-14 00:00:00 - Cross - Close: 260.0,2023-12-14
LLBS,WNLB - 2023-12-12 00:00:00 - Cross - Close: 730.0,2023-12-12
LSL,TRADING - 2023-12-07 00:00:00 - Cross - Close: 2682.62,2023-12-07
LUK,SMH - 2023-12-11 00:00:00 - Cross - Close: 535.0,2023-12-11
LVF2,UPPER - 2023-12-10 00:00:00 - Cross - Close: 214.0,2023-12-10
MAKAR,USHEC - 2023-12-07 00:00:00 - Cross - Close: 239.1,2023-12-07
MANDU,RBCL - 2023-12-06 00:00:00 - Cross - Close: 13550.0,2023-12-06
MBJC,UPCL - 2023-12-05 00:00:00 - Cross - Close: 177.0,2023-12-05
MBL,UMHL - 2023-12-04 00:00:00 - Cross - Close: 178.0,2023-12-04
MBLD87,MLBL - 2023-12-03 00:00:00 - Cross - Close: 304.0,2023-12-03
MCHL,SPIL - 2023-11-30 00:00:00 - Cross - Close: 710.0,2023-11-30
MDB,UNHPL - 2023-11-29 00:00:00 - Cross - Close: 170.0,2023-11-29
MEHL,UPCL - 2023-11-28 00:00:00 - Cross - Close: 182.0,2023-11-28
MEL,USHL - 2023-11-27 00:00:00 - Cross - Close: 347.6,2023-11-27
MEN,UMHL - 2023-11-26 00:00:00 - Cross - Close: 188.0,2023-11-26
MERO,VLBS - 2023-11-23 00:00:00 - Cross - Close: 583.8,2023-11-23
MFIL,TSHL - 2023-11-22 00:00:00 - Cross - Close: 351.0,2023-11-22
MHCL,UNL - 2023-10-16 00:00:00 - Cross - Close: 35850.0,2023-10-16
MHL,TRH - 2023-11-09 00:00:00 - Cross - Close: 739.5,2023-11-09
MKCL,WNLB - 2023-11-05 00:00:00 - Cross - Close: 724.9,2023-11-05
MKHC,MLBSL - 2023-11-06 00:00:00 - Cross - Close: 1775.0,2023-11-06
MKHL,PCBL - 2023-11-06 00:00:00 - Cross - Close: 183.3,2023-11-06
MKJC,WNLB - 2023-10-30 00:00:00 - Cross - Close: 738.0,2023-10-30
MLBL,USHEC - 2023-10-31 00:00:00 - Cross - Close: 241.7,2023-10-31
MLBS,UMRH - 2023-10-30 00:00:00 - Cross - Close: 379.0,2023-10-30
MLBSL,UNL - 2023-09-26 00:00:00 - Cross - Close: 35266.0,2023-09-26
MMF1,USLB - 2023-10-19 00:00:00 - Cross - Close: 715.5,2023-10-19
MMKJL,TSHL - 2023-10-18 00:00:00 - Cross - Close: 336.0,2023-10-18
MNBBL,TPC - 2023-10-16 00:00:00 - Cross - Close: 325.0,2023-10-16
MND84/85,UNL - 2023-09-19 00:00:00 - Cross - Close: 35590.0,2023-09-19
MPFL,SPC - 2023-10-12 00:00:00 - Cross - Close: 366.6,2023-10-12
MSHL,UNHPL - 2023-10-11 00:00:00 - Cross - Close: 171.0,2023-10-11
MSLB,UHEWA - 2023-10-10 00:00:00 - Cross - Close: 299.1,2023-10-10
NABBC,VLBS - 2023-10-09 00:00:00 - Cross - Close: 592.0,2023-10-09
NABIL,UPCL - 2023-10-08 00:00:00 - Cross - Close: 183.1,2023-10-08
NABILD87,UMHL - 2023-10-05 00:00:00 - Cross - Close: 187.0,2023-10-05
NADEP,USLB - 2023-09-26 00:00:00 - Cross - Close: 749.6,2023-09-26
NBF2,STC - 2023-10-03 00:00:00 - Cross - Close: 5321.0,2023-10-03
NBF3,SMHL - 2023-10-02 00:00:00 - Cross - Close: 344.5,2023-10-02
NBL,VLBS - 2023-10-01 00:00:00 - Cross - Close: 598.0,2023-10-01
NBLD82,UNL - 2023-08-30 00:00:00 - Cross - Close: 35260.0,2023-08-30
NBLD85,TPC - 2023-09-25 00:00:00 - Cross - Close: 359.0,2023-09-25
NCCD86,UPCL - 2023-09-25 00:00:00 - Cross - Close: 190.0,2023-09-25
NESDO,TRH - 2023-09-21 00:00:00 - Cross - Close: 770.0,2023-09-21
NFS,USHEC - 2023-09-21 00:00:00 - Cross - Close: 250.0,2023-09-21
NGPL,SMJC - 2023-09-19 00:00:00 - Cross - Close: 243.0,2023-09-19
NHDL,UHEWA - 2023-09-18 00:00:00 - Cross - Close: 299.0,2023-09-18
NHPC,SMATA - 2023-09-17 00:00:00 - Cross - Close: 650.0,2023-09-17
