Symbol,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
AKJCL,35,388.0,344.3,23395.0,-1529.5,21865.5,161.01
SSHL,0,0.0,193.3,15000.0,0.0,15000.0,0.0
HURJA,47,118.0,230.0,0.0,5264.0,5264.0,94.92
UNHPL,65,415.38,354.0,0.0,-3990.0,-3990.0,-14.78
PPCL,10,390.0,329.0,-8000.0,-610.0,-8610.0,-220.77
DORDI,130,307.54,239.0,0.0,-8910.0,-8910.0,-22.29
MEL,164,323.0,197.6,0.0,-20565.6,-20565.6,-38.82
HLBSL,95,1079.0,858.9,0.0,-20909.5,-20909.5,-20.4
SINDU,115,866.3,592.0,0.0,-31545.0,-31545.0,-31.66
GBLBS,60,1519.0,659.5,0.0,-51570.0,-51570.0,-56.58
SAGAR,90,2220.0,1520.0,0.0,-63000.0,-63000.0,-31.53
