Symbol,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
AKJCL,35,388.0,402.1,23395.0,493.5,23888.5,175.91
SSHL,0,0.0,237.1,15000.0,0.0,15000.0,0.0
UNHPL,65,415.38,556.9,0.0,9198.5,9198.5,34.07
HURJA,47,118.0,293.0,0.0,8225.0,8225.0,148.31
DORDI,130,307.54,311.0,0.0,450.0,450.0,1.13
SINDU,115,866.3,863.9,0.0,-276.5,-276.5,-0.28
MEL,164,323.0,298.6,0.0,-4001.6,-4001.6,-7.55
PPCL,10,390.0,435.6,-8000.0,456.0,-7544.0,-193.44
HLBSL,95,1079.0,960.0,0.0,-11305.0,-11305.0,-11.03
SAGAR,90,2220.0,2043.0,0.0,-15930.0,-15930.0,-7.97
GBLBS,60,1519.0,813.0,0.0,-42360.0,-42360.0,-46.48
