Symbol,Date,50 vs 20 EMA Cross with RSI
BNHC,2024-08-28,BNHC - 2024-08-28 00:00:00 - Bull Close: 561.0 - RSI: 34.35
VLBS,2024-08-27,VLBS - 2024-08-27 00:00:00 - Bull Close: 931.0 - RSI: 35.90
TPC,2024-08-25,TPC - 2024-08-25 00:00:00 - Bull Close: 482.0 - RSI: 33.17
GLBSL,2024-08-22,GLBSL - 2024-08-22 00:00:00 - Bull Close: 1760.0 - RSI: 39.29
HLBSL,2024-08-13,HLBSL - 2024-08-13 00:00:00 - Bull Close: 1068.9 - RSI: 35.92
AKJCL,2024-08-13,AKJCL - 2024-08-13 00:00:00 - Bear Close: 246.7 - RSI: 68.61
ILBS,2024-08-08,ILBS - 2024-08-08 00:00:00 - Bull Close: 1148.9 - RSI: 39.50
PPL,2024-07-22,PPL - 2024-07-22 00:00:00 - Bear Close: 523.9 - RSI: 66.78
JOSHI,2024-07-22,JOSHI - 2024-07-22 00:00:00 - Bear Close: 324.0 - RSI: 64.26
HDL,2024-07-21,HDL - 2024-07-21 00:00:00 - Bear Close: 1519.0 - RSI: 81.25
SNLI,2024-07-21,SNLI - 2024-07-21 00:00:00 - Bear Close: 543.1 - RSI: 70.97
SJLIC,2024-07-21,SJLIC - 2024-07-21 00:00:00 - Bear Close: 462.6 - RSI: 79.59
HRL,2024-07-18,HRL - 2024-07-18 00:00:00 - Bear Close: 610.0 - RSI: 68.92
BNT,2024-07-17,BNT - 2024-07-17 00:00:00 - Bear Close: 13900.0 - RSI: 72.78
HLI,2024-07-17,HLI - 2024-07-17 00:00:00 - Bear Close: 415.9 - RSI: 71.38
AHPC,2024-07-17,AHPC - 2024-07-17 00:00:00 - Bear Close: 203.0 - RSI: 86.99
RBCL,2024-07-17,RBCL - 2024-07-17 00:00:00 - Bear Close: 14160.0 - RSI: 76.39
SARBTM,2024-07-17,SARBTM - 2024-07-17 00:00:00 - Bear Close: 864.0 - RSI: 67.78
SHEL,2024-07-17,SHEL - 2024-07-17 00:00:00 - Bear Close: 207.4 - RSI: 86.27
NRIC,2024-07-17,NRIC - 2024-07-17 00:00:00 - Bear Close: 718.9 - RSI: 69.84
SHIVM,2024-07-17,SHIVM - 2024-07-17 00:00:00 - Bear Close: 535.9 - RSI: 75.26
AKJCL,2024-07-17,AKJCL - 2024-07-17 00:00:00 - Bull Close: 179.0 - RSI: 36.40
GUFL,2024-07-16,GUFL - 2024-07-16 00:00:00 - Bear Close: 742.9 - RSI: 57.20
AKPL,2024-07-16,AKPL - 2024-07-16 00:00:00 - Bear Close: 202.5 - RSI: 85.83
CHCL,2024-07-16,CHCL - 2024-07-16 00:00:00 - Bear Close: 498.0 - RSI: 84.12
RIDI,2024-07-16,RIDI - 2024-07-16 00:00:00 - Bear Close: 209.5 - RSI: 82.89
CHL,2024-07-16,CHL - 2024-07-16 00:00:00 - Bear Close: 337.5 - RSI: 64.27
SAHAS,2024-07-16,SAHAS - 2024-07-16 00:00:00 - Bear Close: 538.8 - RSI: 62.19
SONA,2024-07-16,SONA - 2024-07-16 00:00:00 - Bear Close: 484.8 - RSI: 71.62
UPCL,2024-07-16,UPCL - 2024-07-16 00:00:00 - Bear Close: 224.0 - RSI: 78.91
SHPC,2024-07-16,SHPC - 2024-07-16 00:00:00 - Bear Close: 354.0 - RSI: 76.59
GCIL,2024-07-16,GCIL - 2024-07-16 00:00:00 - Bear Close: 522.0 - RSI: 69.65
SJCL,2024-07-16,SJCL - 2024-07-16 00:00:00 - Bear Close: 299.3 - RSI: 79.15
MBJC,2024-07-16,MBJC - 2024-07-16 00:00:00 - Bear Close: 325.0 - RSI: 66.91
MEL,2024-07-16,MEL - 2024-07-16 00:00:00 - Bear Close: 251.0 - RSI: 74.97
PMHPL,2024-07-16,PMHPL - 2024-07-16 00:00:00 - Bear Close: 257.5 - RSI: 72.58
NLIC,2024-07-15,NLIC - 2024-07-15 00:00:00 - Bear Close: 619.0 - RSI: 66.58
BPCL,2024-07-15,BPCL - 2024-07-15 00:00:00 - Bear Close: 310.0 - RSI: 77.86
