Symbol,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
AKJCL,35,388.0,358.0,23395.0,-1050.0,22345.0,164.54
SSHL,0,0.0,207.1,15000.0,0.0,15000.0,0.0
HURJA,47,118.0,257.0,0.0,6533.0,6533.0,117.8
UNHPL,65,415.38,359.0,0.0,-3665.0,-3665.0,-13.57
DORDI,130,307.54,263.0,0.0,-5790.0,-5790.0,-14.48
PPCL,10,390.0,335.0,-8000.0,-550.0,-8550.0,-219.23
MEL,164,323.0,214.0,0.0,-17876.0,-17876.0,-33.75
HLBSL,95,1079.0,869.0,0.0,-19950.0,-19950.0,-19.46
GBLBS,60,1519.0,692.0,0.0,-49620.0,-49620.0,-54.44
SINDU,115,866.3,417.9,0.0,-51566.5,-51566.5,-51.76
SAGAR,90,2220.0,1608.0,0.0,-55080.0,-55080.0,-27.57
