Symbol,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
AKJCL,35,388.0,362.6,23395.0,-889.0,22506.0,165.73
SSHL,0,0.0,198.9,15000.0,0.0,15000.0,0.0
HURJA,47,118.0,234.3,0.0,5466.1,5466.1,98.56
UNHPL,65,415.38,397.3,0.0,-1175.5,-1175.5,-4.35
DORDI,130,307.54,248.0,0.0,-7740.0,-7740.0,-19.36
PPCL,10,390.0,353.9,-8000.0,-361.0,-8361.0,-214.38
MEL,164,323.0,225.0,0.0,-16072.0,-16072.0,-30.34
SINDU,115,866.3,709.0,0.0,-18090.0,-18090.0,-18.16
HLBSL,95,1079.0,875.0,0.0,-19380.0,-19380.0,-18.91
GBLBS,60,1519.0,767.6,0.0,-45084.0,-45084.0,-49.47
SAGAR,90,2220.0,1570.0,0.0,-58500.0,-58500.0,-29.28
