Symbol,Date,Open,High,Low,Close
ACLBSL,2024-06-04,955,1007.7,938,960
ADBL,2024-06-04,267.2,267.2,258,266.9
AHL,2024-06-04,495.8,499.8,472,472
AHPC,2024-06-04,155,157.9,155,155.8
AKJCL,2024-06-04,202.2,203.9,201.3,203.8
AKPL,2024-06-04,165,167.9,163.1,163.1
ALBSL,2024-06-04,945,1004,945,996
ALICL,2024-06-04,568,573,567,572.9
ANLB,2024-06-04,2340,2424,2340,2340
API,2024-06-04,171.3,171.3,167,168.9
AVYAN,2024-06-04,876,923.5,876,914.8
BARUN,2024-06-04,240,242,232,237
BBC,2024-06-04,3920,3920,3841,3870
BEDC,2024-06-04,392,412,388,398
BFC,2024-06-04,436,436,427.3,435
BGWT,2024-06-04,882,974,840,904
BHDC,2024-06-04,590,602,586,598
BHL,2024-06-04,351.5,351.5,332,342
BHPL,2024-06-04,570.4,603,550,571
BNHC,2024-06-04,658.6,710,620,635
BNL,2024-06-04,15900,16050,15850,16050
BNT,2024-06-04,12810,13260,12671.2,12671.2
BOKD86,2024-06-04,980.1,980.1,980.1,980.1
BPCL,2024-06-04,292,295.5,292,294
C30MF,2024-06-04,8.9,8.9,8.66,8.66
CBBL,2024-06-04,846.9,846.9,830.1,833.1
CBLD88,2024-06-04,1041,1041,1041,1041
CCBD88,2024-06-04,1075,1075,1075,1075
CFCL,2024-06-04,408.1,430,406,429
CGH,2024-06-04,855,865,855,856.8
CHCL,2024-06-04,442,444,437.2,437.2
CHDC,2024-06-04,875,929,863,919
CHL,2024-06-04,318.5,331.3,312.2,320
CIT,2024-06-04,2152.4,2152.4,2110,2118
CITY,2024-06-04,655.7,657,640,642
CIZBD90,2024-06-04,1043.5,1043.5,1043.5,1043.5
CKHL,2024-06-04,555,560,548.8,550
CLI,2024-06-04,470.6,482,470,480
CMF2,2024-06-04,8.21,8.3,8.21,8.3
CORBL,2024-06-04,479.4,483,466,480
CYCL,2024-06-04,1496,1518,1476,1499
CZBIL,2024-06-04,170.9,172,167.1,170
DDBL,2024-06-04,742.4,744.6,716,734
DHPL,2024-06-04,190.1,192.8,189,190
DLBS,2024-06-04,1240,1282.9,1211,1260
DOLTI,2024-06-04,439,440,422,429.9
DORDI,2024-06-04,439,442,427.1,430
EBL,2024-06-04,527.8,530.5,524.3,530.5
EDBL,2024-06-04,387.6,387.6,375.2,380
EHPL,2024-06-04,544.6,550,508.5,509
ENL,2024-06-04,900,946,900,905
FMDBL,2024-06-04,703.5,703.5,685.5,688
FOWAD,2024-06-04,1247,1265,1234.1,1234.1
GBBD85,2024-06-04,979.1,979.1,979,979
GBBL,2024-06-04,360,367.4,358.2,364
GBIME,2024-06-04,187.2,187.2,182.4,184
GBLBS,2024-06-04,785,791.9,768,770
GCIL,2024-06-04,485,489,478.7,480
GFCL,2024-06-04,478.3,478.3,460.1,466.8
GHL,2024-06-04,149.8,149.8,144,144.9
GIBF1,2024-06-04,8.26,8.59,8.26,8.59
GILB,2024-06-04,1290,1446.5,1290,1446.5
GLBSL,2024-06-04,1901,1948,1877.1,1919
GLH,2024-06-04,204,206,201,203.9
GMFBS,2024-06-04,1290,1323,1240.1,1240.1
GMFIL,2024-06-04,409,409,397,400.1
GRDBL,2024-06-04,430,442.5,428,428
GUFL,2024-06-04,670,671.9,663.2,670
GVL,2024-06-04,508,518,496.9,497
GWFD83,2024-06-04,1225,1225,1225,1225
H8020,2024-06-04,8.97,9.14,8.9,9.14
HATHY,2024-06-04,885.1,935,881,914
HBL,2024-06-04,193.5,193.5,190,191
HDHPC,2024-06-04,131.8,131.8,128.5,129
HDL,2024-06-04,1317,1317,1293.1,1294
HEI,2024-06-04,590,612,590,601
HEIP,2024-06-04,377.1,377.1,350,369.6
