Symbol,Latest_Close,52_Week_Low,52_Week_High,Distance_from_Low_%,Distance_from_High_%
GBIMEP,100.0,100.0,122.0,0.0,-18.03
SLBBLP,453.0,453.0,463.0,0.0,-2.16
PRVUPO,100.0,100.0,100.9,0.0,-0.89
PMLIP,270.0,270.0,270.0,0.0,0.0
PCBLP,100.0,100.0,105.3,0.0,-5.03
HBLPO,131.0,131.0,131.0,0.0,0.0
GMLI,1390.0,1390.0,2699.0,0.0,-48.5
GWFD83,1080.0,1080.0,1464.8,0.0,-26.27
SFCLP,164.0,164.0,164.0,0.0,0.0
JBBLPO,187.0,187.0,187.0,0.0,0.0
ILBSP,624.0,624.0,624.0,0.0,0.0
JBLBP,100.0,100.0,100.0,0.0,0.0
NMFBSP,675.0,675.0,675.0,0.0,0.0
NMLBBLP,334.0,334.0,366.1,0.0,-8.77
NLICP,413.0,413.0,413.0,0.0,0.0
NLICLP,321.0,321.0,321.0,0.0,0.0
MSLBP,735.0,735.0,735.0,0.0,0.0
NABILP,301.1,301.1,301.1,0.0,0.0
MATRIP,523.5,523.5,534.1,0.0,-1.98
ALICLP,252.0,252.0,388.0,0.0,-35.05
SIFCPO,286.0,286.0,286.0,0.0,0.0
FOWADP,660.0,660.0,660.0,0.0,0.0
CYCLP,831.0,831.0,864.0,0.0,-3.82
CZBILP,106.9,106.9,109.0,0.0,-1.93
MLBLPO,193.0,193.0,198.0,0.0,-2.53
MLBSLP,100.0,100.0,100.0,0.0,0.0
MNBBLP,236.2,236.2,236.2,0.0,0.0
KBLPO,100.0,100.0,115.0,0.0,-13.04
LBBLPO,261.0,261.0,261.0,0.0,0.0
KSBBLP,269.0,269.0,269.0,0.0,0.0
KMCDBP,587.0,587.0,605.0,0.0,-2.98
RLFLPO,268.6,268.6,303.0,0.0,-11.35
SBLD2082,1045.2,1045.1,1097.6,0.01,-4.77
RAWA,655.0,653.0,888.0,0.31,-26.24
IHL,450.1,448.3,691.0,0.4,-34.86
MSHL,730.0,725.0,979.0,0.69,-25.43
ICFCD83,1086.9,1079.1,1368.9,0.72,-20.6
ULI,358.0,355.0,746.0,0.85,-52.01
RBBD83,1034.5,1025.7,1100.0,0.86,-5.95
MMKJL,525.0,520.0,699.9,0.96,-24.99
SMH,588.0,582.0,1024.8,1.03,-42.62
HATHY,860.0,851.0,1400.0,1.06,-38.57
SRBLD83,1050.9,1038.8,1126.0,1.16,-6.67
MLBS,1360.0,1344.0,1900.0,1.19,-28.42
DOLTI,388.9,384.2,668.1,1.22,-41.79
CBBLPO,395.0,390.0,395.0,1.28,0.0
NMFBS,1100.2,1086.0,1504.0,1.31,-26.85
MKCL,1336.5,1318.0,1900.0,1.4,-29.66
USLB,1335.0,1315.0,2750.0,1.52,-51.45
GILB,1117.0,1100.0,1441.6,1.55,-22.52
HLI,349.1,343.2,464.0,1.72,-24.76
ADBLD83,1060.9,1042.2,1160.0,1.79,-8.54
SHLB,1490.0,1463.0,2172.0,1.85,-31.4
KBLD90,1500.0,1470.0,1500.0,2.04,0.0
MCHL,363.0,355.5,632.5,2.11,-42.61
SMJC,469.8,460.0,679.3,2.13,-30.84
NICL,489.2,479.0,836.0,2.13,-41.48
NMBD2085,1165.0,1140.0,1188.0,2.19,-1.94
JBLB,1275.7,1248.0,1644.0,2.22,-22.4
CGH,816.0,798.0,1150.0,2.26,-29.04
SMB,1750.0,1710.1,2600.0,2.33,-32.69
MLBSL,1806.1,1765.0,2435.5,2.33,-25.84
NMLBBL,614.0,600.0,807.0,2.33,-23.92
SCBD,1115.5,1090.0,1236.0,2.34,-9.75
VLUCL,520.0,508.0,664.8,2.36,-21.78
NBLD82,1068.3,1042.5,1150.0,2.47,-7.1
NHDL,636.0,620.0,832.0,2.58,-23.56
VLBS,740.0,721.3,1008.0,2.59,-26.59
NLG,619.0,603.0,976.2,2.65,-36.59
UNL,46220.0,45000.0,50724.0,2.71,-8.88
CIT,1780.0,1730.8,2168.0,2.84,-17.9
NRIC,941.1,915.0,1842.0,2.85,-48.91
SKBBL,772.0,750.0,999.0,2.93,-22.72
HRL,685.0,665.0,1139.9,3.01,-39.91
MLBBL,1250.0,1212.5,1690.0,3.09,-26.04
BOKD86KA,1204.0,1167.0,1195.0,3.17,0.75
LBL,173.0,167.5,972.0,3.28,-82.2
CITY,454.9,440.3,998.4,3.32,-54.44
SWBBL,735.0,711.0,1046.5,3.38,-29.77
HLICF,9.04,8.74,10.55,3.43,-14.31
NFS,596.0,576.0,851.0,3.47,-29.96
MEL,263.9,255.0,350.0,3.49,-24.6
LBLD86,1128.0,1089.0,1205.0,3.58,-6.39
NICD83/84,1138.0,1097.6,1138.0,3.68,0.0
NRM,404.5,390.1,590.0,3.69,-31.44
KMCDB,893.1,861.0,1223.0,3.73,-26.97
KPCL,496.0,478.1,711.0,3.74,-30.24
CYCL,1518.0,1462.0,2040.0,3.83,-25.59
NIBD84,1052.1,1013.1,1130.0,3.85,-6.89
NSY,9.6,9.24,10.19,3.9,-5.79
HBLD83,1060.0,1020.0,1111.0,3.92,-4.59
SLBSL,1250.0,1202.7,1767.5,3.93,-29.28
BEDC,395.0,380.0,872.0,3.95,-54.7
MATRI,940.0,904.0,1347.0,3.98,-30.22
SAND2085,1125.0,1081.7,1189.0,4.0,-5.38
TSHL,642.0,616.8,989.0,4.09,-35.09
SMPDA,855.0,821.0,1155.0,4.14,-25.97
HDL,1149.0,1103.0,1556.1,4.17,-26.16
MKHL,630.0,604.4,1027.0,4.24,-38.66
EBLD85,1150.0,1102.5,1250.0,4.31,-8.0
SWMF,668.7,641.1,868.1,4.31,-22.97
EHPL,402.0,385.0,685.0,4.42,-41.31
RBBF40,9.38,8.98,10.2,4.45,-8.04
NBLD85,1055.5,1010.5,1187.0,4.45,-11.08
PBLD84,1110.0,1062.1,1158.4,4.51,-4.18
JSLBB,1107.1,1059.0,1499.3,4.54,-26.16
NIBD2082,1055.0,1008.5,1170.0,4.61,-9.83
SARBTM,848.0,810.0,1048.0,4.69,-19.08
GBBD85,1078.5,1030.0,1135.0,4.71,-4.98
RURU,661.2,631.0,853.0,4.79,-22.49
BNL,15350.0,14635.8,18450.0,4.88,-16.8
SBID83,1075.0,1025.0,1226.0,4.88,-12.32
RBCL,15051.0,14350.0,16900.0,4.89,-10.94
MKHC,326.0,310.7,525.3,4.92,-37.94
SRLIP,210.0,200.0,223.0,5.0,-5.83
JFL,415.0,395.0,558.0,5.06,-25.63
PBD85,1085.9,1033.0,1150.0,5.12,-5.57
SLBBL,820.0,780.0,1155.0,5.13,-29.0
NMB,242.9,231.0,283.0,5.15,-14.17
SALICO,600.0,570.1,765.9,5.24,-21.66
SBLD83,1116.5,1060.4,1116.5,5.29,0.0
NIMBPO,156.0,148.0,184.5,5.41,-15.45
GMFBS,1350.0,1280.0,1871.0,5.47,-27.85
UMRH,540.0,512.0,675.0,5.47,-20.0
PRIN,664.8,630.0,960.3,5.52,-30.77
ENL,900.0,852.6,1256.0,5.56,-28.34
DLBS,1309.0,1240.0,1684.0,5.56,-22.27
KSBBLD87,1100.1,1041.3,1201.0,5.65,-8.4
UNLB,1487.0,1407.0,2480.0,5.69,-40.04
CHCL,482.1,456.0,599.6,5.72,-19.6
PBLD87,1080.6,1021.3,1147.0,5.81,-5.79
NUBL,687.8,650.0,854.4,5.82,-19.5
NMB50,10.33,9.75,11.93,5.95,-13.41
EBLD86,1083.0,1022.0,1150.0,5.97,-5.83
KBSH,1650.0,1557.1,2237.0,5.97,-26.24
SMATA,778.0,734.1,1382.0,5.98,-43.7
MLBL,370.0,348.9,468.6,6.05,-21.04
NBBD2085,1144.0,1078.6,1206.3,6.06,-5.16
NMBD87/88,1103.0,1040.0,1196.4,6.06,-7.81
SICL,624.5,588.8,828.0,6.06,-24.58
CSY,9.41,8.87,10.0,6.09,-5.9
HBLD86,1162.0,1095.1,1201.0,6.11,-3.25
EBLEB89,1057.0,996.1,1117.9,6.11,-5.45
NICAD85/86,1125.0,1060.0,1190.0,6.13,-5.46
BOKL,207.3,195.2,688.0,6.2,-69.87
BGWT,754.0,710.0,1110.0,6.2,-32.07
LICN,821.0,773.0,998.0,6.21,-17.74
BOKD86,1089.0,1025.1,1139.3,6.23,-4.41
ICFCD89,1083.6,1020.0,1110.0,6.24,-2.38
GLBSL,1814.0,1705.2,3097.0,6.38,-41.43
SGICP,266.0,250.0,323.0,6.4,-17.65
EDBL,580.0,545.0,717.3,6.42,-19.14
NIFRA,266.0,249.9,328.1,6.44,-18.93
MND84/85,1100.0,1033.0,1128.0,6.49,-2.48
ALICL,458.0,430.0,759.0,6.51,-39.66
SHINE,407.1,382.0,499.0,6.57,-18.42
SPC,470.0,441.0,591.0,6.58,-20.47
UAIL,449.9,422.1,644.4,6.59,-30.18
JLI,351.9,330.1,998.0,6.6,-64.74
PCBL,241.0,226.0,290.0,6.64,-16.9
SBLD84,1100.0,1031.3,1115.0,6.66,-1.35
LBLD88,1100.0,1031.0,1166.0,6.69,-5.66
NCCD86,1131.0,1060.1,1230.0,6.69,-8.05
SFCL,383.5,359.4,565.0,6.71,-32.12
PMLI,474.9,445.0,589.6,6.72,-19.45
PBD84,1145.0,1072.2,1182.0,6.79,-3.13
MKJC,508.0,475.5,635.0,6.83,-20.0
BHPL,538.0,503.1,1308.4,6.94,-58.88
PROFL,451.0,421.4,589.2,7.02,-23.46
NICAD2091,1075.9,1005.2,1102.6,7.03,-2.42
ACLBSL,964.9,900.0,1240.0,7.21,-22.19
SHL,497.5,464.0,619.0,7.22,-19.63
LSL,215.6,201.0,252.0,7.26,-14.44
NBLD87,1090.0,1015.5,1150.0,7.34,-5.22
NWCL,794.8,740.2,1045.0,7.38,-23.94
SPL,721.0,670.4,1035.0,7.55,-30.34
ILI,436.4,405.0,500.0,7.75,-12.72
SNMAPO,180.0,167.0,180.0,7.78,0.0
SBLD89,1299.0,1205.0,1450.0,7.8,-10.41
NABILD87,1121.1,1040.0,1200.0,7.8,-6.58
SGIC,473.6,439.0,632.0,7.88,-25.06
SBD87,1100.0,1019.5,1139.0,7.9,-3.42
CIZBD86,1198.0,1110.0,1320.9,7.93,-9.3
BNT,11505.0,10660.0,13205.0,7.93,-12.87
BNHC,338.0,313.1,613.8,7.95,-44.93
SRLI,393.0,363.9,451.1,8.0,-12.88
MBJC,291.6,270.0,371.0,8.0,-21.4
FOWAD,1095.1,1012.4,1324.4,8.17,-17.31
MANDU,830.0,766.5,970.0,8.28,-14.43
NIL,609.0,562.0,783.9,8.36,-22.31
HLBSL,907.0,837.0,1100.0,8.36,-17.55
BBC,4864.0,4480.0,6537.0,8.57,-25.59
SBIBD86,1140.0,1050.0,1222.0,8.57,-6.71
SCB,646.0,594.9,712.6,8.59,-9.35
HPPL,391.0,360.0,660.0,8.61,-40.76
MHCL,353.0,325.0,530.0,8.62,-33.4
NLICL,586.0,539.0,691.0,8.72,-15.2
GCIL,435.0,400.0,579.0,8.75,-24.87
MAKAR,495.0,455.0,755.3,8.79,-34.46
PFL,384.0,352.8,475.5,8.84,-19.24
LBBLD89,1291.7,1185.0,1346.0,9.0,-4.03
SFMF,10.25,9.4,11.74,9.04,-12.69
KDL,840.0,770.0,1212.0,9.09,-30.69
NICLBSL,584.0,535.0,764.0,9.16,-23.56
NADEP,760.0,696.0,1046.0,9.2,-27.34
SDBD87,1142.0,1045.7,1196.2,9.21,-4.53
GBIME,233.0,213.0,278.9,9.39,-16.46
JBBD87,1140.0,1042.0,1289.0,9.4,-11.56
MERO,731.1,668.0,1000.0,9.45,-26.89
SHPC,520.0,475.0,684.9,9.47,-24.08
TRH,746.0,681.1,1086.3,9.53,-31.33
MBLD87,1138.0,1038.7,1169.0,9.56,-2.65
NIMB,201.9,184.2,247.0,9.61,-18.26
BHDC,467.0,426.0,706.0,9.62,-33.85
DDBL,834.0,760.2,1010.0,9.71,-17.43
NLIC,771.0,702.0,890.0,9.83,-13.37
MEHL,409.2,372.4,559.0,9.88,-26.8
MEN,587.9,535.0,683.4,9.89,-13.97
CBBL,904.0,822.0,1144.8,9.98,-21.03
GBIMESY2,9.35,8.5,10.18,10.0,-8.15
GBLBS,767.9,698.0,950.0,10.01,-19.17
RNLI,457.7,416.0,545.0,10.02,-16.02
PBLD86,1211.0,1100.2,1211.0,10.07,0.0
OHL,697.0,633.1,1049.5,10.09,-33.59
NLO,269.4,244.33,293.2,10.26,-8.12
MNBBL,375.0,340.1,503.0,10.26,-25.45
RLFL,438.9,398.0,558.0,10.28,-21.34
SNLI,454.0,411.6,538.0,10.3,-15.61
NABIL,520.0,471.0,562.0,10.4,-7.47
LUK,9.91,8.97,11.97,10.48,-17.21
HIDCL,270.7,245.0,340.0,10.49,-20.38
SADBL,415.5,376.0,526.5,10.51,-21.08
RBCLPO,12268.0,11100.0,13530.0,10.52,-9.33
SONA,440.0,398.0,523.3,10.55,-15.92
SPHL,527.9,477.1,770.0,10.65,-31.44
NMBMF,659.9,596.0,835.0,10.72,-20.97
MFLD85,1167.0,1051.8,1203.0,10.95,-2.99
IGI,435.0,392.0,600.0,10.97,-27.5
NSIF2,10.82,9.75,11.93,10.97,-9.3
CLI,456.3,411.0,540.0,11.02,-15.5
CBLD88,1231.1,1108.0,1325.0,11.11,-7.09
TAMOR,441.0,396.4,576.0,11.25,-23.44
SIKLES,601.0,540.0,1177.0,11.3,-48.94
KBLD86,1221.0,1096.3,1307.0,11.37,-6.58
MSLB,1260.0,1130.2,1710.0,11.48,-26.32
SJLIC,435.0,390.0,489.9,11.54,-11.21
RMF1,9.65,8.65,11.4,11.56,-15.35
RHPL,281.7,252.3,457.0,11.65,-38.36
PRVU,201.0,179.9,250.9,11.73,-19.89
BFC,460.0,411.5,579.9,11.79,-20.68
GBBL,411.0,367.4,498.0,11.87,-17.47
LLBS,968.0,865.0,1300.5,11.91,-25.57
AHPC,279.9,250.1,334.0,11.92,-16.2
GRDBL,1057.0,944.0,1668.4,11.97,-36.65
SBCF,9.88,8.82,12.03,12.02,-17.87
JOSHI,285.0,254.0,487.0,12.2,-41.48
HEI,514.0,458.0,654.0,12.23,-21.41
UHEWA,571.0,508.5,669.0,12.29,-14.65
NESDO,1550.0,1380.1,1879.0,12.31,-17.51
SBI,408.7,363.0,452.0,12.59,-9.58
MLBLD89,1305.0,1159.0,1350.0,12.6,-3.33
NRN,1495.0,1327.0,2444.0,12.66,-38.83
SBD89,1279.5,1135.1,1279.5,12.72,0.0
MDB,598.0,530.5,729.7,12.72,-18.05
FMDBL,809.9,718.0,1038.8,12.8,-22.04
NICGF2,9.4,8.33,10.03,12.85,-6.28
LVF2,9.9,8.76,11.45,13.01,-13.54
NYADI,400.3,354.0,579.9,13.08,-30.97
CZBIL,207.0,183.0,240.1,13.11,-13.79
AHL,522.0,461.1,737.0,13.21,-29.17
GUFL,522.0,460.6,644.0,13.33,-18.94
ICFC,629.5,555.0,730.9,13.42,-13.87
MHL,504.9,445.0,704.6,13.46,-28.34
NICFC,9.5,8.37,10.4,13.5,-8.65
HBL,209.0,184.0,261.0,13.59,-19.92
NBF2,10.1,8.89,11.1,13.61,-9.01
USHL,668.0,588.0,945.0,13.61,-29.31
SFEF,10.05,8.82,11.12,13.95,-9.62
SMFBS,1698.0,1490.0,2026.0,13.96,-16.19
SMHL,505.0,443.0,1230.0,14.0,-58.94
SHINED,1140.0,1000.0,1200.0,14.0,-5.0
NIBLGF,9.4,8.24,11.81,14.08,-20.41
NICSF,9.18,8.04,9.99,14.18,-8.11
CIZBD90,1279.0,1120.0,1303.0,14.2,-1.84
HEIP,335.0,293.1,398.0,14.3,-15.83
CFCL,509.0,445.1,608.5,14.36,-16.35
NTC,872.0,762.5,942.5,14.36,-7.48
ADBL,312.0,272.3,344.9,14.58,-9.54
NMBD89/90,1314.0,1145.1,1336.0,14.75,-1.65
NICBF,9.7,8.45,11.2,14.79,-13.39
SLCF,9.88,8.6,11.99,14.88,-17.6
SPIL,718.0,625.0,894.5,14.88,-19.73
GSY,10.0,8.7,10.4,14.94,-3.85
SAGF,10.11,8.79,11.31,15.02,-10.61
KBLD89,1337.8,1162.6,1379.0,15.07,-2.99
SEF,9.9,8.6,11.53,15.12,-14.14
SJCL,308.0,267.0,365.0,15.36,-15.62
MMF1,9.51,8.22,10.16,15.69,-6.4
SIGS2,10.3,8.9,11.7,15.73,-11.97
CMF2,10.0,8.64,10.86,15.74,-7.92
DHPL,307.0,265.0,392.0,15.85,-21.68
NIBSF2,9.35,8.06,11.13,16.0,-15.99
CHDC,2310.0,1990.0,2997.9,16.08,-22.95
C30MF,10.1,8.7,10.71,16.09,-5.7
SANIMA,342.5,295.0,391.0,16.1,-12.4
RSDC,672.0,578.7,880.0,16.12,-23.64
PBD88,1279.9,1099.7,1279.9,16.39,0.0
HIDCLP,203.0,174.4,239.0,16.4,-15.06
KSY,9.6,8.21,10.51,16.93,-8.66
NIBLSTF,9.25,7.89,10.85,17.24,-14.75
RMF2,10.3,8.78,10.58,17.31,-2.65
GVL,498.0,424.0,662.0,17.45,-24.77
USHEC,482.0,410.0,580.2,17.56,-16.93
STC,5689.9,4832.0,6335.9,17.75,-10.2
MNMF1,10.05,8.53,10.4,17.82,-3.37
GLH,268.8,227.4,328.2,18.21,-18.1
GFCL,624.5,528.3,756.8,18.21,-17.48
UPCL,382.0,323.0,489.0,18.27,-21.88
SADBLP,233.0,197.0,234.0,18.27,-0.43
BARUN,346.0,292.1,589.0,18.45,-41.26
NICA,361.0,304.5,428.4,18.56,-15.73
