Symbol,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
AKJCL,150,280.67,354.2,0,11030.0,11030.0,26.2
HURJA,47,118.0,244.0,0,5922.0,5922.0,106.78
UNHPL,65,415.38,497.0,0,5305.0,5305.0,19.65
SSHL,200,190.0,195.4,0,1080.0,1080.0,2.84
SINDU,115,866.3,842.0,0,-2795.0,-2795.0,-2.81
DORDI,130,307.54,276.0,0,-4100.0,-4100.0,-10.26
PPCL,510,390.0,375.0,0,-7650.0,-7650.0,-3.85
MEL,164,323.0,276.0,0,-7708.0,-7708.0,-14.55
SAGAR,90,2220.0,2120.0,0,-9000.0,-9000.0,-4.5
HLBSL,95,1079.0,920.0,0,-15105.0,-15105.0,-14.74
GBLBS,20,3007.0,767.0,0,-44800.0,-44800.0,-74.49
