Symbol,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
AKJCL,150,280.67,364.8,0,12620.0,12620.0,29.98
HURJA,47,118.0,268.9,0,7092.3,7092.3,127.88
UNHPL,65,415.38,489.0,0,4785.0,4785.0,17.72
SSHL,200,190.0,198.0,0,1600.0,1600.0,4.21
DORDI,130,307.54,287.1,0,-2657.0,-2657.0,-6.65
MEL,164,323.0,297.9,0,-4116.4,-4116.4,-7.77
PPCL,510,390.0,380.0,0,-5100.0,-5100.0,-2.56
SINDU,115,866.3,788.0,0,-9005.0,-9005.0,-9.04
SAGAR,90,2220.0,2052.0,0,-15120.0,-15120.0,-7.57
HLBSL,95,1079.0,910.0,0,-16055.0,-16055.0,-15.66
GBLBS,60,1519.0,767.0,0,-45120.0,-45120.0,-49.51
