Symbol,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
HURJA,47,118.0,302.0,0.0,8648.0,8648.0,155.93
SSHL,200,190.0,229.8,0.0,7960.0,7960.0,20.95
UNHPL,65,415.38,490.8,0.0,4902.0,4902.0,18.16
AKJCL,535,384.15,368.1,10335.0,-8586.5,1748.5,0.85
DORDI,130,307.54,311.0,0.0,450.0,450.0,1.13
MEL,164,323.0,300.5,0.0,-3690.0,-3690.0,-6.97
PPCL,10,390.0,424.9,-8000.0,349.0,-7651.0,-196.18
SINDU,115,866.3,768.1,0.0,-11293.5,-11293.5,-11.34
HLBSL,95,1079.0,950.0,0.0,-12255.0,-12255.0,-11.96
SAGAR,90,2220.0,1965.0,0.0,-22950.0,-22950.0,-11.49
GBLBS,60,1519.0,804.0,0.0,-42900.0,-42900.0,-47.07
