Symbol,Date,Open,High,Low,Close,Percent Change,Volume,52High,52Low
ICFC,3/26/2026,675.0,684.9,670.0,678.0,0.44,32176.0,730.9,555.0
ICFCD83,3/26/2026,1105.0,1110.2,1105.0,1110.2,0.47,200.0,1368.9,1088.5
ICFCD88,3/26/2026,1155.0,1165.0,1155.0,1165.0,0.87,124.0,1216.0,1044.1
IGI,3/26/2026,471.0,492.0,470.0,486.0,3.18,31932.0,600.0,392.0
IHL,3/26/2026,518.0,522.0,515.2,519.0,0.19,12866.0,718.0,490.0
ILBS,3/26/2026,1057.0,1057.0,1026.1,1035.0,-2.08,7429.0,1311.0,795.2
ILI,3/26/2026,460.1,469.0,460.1,468.0,1.72,24419.0,500.0,405.0
JBBL,3/26/2026,374.0,385.0,374.0,384.9,2.91,142213.0,413.0,295.0
JBLB,3/26/2026,1385.0,1390.0,1375.0,1382.5,-0.18,9718.0,1644.0,1270.7
JFL,3/26/2026,455.0,457.0,451.0,456.0,0.22,11158.0,558.0,395.0
JHAPA,3/26/2026,1420.0,1473.7,1420.0,1445.0,1.76,11029.0,1749.0,293.4
JOSHI,3/26/2026,315.0,319.0,310.1,315.0,0.0,51422.0,487.0,254.0
JSLBB,3/26/2026,1220.0,1234.0,1202.0,1234.0,1.15,759.0,1535.8,1059.0
KBL,3/26/2026,242.0,244.0,238.0,240.0,-0.83,1376978.0,256.0,175.5
KBSH,3/26/2026,1695.4,1728.0,1694.0,1705.0,0.57,617.0,2579.0,1618.0
KDBY,3/26/2026,10.42,10.76,10.32,10.76,3.26,366450.0,10.76,8.67
KDL,3/26/2026,890.2,915.0,890.2,914.0,2.67,3277.0,1212.0,770.0
KEF,3/26/2026,10.0,10.2,10.0,10.15,1.5,38395.0,10.42,8.31
KKHC,3/26/2026,291.2,296.9,285.8,292.0,0.27,167300.0,475.9,208.0
KMCDB,3/26/2026,976.0,985.0,965.0,985.0,0.92,3333.0,1223.0,893.0
KPCL,3/26/2026,540.0,544.0,533.6,537.1,-0.54,42782.0,711.0,491.0
KSBBL,3/26/2026,500.0,507.3,497.4,506.0,1.2,58050.0,588.0,404.1
KSY,3/26/2026,9.72,9.9,9.56,9.77,0.51,3700.0,10.51,8.21
LBBL,3/26/2026,510.0,524.0,505.0,524.0,2.75,122932.0,646.3,376.5
LBBLD89,3/26/2026,1315.7,1335.0,1315.7,1335.0,1.47,225.0,1346.0,1150.1
LEC,3/26/2026,262.0,262.7,252.8,260.5,-0.57,417015.0,276.0,180.0
LICN,3/26/2026,877.0,887.4,870.0,880.0,0.34,25468.0,1052.0,773.0
LLBS,3/26/2026,1040.0,1040.0,1000.1,1040.0,0.0,2035.0,1300.5,865.0
LSL,3/26/2026,236.5,236.5,229.5,235.0,-0.63,301843.0,252.0,201.0
LUK,3/26/2026,9.83,10.09,9.83,10.09,2.64,2600.0,11.97,8.97
LVF2,3/26/2026,9.95,10.0,9.95,10.0,0.5,1150.0,11.45,8.76
MABEL,3/26/2026,760.1,783.7,756.2,773.0,1.7,34594.0,927.0,317.7
MAKAR,3/26/2026,538.0,554.0,538.0,541.5,0.65,7350.0,802.0,515.0
MANDU,3/26/2026,838.0,859.8,838.0,859.5,2.57,5120.0,970.0,766.5
MATRI,3/26/2026,1000.0,1019.5,1000.0,1007.0,0.7,1773.0,1347.0,904.0
MBJC,3/26/2026,314.0,318.0,311.3,317.0,0.96,86331.0,371.0,270.0
MBL,3/26/2026,266.0,269.0,252.9,266.9,0.34,289333.0,284.0,205.0
MBLEF,3/26/2026,10.21,10.7,10.21,10.6,3.82,270050.0,10.8,8.59
MCHL,3/26/2026,420.0,424.0,416.0,422.0,0.48,8266.0,641.0,392.0
MDB,3/26/2026,646.0,659.5,645.0,650.0,0.62,18497.0,729.7,530.5
MEHL,3/26/2026,465.1,475.0,465.1,473.0,1.7,19052.0,580.0,372.4
MEL,3/26/2026,298.0,300.0,295.1,299.0,0.34,25533.0,350.0,255.0
MEN,3/26/2026,624.0,629.9,615.0,621.5,-0.4,104901.0,683.4,535.0
MERO,3/26/2026,786.0,799.0,775.0,798.0,1.53,9135.0,1000.0,668.0
MFIL,3/26/2026,880.7,880.7,852.6,869.9,-1.23,68901.0,938.0,545.0
MFLD85,3/26/2026,1140.0,1186.0,1131.0,1186.0,4.04,300.0,1201.0,1051.8
MHCL,3/26/2026,385.0,392.7,380.1,390.0,1.3,28331.0,543.9,325.0
MHL,3/26/2026,554.0,554.0,546.1,549.2,-0.87,32584.0,738.7,445.0
MHNL,3/26/2026,305.7,315.0,305.7,314.7,2.94,37784.0,324.0,226.0
MKCL,3/26/2026,1409.0,1435.0,1400.6,1432.0,1.63,3439.0,1900.0,1333.0
MKHC,3/26/2026,349.1,367.1,345.0,366.0,4.84,68333.0,544.9,310.7
MKHL,3/26/2026,783.5,814.0,770.0,801.0,2.23,7778.0,1027.0,652.0
MKJC,3/26/2026,544.0,547.0,535.0,540.0,-0.74,18582.0,635.0,475.5
MLBBL,3/26/2026,1380.0,1380.0,1356.0,1375.0,-0.36,1670.0,1690.0,1285.0
MLBL,3/26/2026,400.0,402.0,395.4,398.0,-0.5,40754.0,468.6,348.9
MLBS,3/26/2026,1536.0,1536.0,1490.1,1536.0,0.0,1383.0,1900.0,1395.0
MLBSL,3/26/2026,1999.9,2000.2,1950.0,1979.0,-1.05,771.0,2435.5,1808.4
MMF1,3/26/2026,9.64,9.83,9.56,9.8,1.66,19635.0,10.09,8.22
MMKJL,3/26/2026,570.0,578.0,566.0,573.0,0.53,12743.0,732.9,528.2
MNBBL,3/26/2026,401.0,401.0,396.0,399.1,-0.47,66451.0,503.0,340.1
MNMF1,3/26/2026,9.81,10.17,9.81,10.09,2.85,125150.0,10.17,8.53
MPFL,3/26/2026,719.4,719.4,698.1,719.0,-0.06,31689.0,744.0,491.0
MSHL,3/26/2026,801.0,804.3,795.0,804.3,0.41,3045.0,979.0,782.0
