Symbol,Date,Open,High,Low,Close,Percent Change,Volume,52High,52Low
PRVU,3/26/2026,224.9,224.9,220.0,223.7,-0.53,304331.0,250.9,179.9
PSF,3/26/2026,11.65,12.05,11.65,12.05,3.43,31630.0,12.11,9.86
PURE,3/26/2026,1030.0,1040.0,1005.0,1035.0,0.49,23665.0,1327.9,289.3
RADHI,3/26/2026,899.0,902.9,890.2,897.0,-0.22,258398.0,940.0,380.0
RAWA,3/26/2026,718.0,723.0,715.0,715.0,-0.42,1529.0,913.8,686.0
RBBD2088,3/26/2026,1078.0,1078.0,1078.0,1078.0,0.0,25.0,1100.0,967.6
RBBF40,3/26/2026,9.65,9.85,9.46,9.85,2.07,3100.0,10.2,8.98
RBCL,3/26/2026,15932.0,15940.0,15930.0,15940.0,0.05,106.0,16900.0,14302.1
RBCLPO,3/26/2026,12800.0,12800.0,12545.0,12800.0,0.0,110.0,13530.0,11100.0
RFPL,3/26/2026,424.0,429.0,420.0,427.3,0.78,127090.0,785.0,306.0
RHGCL,3/26/2026,320.0,329.9,317.0,325.3,1.66,112401.0,601.0,217.2
RHPL,3/26/2026,314.5,314.8,308.3,314.2,-0.1,55381.0,457.0,252.3
RIDI,3/26/2026,356.0,379.4,351.2,379.0,6.46,1220472.0,380.1,203.5
RLFL,3/26/2026,500.0,500.0,488.0,493.0,-1.4,22183.0,576.0,398.0
RMF1,3/26/2026,9.87,11.0,9.87,9.9,0.3,85551.0,11.4,8.65
RMF2,3/26/2026,10.22,10.42,10.22,10.29,0.68,1200.0,10.58,8.78
RNLI,3/26/2026,490.0,496.2,487.0,492.1,0.43,44526.0,561.0,416.0
RSDC,3/26/2026,734.0,735.0,697.7,730.0,-0.54,46327.0,880.0,578.7
RSML,3/26/2026,1821.0,2013.1,1821.0,2013.1,10.55,3368.0,2013.1,300.0
RSY,3/26/2026,10.16,10.53,10.16,10.25,0.89,420700.0,10.7,8.58
RURU,3/26/2026,685.0,699.7,685.0,688.8,0.55,7910.0,853.0,640.0
SABBL,3/26/2026,1700.0,1708.0,1600.0,1683.0,-1.0,111799.0,2000.0,300.0
SADBL,3/26/2026,445.0,453.8,444.0,453.8,1.98,126166.0,526.5,376.0
SAGAR,3/26/2026,2043.0,2090.9,2011.0,2055.0,0.59,37964.0,2439.0,319.5
SAGF,3/26/2026,9.96,10.4,9.96,10.4,4.42,24700.0,11.31,8.79
SAHAS,3/26/2026,635.1,637.0,626.0,636.0,0.14,197131.0,705.0,493.0
