Symbol,Latest_Close,52_Week_Low,52_Week_High,Distance_from_Low_%,Distance_from_High_%,Chart_URL
SLBBLP,453.0,453.0,499.0,0.0,-9.22,https://nepsealpha.com/nepse-chart?symbol=SLBBLP
GBIMEP,100.0,100.0,122.0,0.0,-18.03,https://nepsealpha.com/nepse-chart?symbol=GBIMEP
MSHL,795.1,795.0,1059.0,0.01,-24.92,https://nepsealpha.com/nepse-chart?symbol=MSHL
SWBBL,725.2,724.8,1046.5,0.06,-30.7,https://nepsealpha.com/nepse-chart?symbol=SWBBL
SMJC,479.0,478.5,735.0,0.1,-34.83,https://nepsealpha.com/nepse-chart?symbol=SMJC
NIMB,186.0,185.5,247.0,0.27,-24.7,https://nepsealpha.com/nepse-chart?symbol=NIMB
MHCL,364.0,363.0,655.0,0.28,-44.43,https://nepsealpha.com/nepse-chart?symbol=MHCL
MLBSL,1850.0,1841.2,2569.0,0.48,-27.99,https://nepsealpha.com/nepse-chart?symbol=MLBSL
TAMOR,413.1,411.0,592.6,0.51,-30.29,https://nepsealpha.com/nepse-chart?symbol=TAMOR
SKBBL,756.0,752.0,999.0,0.53,-24.32,https://nepsealpha.com/nepse-chart?symbol=SKBBL
NICL,485.6,483.0,1047.0,0.54,-53.62,https://nepsealpha.com/nepse-chart?symbol=NICL
CIT,1741.0,1730.8,2200.0,0.59,-20.86,https://nepsealpha.com/nepse-chart?symbol=CIT
UNLB,1830.0,1818.4,2699.9,0.64,-32.22,https://nepsealpha.com/nepse-chart?symbol=UNLB
BGWT,755.0,750.0,1170.0,0.67,-35.47,https://nepsealpha.com/nepse-chart?symbol=BGWT
MKCL,1345.0,1333.0,1900.0,0.9,-29.21,https://nepsealpha.com/nepse-chart?symbol=MKCL
NLG,667.0,660.0,1022.0,1.06,-34.74,https://nepsealpha.com/nepse-chart?symbol=NLG
SHLB,1558.0,1540.2,2748.9,1.16,-43.32,https://nepsealpha.com/nepse-chart?symbol=SHLB
PRVU,182.0,179.9,250.9,1.17,-27.46,https://nepsealpha.com/nepse-chart?symbol=PRVU
MKHC,317.0,313.0,606.0,1.28,-47.69,https://nepsealpha.com/nepse-chart?symbol=MKHC
CHCL,461.9,456.0,599.6,1.29,-22.97,https://nepsealpha.com/nepse-chart?symbol=CHCL
NMB,234.0,231.0,283.0,1.3,-17.31,https://nepsealpha.com/nepse-chart?symbol=NMB
RURU,649.0,640.0,853.0,1.41,-23.92,https://nepsealpha.com/nepse-chart?symbol=RURU
USLB,1425.0,1405.0,2750.0,1.42,-48.18,https://nepsealpha.com/nepse-chart?symbol=USLB
GLBSL,1889.8,1862.1,3381.3,1.49,-44.11,https://nepsealpha.com/nepse-chart?symbol=GLBSL
CITY,468.0,461.0,998.4,1.52,-53.12,https://nepsealpha.com/nepse-chart?symbol=CITY
MLBS,1417.0,1395.0,2285.0,1.58,-37.99,https://nepsealpha.com/nepse-chart?symbol=MLBS
HBL,186.9,184.0,261.0,1.58,-28.39,https://nepsealpha.com/nepse-chart?symbol=HBL
ALICL,437.0,430.0,831.0,1.63,-47.41,https://nepsealpha.com/nepse-chart?symbol=ALICL
NMLBBL,609.9,600.0,807.0,1.65,-24.42,https://nepsealpha.com/nepse-chart?symbol=NMLBBL
CGH,813.5,800.2,1150.0,1.66,-29.26,https://nepsealpha.com/nepse-chart?symbol=CGH
CSY,9.15,9.0,10.0,1.67,-8.5,https://nepsealpha.com/nepse-chart?symbol=CSY
LSL,204.5,201.0,252.0,1.74,-18.85,https://nepsealpha.com/nepse-chart?symbol=LSL
HLI,361.0,354.8,477.0,1.75,-24.32,https://nepsealpha.com/nepse-chart?symbol=HLI
SPL,739.0,725.1,1035.0,1.92,-28.6,https://nepsealpha.com/nepse-chart?symbol=SPL
NHDL,635.0,623.0,1002.6,1.93,-36.66,https://nepsealpha.com/nepse-chart?symbol=NHDL
MLBBL,1309.9,1285.0,2019.0,1.94,-35.12,https://nepsealpha.com/nepse-chart?symbol=MLBBL
AHL,510.0,499.5,839.9,2.1,-39.28,https://nepsealpha.com/nepse-chart?symbol=AHL
PCBL,230.8,226.0,290.0,2.12,-20.41,https://nepsealpha.com/nepse-chart?symbol=PCBL
MATRI,950.0,930.1,1410.0,2.14,-32.62,https://nepsealpha.com/nepse-chart?symbol=MATRI
GCIL,408.6,400.0,613.0,2.15,-33.34,https://nepsealpha.com/nepse-chart?symbol=GCIL
NICLBSL,546.5,535.0,764.0,2.15,-28.47,https://nepsealpha.com/nepse-chart?symbol=NICLBSL
SMH,699.9,685.1,1142.0,2.16,-38.71,https://nepsealpha.com/nepse-chart?symbol=SMH
MCHL,404.0,395.2,671.0,2.23,-39.79,https://nepsealpha.com/nepse-chart?symbol=MCHL
CZBIL,187.1,183.0,240.1,2.24,-22.07,https://nepsealpha.com/nepse-chart?symbol=CZBIL
SALICO,583.2,570.1,775.0,2.3,-24.75,https://nepsealpha.com/nepse-chart?symbol=SALICO
JBLB,1300.0,1270.7,1644.0,2.31,-20.92,https://nepsealpha.com/nepse-chart?symbol=JBLB
SWMF,656.0,641.1,868.1,2.32,-24.43,https://nepsealpha.com/nepse-chart?symbol=SWMF
FOWAD,1038.0,1012.4,1324.4,2.53,-21.62,https://nepsealpha.com/nepse-chart?symbol=FOWAD
NIFRA,256.3,249.9,328.1,2.56,-21.88,https://nepsealpha.com/nepse-chart?symbol=NIFRA
BEDC,514.1,501.0,960.0,2.61,-46.45,https://nepsealpha.com/nepse-chart?symbol=BEDC
RAWA,704.0,686.0,958.8,2.62,-26.57,https://nepsealpha.com/nepse-chart?symbol=RAWA
UNL,46200.0,45000.0,50724.0,2.67,-8.92,https://nepsealpha.com/nepse-chart?symbol=UNL
BBC,4600.0,4480.0,6661.6,2.68,-30.95,https://nepsealpha.com/nepse-chart?symbol=BBC
SMPDA,863.7,840.0,1155.0,2.82,-25.22,https://nepsealpha.com/nepse-chart?symbol=SMPDA
HDL,1135.0,1103.0,1556.1,2.9,-27.06,https://nepsealpha.com/nepse-chart?symbol=HDL
UMRH,542.5,526.0,750.0,3.14,-27.67,https://nepsealpha.com/nepse-chart?symbol=UMRH
NMFBS,1123.0,1086.0,1504.0,3.41,-25.33,https://nepsealpha.com/nepse-chart?symbol=NMFBS
MLBL,360.9,348.9,488.0,3.44,-26.05,https://nepsealpha.com/nepse-chart?symbol=MLBL
VLBS,763.5,737.0,1008.0,3.6,-24.26,https://nepsealpha.com/nepse-chart?symbol=VLBS
KBL,182.0,175.5,233.5,3.7,-22.06,https://nepsealpha.com/nepse-chart?symbol=KBL
DLBS,1286.0,1240.0,1959.0,3.71,-34.35,https://nepsealpha.com/nepse-chart?symbol=DLBS
SHINE,396.2,382.0,499.0,3.72,-20.6,https://nepsealpha.com/nepse-chart?symbol=SHINE
PFL,367.0,352.8,518.0,4.02,-29.15,https://nepsealpha.com/nepse-chart?symbol=PFL
MNBBL,354.0,340.1,503.0,4.09,-29.62,https://nepsealpha.com/nepse-chart?symbol=MNBBL
MANDU,798.1,766.5,1001.9,4.12,-20.34,https://nepsealpha.com/nepse-chart?symbol=MANDU
SLBBL,813.9,780.0,1159.4,4.35,-29.8,https://nepsealpha.com/nepse-chart?symbol=SLBBL
BNL,15550.0,14896.0,22500.0,4.39,-30.89,https://nepsealpha.com/nepse-chart?symbol=BNL
AVYAN,946.0,906.0,1245.0,4.42,-24.02,https://nepsealpha.com/nepse-chart?symbol=AVYAN
EHPL,402.2,385.0,924.1,4.47,-56.48,https://nepsealpha.com/nepse-chart?symbol=EHPL
SICL,615.1,588.8,891.0,4.47,-30.97,https://nepsealpha.com/nepse-chart?symbol=SICL
SLBSL,1290.0,1234.5,2649.6,4.5,-51.31,https://nepsealpha.com/nepse-chart?symbol=SLBSL
RBCL,14900.0,14251.0,16900.0,4.55,-11.83,https://nepsealpha.com/nepse-chart?symbol=RBCL
SMHL,463.5,443.0,1230.0,4.63,-62.32,https://nepsealpha.com/nepse-chart?symbol=SMHL
KBSH,1695.0,1618.0,2737.0,4.76,-38.07,https://nepsealpha.com/nepse-chart?symbol=KBSH
NLICL,565.0,539.0,738.0,4.82,-23.44,https://nepsealpha.com/nepse-chart?symbol=NLICL
MBJC,283.1,270.0,371.0,4.85,-23.69,https://nepsealpha.com/nepse-chart?symbol=MBJC
SFCL,376.9,359.4,640.0,4.87,-41.11,https://nepsealpha.com/nepse-chart?symbol=SFCL
JSLBB,1111.2,1059.0,1775.0,4.93,-37.4,https://nepsealpha.com/nepse-chart?symbol=JSLBB
SHL,487.1,464.0,619.0,4.98,-21.31,https://nepsealpha.com/nepse-chart?symbol=SHL
GBIME,221.3,210.7,278.9,5.03,-20.65,https://nepsealpha.com/nepse-chart?symbol=GBIME
GMFBS,1455.0,1385.1,1949.0,5.05,-25.35,https://nepsealpha.com/nepse-chart?symbol=GMFBS
NUBL,683.0,650.0,854.4,5.08,-20.06,https://nepsealpha.com/nepse-chart?symbol=NUBL
SONA,418.2,398.0,545.0,5.08,-23.27,https://nepsealpha.com/nepse-chart?symbol=SONA
NABIL,495.0,471.0,562.0,5.1,-11.92,https://nepsealpha.com/nepse-chart?symbol=NABIL
SMATA,772.2,734.1,1382.0,5.19,-44.12,https://nepsealpha.com/nepse-chart?symbol=SMATA
