Symbol,Score,Signal,Close,RSI,Trend,52W_Position_%,Volume_Ratio,Momentum_5D_%,Factors
SAPDBL,30,WATCH,817.0,35.8,DOWN,13.1,0.27,-5.4,"Low_RSI, Below_200SMA, Near_52W_Low, Below_BB_Middle, Negative_5D_Momentum_Reversal"
TRH,30,WATCH,750.0,46.5,UP,12.2,0.86,-1.6,"Strong_Uptrend, Below_200SMA, Near_52W_Low, Below_BB_Middle"
SSHL,30,WATCH,190.4,52.9,UP,25.7,0.61,-2.4,"Strong_Uptrend, Below_200SMA, Lower_Half_Range, Strong_20D_Momentum"
PLIC,30,WATCH,340.0,16.8,DOWN,0.0,2.22,-6.6,"Oversold_RSI, Strong_Downtrend, Below_200SMA, Near_52W_Low, Below_BB, High_Volume, Negative_5D_Momentum_Reversal"
SBI,30,WATCH,403.0,39.2,DOWN,33.0,0.54,-2.2,"Low_RSI, Above_200SMA, Below_BB_Middle"
NBB,30,WATCH,400.0,61.3,UP,61.0,3.15,0.9,"Strong_Uptrend, Below_200SMA, High_Volume, Strong_20D_Momentum"
MNBBL,30,WATCH,363.0,35.3,UP,13.9,0.42,-2.3,"Low_RSI, Weak_Uptrend, Below_200SMA, Near_52W_Low, Below_BB_Middle"
LBBL,30,WATCH,483.0,30.5,DOWN,40.3,0.34,0.6,"Low_RSI, Above_200SMA, Below_BB_Middle"
GFCL,30,WATCH,650.0,35.5,DOWN,32.4,0.46,-2.3,"Low_RSI, Above_200SMA, Below_BB_Middle"
RADHI,25,NEUTRAL,845.0,60.2,UP,92.5,0.43,-4.6,"Strong_Uptrend, Above_200SMA, Near_52W_High"
NRN,25,NEUTRAL,1558.0,41.4,UP,38.2,0.3,-8.0,"Weak_Uptrend, Below_200SMA, Below_BB_Middle, Negative_5D_Momentum_Reversal, Strong_20D_Momentum"
JFL,25,NEUTRAL,425.0,11.5,DOWN,6.2,0.2,-3.4,"Oversold_RSI, Below_200SMA, Near_52W_Low, Below_BB_Middle"
KRBL,25,NEUTRAL,810.0,46.4,UP,93.7,0.89,3.9,"Strong_Uptrend, Above_200SMA, Near_52W_High"
DHPL,25,NEUTRAL,305.9,44.3,UP,22.7,0.62,-4.1,"Strong_Uptrend, Below_200SMA, Lower_Half_Range, Below_BB_Middle"
MKJC,25,NEUTRAL,522.0,37.2,UP,28.1,0.36,-2.8,"Low_RSI, Weak_Uptrend, Below_200SMA, Lower_Half_Range, Below_BB_Middle"
SINDU,25,NEUTRAL,749.0,37.7,DOWN,17.4,0.3,-8.8,"Low_RSI, Below_200SMA, Lower_Half_Range, Below_BB_Middle, Negative_5D_Momentum_Reversal"
SANIMA,25,NEUTRAL,335.0,36.5,DOWN,45.3,0.82,1.8,"Low_RSI, Above_200SMA"
NFS,25,NEUTRAL,629.9,29.1,DOWN,9.5,0.43,-4.6,"Oversold_RSI, Below_200SMA, Near_52W_Low, Below_BB_Middle"
RHPC,25,NEUTRAL,840.0,75.0,UP,75.1,2.13,16.7,"Overbought_RSI, Weak_Uptrend, Above_200SMA, High_Volume, Positive_5D_Momentum"
MEGA,20,NEUTRAL,219.0,86.0,UP,15.8,2.32,5.8,"Overbought_RSI, Weak_Uptrend, Below_200SMA, Lower_Half_Range, High_Volume, Positive_5D_Momentum, Strong_20D_Momentum"
ALICL,20,NEUTRAL,447.0,19.3,DOWN,0.4,0.65,-6.9,"Oversold_RSI, Strong_Downtrend, Below_200SMA, Near_52W_Low, Below_BB, Negative_5D_Momentum_Reversal"
SPC,20,NEUTRAL,503.4,28.0,DOWN,22.2,0.31,-2.8,"Oversold_RSI, Below_200SMA, Lower_Half_Range, Below_BB_Middle"
BFC,20,NEUTRAL,473.9,26.5,DOWN,18.6,0.39,-2.3,"Oversold_RSI, Below_200SMA, Lower_Half_Range, Below_BB_Middle"
AHPC,20,NEUTRAL,280.1,54.3,UP,44.6,1.55,1.7,"Strong_Uptrend, Below_200SMA, High_Volume"
CHL,20,NEUTRAL,291.0,53.5,UP,18.2,0.7,-1.4,"Strong_Uptrend, Below_200SMA, Lower_Half_Range"
AKJCL,20,NEUTRAL,380.0,82.1,UP,97.6,0.9,4.7,"Overbought_RSI, Strong_Uptrend, Above_200SMA, Near_52W_High, Strong_20D_Momentum"
CORBL,20,NEUTRAL,1630.0,41.1,DOWN,13.9,0.26,-7.9,"Below_200SMA, Near_52W_Low, Below_BB_Middle, Negative_5D_Momentum_Reversal"
CHDC,20,NEUTRAL,2430.0,41.0,UP,62.5,1.59,1.4,"Strong_Uptrend, Below_200SMA, High_Volume"
PROFL,15,NEUTRAL,464.9,31.3,DOWN,16.5,0.21,-2.1,"Low_RSI, Below_200SMA, Lower_Half_Range, Below_BB_Middle"
SLICL,15,NEUTRAL,387.0,31.7,DOWN,3.8,2.62,5.1,"Low_RSI, Strong_Downtrend, Below_200SMA, Near_52W_Low, Below_BB_Middle, High_Volume, Positive_5D_Momentum"
ULI,15,NEUTRAL,358.0,16.9,DOWN,0.0,1.87,-3.5,"Oversold_RSI, Strong_Downtrend, Below_200SMA, Near_52W_Low, Below_BB_Middle, High_Volume"
GLICL,15,NEUTRAL,344.0,30.2,DOWN,0.0,2.68,-4.4,"Low_RSI, Strong_Downtrend, Below_200SMA, Near_52W_Low, Below_BB, High_Volume"
KSBBL,15,NEUTRAL,458.0,31.2,DOWN,27.4,0.33,-0.4,"Low_RSI, Below_200SMA, Lower_Half_Range, Below_BB_Middle"
UPCL,15,NEUTRAL,377.4,46.3,UP,52.6,0.57,0.1,"Strong_Uptrend, Below_200SMA, Below_BB_Middle"
UPPER,10,NEUTRAL,189.8,46.0,UP,39.5,0.76,1.9,"Strong_Uptrend, Below_200SMA"
NABIL,10,NEUTRAL,497.9,51.7,UP,27.9,1.09,-0.1,"Weak_Uptrend, Below_200SMA, Lower_Half_Range"
SHPC,10,NEUTRAL,545.0,42.8,UP,43.7,1.06,1.8,"Strong_Uptrend, Below_200SMA"
CCBL,5,NEUTRAL,199.5,84.0,UP,22.6,1.85,4.9,"Overbought_RSI, Weak_Uptrend, Below_200SMA, Lower_Half_Range, High_Volume"
CZBIL,5,NEUTRAL,188.6,21.2,DOWN,5.2,0.61,-2.2,"Oversold_RSI, Strong_Downtrend, Below_200SMA, Near_52W_Low, Below_BB_Middle"
EDBL,5,NEUTRAL,590.0,26.0,DOWN,12.0,0.35,-1.1,"Oversold_RSI, Strong_Downtrend, Below_200SMA, Near_52W_Low, Below_BB_Middle"
CGH,5,NEUTRAL,835.0,26.3,DOWN,4.8,0.61,-2.9,"Oversold_RSI, Strong_Downtrend, Below_200SMA, Near_52W_Low, Below_BB_Middle"
PCBL,5,NEUTRAL,233.0,18.2,DOWN,1.9,0.35,-1.0,"Oversold_RSI, Strong_Downtrend, Below_200SMA, Near_52W_Low, Below_BB_Middle"
GMFIL,5,NEUTRAL,472.0,35.9,DOWN,36.2,0.89,-1.0,"Low_RSI, Below_200SMA, Below_BB_Middle"
HBL,5,NEUTRAL,188.5,22.5,DOWN,2.8,0.6,-0.7,"Oversold_RSI, Strong_Downtrend, Below_200SMA, Near_52W_Low, Below_BB_Middle"
