Symbol,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
AKJCL,35,388.0,343.9,23395.0,-1543.5,21851.5,160.91
SSHL,0,0.0,207.0,15000.0,0.0,15000.0,0.0
HURJA,47,118.0,252.0,0.0,6298.0,6298.0,113.56
UNHPL,65,415.38,356.6,0.0,-3821.0,-3821.0,-14.15
DORDI,130,307.54,251.0,0.0,-7350.0,-7350.0,-18.38
PPCL,10,390.0,338.9,-8000.0,-511.0,-8511.0,-218.23
MEL,164,323.0,216.0,0.0,-17548.0,-17548.0,-33.13
HLBSL,95,1079.0,871.0,0.0,-19760.0,-19760.0,-19.28
GBLBS,60,1519.0,641.9,0.0,-52626.0,-52626.0,-57.74
SINDU,115,866.3,405.3,0.0,-53015.5,-53015.5,-53.22
SAGAR,90,2220.0,1550.0,0.0,-60300.0,-60300.0,-30.18
