Symbol,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
AKJCL,35,388.0,374.0,23395.0,-490.0,22905.0,168.67
SSHL,0,0.0,213.0,15000.0,0.0,15000.0,0.0
HURJA,47,118.0,254.9,0.0,6434.3,6434.3,116.02
UNHPL,65,415.38,475.4,0.0,3901.0,3901.0,14.45
DORDI,130,307.54,274.0,0.0,-4360.0,-4360.0,-10.91
PPCL,10,390.0,378.2,-8000.0,-118.0,-8118.0,-208.15
MEL,164,323.0,252.0,0.0,-11644.0,-11644.0,-21.98
SINDU,115,866.3,747.0,0.0,-13720.0,-13720.0,-13.77
HLBSL,95,1079.0,876.1,0.0,-19275.5,-19275.5,-18.8
SAGAR,90,2220.0,1735.0,0.0,-43650.0,-43650.0,-21.85
GBLBS,60,1519.0,752.0,0.0,-46020.0,-46020.0,-50.49
