Symbol,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
AKJCL,35,388.0,415.0,23395.0,945.0,24340.0,179.23
SSHL,0,0.0,243.9,15000.0,0.0,15000.0,0.0
UNHPL,65,415.38,560.0,0.0,9400.0,9400.0,34.81
HURJA,47,118.0,294.0,0.0,8272.0,8272.0,149.15
DORDI,130,307.54,310.9,0.0,437.0,437.0,1.09
SINDU,115,866.3,833.0,0.0,-3830.0,-3830.0,-3.84
MEL,164,323.0,299.0,0.0,-3936.0,-3936.0,-7.43
PPCL,10,390.0,434.0,-8000.0,440.0,-7560.0,-193.85
HLBSL,95,1079.0,968.0,0.0,-10545.0,-10545.0,-10.29
SAGAR,90,2220.0,2055.0,0.0,-14850.0,-14850.0,-7.43
GBLBS,60,1519.0,814.0,0.0,-42300.0,-42300.0,-46.41
