Symbol,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
AKJCL,35,388.0,439.9,23395.0,1816.5,25211.5,185.65
SSHL,0,0.0,218.4,15000.0,0.0,15000.0,0.0
HURJA,47,118.0,257.7,0.0,6565.9,6565.9,118.39
UNHPL,65,415.38,436.9,0.0,1398.5,1398.5,5.18
DORDI,130,307.54,276.9,0.0,-3983.0,-3983.0,-9.96
PPCL,10,390.0,386.0,-8000.0,-40.0,-8040.0,-206.15
MEL,164,323.0,244.1,0.0,-12939.6,-12939.6,-24.43
SINDU,115,866.3,739.9,0.0,-14536.5,-14536.5,-14.59
HLBSL,95,1079.0,901.0,0.0,-16910.0,-16910.0,-16.5
GBLBS,60,1519.0,782.0,0.0,-44220.0,-44220.0,-48.52
SAGAR,90,2220.0,1700.0,0.0,-46800.0,-46800.0,-23.42
