Symbol,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
AKJCL,35,388.0,424.9,23395.0,1291.5,24686.5,181.79
SSHL,0,0.0,215.6,15000.0,0.0,15000.0,0.0
HURJA,47,118.0,255.0,0.0,6439.0,6439.0,116.1
UNHPL,65,415.38,430.5,0.0,982.5,982.5,3.64
DORDI,130,307.54,278.0,0.0,-3840.0,-3840.0,-9.6
PPCL,10,390.0,390.0,-8000.0,0.0,-8000.0,-205.13
MEL,164,323.0,246.0,0.0,-12628.0,-12628.0,-23.84
SINDU,115,866.3,738.0,0.0,-14755.0,-14755.0,-14.81
HLBSL,95,1079.0,887.0,0.0,-18240.0,-18240.0,-17.79
GBLBS,60,1519.0,786.0,0.0,-43980.0,-43980.0,-48.26
SAGAR,90,2220.0,1689.0,0.0,-47790.0,-47790.0,-23.92
