Symbol,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
AKJCL,150,280.67,322.0,0,6200.0,6200.0,14.73
HURJA,47,118.0,244.7,0,5954.9,5954.9,107.37
UNHPL,65,415.38,498.0,0,5370.0,5370.0,19.89
SINDU,115,866.3,867.0,0,80.0,80.0,0.08
SSHL,200,190.0,189.5,0,-100.0,-100.0,-0.26
DORDI,130,307.54,280.0,0,-3580.0,-3580.0,-8.95
SAGAR,90,2220.0,2150.0,0,-6300.0,-6300.0,-3.15
MEL,164,323.0,278.9,0,-7232.4,-7232.4,-13.65
PPCL,510,390.0,374.6,0,-7854.0,-7854.0,-3.95
HLBSL,95,1079.0,923.9,0,-14734.5,-14734.5,-14.37
GBLBS,20,3007.0,774.8,0,-44644.0,-44644.0,-74.23
