Symbol,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
AKJCL,35,388.0,409.0,23395.0,735.0,24130.0,177.69
SSHL,0,0.0,243.0,15000.0,0.0,15000.0,0.0
HURJA,47,118.0,299.0,0.0,8507.0,8507.0,153.39
UNHPL,65,415.38,519.9,0.0,6793.5,6793.5,25.16
DORDI,130,307.54,314.0,0.0,840.0,840.0,2.1
SINDU,115,866.3,864.9,0.0,-161.5,-161.5,-0.16
MEL,164,323.0,302.1,0.0,-3427.6,-3427.6,-6.47
PPCL,10,390.0,423.5,-8000.0,335.0,-7665.0,-196.54
HLBSL,95,1079.0,970.1,0.0,-10345.5,-10345.5,-10.09
SAGAR,90,2220.0,1947.0,0.0,-24570.0,-24570.0,-12.3
GBLBS,60,1519.0,835.9,0.0,-40986.0,-40986.0,-44.97
