Symbol,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
AKJCL,35,388.0,348.7,23395.0,-1375.5,22019.5,162.15
SSHL,0,0.0,195.0,15000.0,0.0,15000.0,0.0
HURJA,47,118.0,226.0,0.0,5076.0,5076.0,91.53
UNHPL,65,415.38,386.0,0.0,-1910.0,-1910.0,-7.07
DORDI,130,307.54,250.0,0.0,-7480.0,-7480.0,-18.71
PPCL,10,390.0,329.0,-8000.0,-610.0,-8610.0,-220.77
MEL,164,323.0,214.8,0.0,-17744.8,-17744.8,-33.5
HLBSL,95,1079.0,871.9,0.0,-19674.5,-19674.5,-19.19
SINDU,115,866.3,693.0,0.0,-19930.0,-19930.0,-20.01
GBLBS,60,1519.0,737.0,0.0,-46920.0,-46920.0,-51.48
SAGAR,90,2220.0,1569.7,0.0,-58527.0,-58527.0,-29.29
