Symbol,Latest_Close,52_Week_Low,52_Week_High,Distance_from_Low_%,Distance_from_High_%
EDBLPO,324.0,408.0,408.0,-20.59,-20.59
GUFLPO,298.0,331.0,331.0,-9.97,-9.97
ACLBSLP,512.0,556.0,613.0,-7.91,-16.48
NICAP,179.0,193.0,331.3,-7.25,-45.97
MLBSL,1299.0,1368.5,2324.0,-5.08,-44.1
SMATAP,421.0,441.0,593.0,-4.54,-29.01
EBLD85,1060.0,1097.0,1250.0,-3.37,-15.2
HBLPO,111.6,115.0,133.0,-2.96,-16.09
ICFCD83,1049.0,1078.3,1337.8,-2.72,-21.59
NBLD82,1023.1,1046.7,1140.0,-2.25,-10.25
KBLD86,1080.0,1096.3,1387.5,-1.49,-22.16
MAKAR,415.0,419.2,640.0,-1.0,-35.16
MLBBL,1067.0,1076.7,1661.0,-0.9,-35.76
SBID83,1031.0,1040.0,1226.0,-0.87,-15.91
PBLD84,1057.2,1062.1,1158.4,-0.46,-8.74
SNLI,409.0,410.0,528.3,-0.24,-22.58
NIBD84,1030.3,1030.5,1130.0,-0.02,-8.82
PMLIP,255.0,255.0,302.9,0.0,-15.81
JBBLPO,181.4,181.4,187.0,0.0,-2.99
SFCLP,164.0,164.0,164.0,0.0,0.0
SHINEP,222.0,222.0,228.0,0.0,-2.63
KBLPO,100.0,100.0,111.0,0.0,-9.91
SLBBLP,443.0,443.0,496.0,0.0,-10.69
MLBSLP,100.0,100.0,100.0,0.0,0.0
RLFLPO,268.6,268.6,303.0,0.0,-11.35
SBLD83,1038.0,1038.0,1116.5,0.0,-7.03
FOWADP,550.0,550.0,660.0,0.0,-16.67
CORBLP,100.0,100.0,100.0,0.0,0.0
ALICLP,252.0,252.0,388.0,0.0,-35.05
BFCPO,250.0,250.0,324.0,0.0,-22.84
CZBILP,100.0,100.0,111.0,0.0,-9.91
CYCLP,831.0,831.0,864.0,0.0,-3.82
SIFCPO,286.0,286.0,286.0,0.0,0.0
LBBLPO,261.0,261.0,261.0,0.0,0.0
MATRIP,523.5,523.5,766.5,0.0,-31.7
KMCDBP,587.0,587.0,605.0,0.0,-2.98
MLBSP,698.0,698.0,957.0,0.0,-27.06
MNBBLP,236.2,236.2,256.0,0.0,-7.73
NLICLP,321.0,321.0,321.0,0.0,0.0
NLICP,413.0,413.0,413.0,0.0,0.0
NMFBSP,610.0,610.0,675.0,0.0,-9.63
NMLBBLP,334.0,334.0,366.1,0.0,-8.77
UAILPO,251.0,251.0,382.0,0.0,-34.29
NABILP,301.1,301.1,301.1,0.0,0.0
SBLD2082,1045.2,1045.1,1097.6,0.01,-4.77
RBCL,14025.0,14000.0,16261.0,0.18,-13.75
PBD84,1069.0,1067.0,1182.0,0.19,-9.56
SLBSL,927.0,925.0,1612.0,0.22,-42.49
MKHC,267.0,266.0,483.0,0.38,-44.72
PROFL,417.2,415.0,522.0,0.53,-20.08
SRBLD83,1015.0,1008.1,1125.0,0.68,-9.78
USLB,1115.0,1105.8,2420.0,0.83,-53.93
SKBBL,746.2,740.0,954.8,0.84,-21.85
ULI,358.0,355.0,746.0,0.85,-52.01
MKCL,1050.0,1041.0,1700.0,0.86,-38.24
SAEF2,9.08,9.0,10.0,0.89,-9.2
ADBLD83,1025.0,1015.0,1132.9,0.99,-9.52
NBLD85,1025.0,1015.0,1187.0,0.99,-13.65
ADBLB86,1010.0,1000.0,1000.1,1.0,0.99
BOKD86KA,1111.1,1100.0,1247.0,1.01,-10.9
NICD83/84,1037.0,1025.9,1149.0,1.08,-9.75
