Ticker,Stock Name,Sector,Today's Price,Market Cap,Daily Change (%),Weekly Change (%),Monthly Change (%),3-Month Change (%),Yearly Change (%),5-Year Change (%),EPS (Trailing),P/E Ratio,P/B Ratio,Total Revenue (Latest Quarter),Total Revenue (Previous Quarter),Total Revenue % Change,Gross Profit (Latest),Gross Profit (Previous),Gross Profit % Change,Net Profit (Latest),Net Profit (Previous),Net Profit % Change,Annualized EPS (Latest),Annualized EPS (Previous),Annualized EPS % Change,Book Value per Share (Latest),Book Value per Share (Previous),Book Value per Share % Change,Total Assets (Latest),Total Assets (Previous),Total Assets % Change,Total Liabilities (Latest),Total Liabilities (Previous),Total Liabilities % Change,Paid-up Capital (Latest),Paid-up Capital (Previous),Paid-up Capital % Change,Reserves (Latest),Reserves (Previous),Reserves % Change,ROE,D/E Ratio
ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microcredit,939.00,3.45 Ar,-1.68%,-1.22%,-1.16%,-9.71%,-7.32%,-24.36%,34.02,27.6,5.24,605751.25,402624.11,+50.45%,333973.72,219201.45,+52.36%,93684.51,59784.03,+56.70%,34.02,32.57,+4.47%,179.21,169.98,+5.43%,6160957.14,6511837.26,-5.39%,5503003.4,5887759.35,-6.53%,367143.41,367143.41,0.00%,290810.33,256934.51,+13.18%,0.1898,8.3638
ADBL,Agriculture Development Bank,Commercial Banks,305.00,42.26 Ar,-0.33%,-1.29%,-3.69%,-8.44%,+15.04%,-11.90%,10.71,28.47,1.32,15446740.24,10460525.85,+47.67%,6634494.24,4518161.97,+46.84%,1393973.95,707426.59,+97.05%,10.71,7.61,+40.75%,230.49,224.37,+2.73%,399787449.61,392157175.8,+1.95%,361381539.74,354627268.6,+1.90%,19738231.09,19738231.09,0.00%,18667678.78,17791676.11,+4.92%,0.0465,9.4095
AHL,Asian Hydropower Limited,Hydro Power,468.60,1.59 Ar,-0.30%,-0.30%,-7.21%,-10.06%,-21.90%,+42.60%,-19.31,-24.27,6.57,51964.86,51964.86,0.00%,30152.73,34893.39,-13.59%,-49240.48,-28907.89,+70.34%,-19.31,-17.0,+13.56%,71.36,77.34,-7.73%,1278625.89,1262778.81,+1.25%,1036009.49,999829.81,+3.62%,340000.0,340000.0,0.00%,-97383.6,-77051.01,+26.39%,-0.2706,4.2702
AHPC,Arun Valley Hydropower Development,Hydro Power,264.30,10.17 Ar,-0.30%,-3.01%,-7.00%,-15.83%,-1.83%,+13.98%,4.41,59.91,2.39,229118.16,173056.57,+32.39%,201121.98,152084.27,+32.24%,133685.44,100063.38,+33.60%,4.41,5.2,-15.17%,110.71,115.64,-4.26%,4773912.25,4835832.5,-1.28%,300620.02,385839.18,-22.09%,4040403.15,3848003.0,+5.00%,432889.09,601990.33,-28.09%,0.0398,0.0672
AKJCL,Ankhu Khola Jalvidhyut Company Ltd.,Hydro Power,362.60,7.25 Ar,-1.12%,-3.90%,-14.26%,-12.63%,+71.91%,+108.39%,2.56,141.88,3.92,172480.16,134444.02,+28.29%,142440.52,113009.61,+26.04%,38335.96,46271.04,-17.15%,2.56,4.63,-44.77%,92.42,92.82,-0.43%,2557504.45,2587262.89,-1.15%,709032.42,730855.78,-2.99%,2000000.0,2000000.0,0.00%,-151527.97,-143592.89,+5.53%,0.0277,0.3836
AKPL,Arun Kabeli Power Ltd.,Hydro Power,256.80,10.00 Ar,-0.42%,-2.43%,-6.00%,-15.78%,+0.12%,+16.45%,4.92,52.19,2.48,498284.73,383510.18,+29.93%,447270.46,354894.34,+26.03%,143780.05,154487.61,-6.93%,4.92,7.93,-37.95%,103.42,103.69,-0.27%,7441625.99,7393174.62,+0.66%,3412621.12,3353462.19,+1.76%,3895942.1,3895942.1,0.00%,133062.78,143770.33,-7.45%,0.0476,0.847
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,Microcredit,"1,070.00",7.84 Ar,-1.38%,-2.54%,-5.06%,-17.30%,+48.06%,+15.16%,29.28,36.55,6.53,1110273.23,717454.27,+54.75%,622200.83,387458.89,+60.58%,176262.59,125574.09,+40.37%,29.28,31.29,-6.42%,163.92,158.08,+3.70%,12040384.92,11742710.76,+2.53%,10724603.8,10473861.81,+2.39%,802685.68,802685.68,0.00%,513095.44,466163.28,+10.07%,0.1786,8.1508
ALICL,Asian Life Insurance,Life Insurance,440.10,22.01 Ar,-0.65%,-0.88%,-2.05%,-9.82%,-0.41%,-17.69%,9.26,47.52,3.85,10062267.52,6537551.0,+53.91%,1353167.6,875913.56,+54.49%,347386.59,263563.46,+31.80%,9.26,10.54,-12.13%,125.01,128.73,-2.89%,60602514.87,59127423.13,+2.49%,54350432.84,52689268.12,+3.15%,5001159.21,5001159.21,0.00%,717318.77,919096.03,-21.95%,0.0741,8.6932
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APHL,Appolo Hydropower Limited,Hydro Power,875.00,4.11 Ar,-2.78%,-4.48%,+153.92%,+153.92%,+153.92%,+153.92%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
