Ticker,Stock Name,Sector,Today's Price,Market Cap,Daily Change (%),Weekly Change (%),Monthly Change (%),3-Month Change (%),Yearly Change (%),5-Year Change (%),EPS (Trailing),P/E Ratio,P/B Ratio,Total Revenue (Latest Quarter),Total Revenue (Previous Quarter),Total Revenue % Change,Gross Profit (Latest),Gross Profit (Previous),Gross Profit % Change,Net Profit (Latest),Net Profit (Previous),Net Profit % Change,Annualized EPS (Latest),Annualized EPS (Previous),Annualized EPS % Change,Book Value per Share (Latest),Book Value per Share (Previous),Book Value per Share % Change,Total Assets (Latest),Total Assets (Previous),Total Assets % Change,Total Liabilities (Latest),Total Liabilities (Previous),Total Liabilities % Change,Paid-up Capital (Latest),Paid-up Capital (Previous),Paid-up Capital % Change,Reserves (Latest),Reserves (Previous),Reserves % Change,ROE,D/E Ratio
DHEL,Daramkhola Hydro Energy Limited,Hydro Power,732.90,7.55 Ar,+2.50%,+3.94%,+0.53%,+29.12%,+65.66%,+65.66%,5.2,140.98,5.58,43642.08,0.0,0.00%,41935.29,0.0,0.00%,26785.44,35293.21,-24.11%,5.2,13.7,-62.05%,131.27,132.09,-0.63%,2986587.94,2886372.96,+3.47%,1633872.88,1525150.12,+7.13%,1030500.0,1030500.0,0.00%,322215.06,330722.84,-2.57%,0.0396,1.2078
DHPL,Dibyashwori Hydropower Ltd.,Hydro Power,340.00,89.76 Cr,+1.13%,+0.29%,+13.52%,+15.65%,-12.57%,+185.71%,7.51,45.25,51.34,58052.9,34963.0,+66.04%,55185.73,33151.0,+66.47%,9918.52,11555.0,-14.16%,7.51,17.51,-57.08%,6.62,7.77,-14.79%,758056.07,778457.0,-2.62%,740571.38,757938.0,-2.29%,264000.0,264000.0,0.00%,-246515.3,-243481.0,+1.25%,1.1344,42.3554
DLBS,Dhaulagiri Laghubitta Bittiya Sanstha Limited,Microcredit,"1,413.00",1.88 Ar,-0.49%,+4.50%,+7.85%,+6.64%,-8.06%,+686.31%,18.38,76.88,7.89,156689.12,73056.81,+114.48%,82442.49,34600.27,+138.27%,12231.48,2595.13,+371.32%,18.38,7.8,+135.66%,179.13,171.75,+4.29%,2494854.19,2641878.21,-5.57%,2256438.11,2413279.31,-6.50%,133100.0,133100.0,0.00%,105316.07,95498.9,+10.28%,0.1026,9.4643
DOLTI,Dolti Power Company Limited,Hydro Power,517.00,2.77 Ar,-0.17%,-0.58%,+1.77%,-0.23%,-23.94%,+80.08%,3.25,158.97,8.68,61992.36,47753.56,+29.82%,54792.82,43309.63,+26.51%,8723.69,19089.06,-54.30%,3.25,14.23,-77.15%,59.55,61.63,-3.38%,1051248.38,1085123.57,-3.12%,731794.4,754501.13,-3.01%,536486.0,536486.0,0.00%,-217032.02,-205863.56,+5.43%,0.0546,2.2908
DORDI,Dordi Khola Jal Bidyut Company Limited,Hydro Power,310.89,6.56 Ar,-0.04%,-2.69%,+13.05%,+23.28%,-15.70%,+49.83%,0.69,450.28,2.95,137660.45,74601.02,+84.53%,121908.12,66027.95,+84.63%,7279.18,8937.89,-18.56%,0.69,1.7,-59.28%,105.22,105.35,-0.12%,3510413.62,3501940.07,+0.24%,1291786.99,1280688.73,+0.87%,2108520.8,2108520.8,0.00%,110105.82,112730.54,-2.33%,0.0066,0.5822
EBL,Everest Bank,Commercial Banks,712.00,92.17 Ar,-0.28%,-0.28%,+5.87%,+8.87%,+27.57%,+58.74%,30.86,23.07,3.03,10178072.0,5309342.0,+91.70%,4572942.0,2403897.0,+90.23%,2117118.0,1179274.0,+79.53%,30.86,36.44,-15.32%,235.04,255.69,-8.07%,374682513.0,376327699.0,-0.44%,342431460.0,343229653.0,-0.23%,13721376.0,12944694.0,+6.00%,18529679.0,20153353.0,-8.06%,0.1313,10.6177
EBLD85,10.50% Everest Bank Limited Debenture 2085,Bond,"1,173.00",0.00,+0.20%,-1.43%,-0.09%,-5.78%,+2.45%,+17.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBLD86,8.5% Everest Bank Limited Debenture 2086,Bond,"1,088.00",0.00,-0.06%,-1.09%,-1.09%,-1.81%,+5.12%,+15.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBLD91,Everest Bank Limited Debenture 2091,Bond,"1,105.00",0.00,0.00%,-1.78%,+0.45%,-0.63%,+7.80%,+7.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDBL,Excel Development Bank,Development Bank,622.00,7.77 Ar,+0.31%,-0.16%,+6.65%,+6.32%,-2.18%,+101.69%,14.17,43.9,3.5,568040.86,288436.91,+96.94%,268819.74,133331.24,+101.62%,88536.73,-89796.91,-198.60%,14.17,-28.74,-149.30%,177.95,155.37,+14.53%,19833614.6,18674147.27,+6.21%,17609825.16,16732518.88,+5.24%,1249694.47,1249694.47,0.00%,974094.97,691933.91,+40.78%,0.0796,7.9188
EHPL,Eastern Hydropower Limited,Hydro Power,446.00,2.77 Ar,+0.22%,-2.21%,+8.78%,+10.12%,-36.61%,+87.71%,9.91,45.02,5.73,89918.9,48268.4,+86.29%,83437.97,44762.24,+86.40%,30710.82,17936.45,+71.22%,9.91,11.57,-14.39%,77.86,75.81,+2.71%,1106949.99,1103767.77,+0.29%,624189.6,633742.96,-1.51%,620000.0,620000.0,0.00%,-137239.61,-149975.19,-8.49%,0.1273,1.293
