Ticker,Stock Name,Sector,Today's Price,Market Cap,Daily Change (%),Weekly Change (%),Monthly Change (%),3-Month Change (%),Yearly Change (%),5-Year Change (%),EPS (Trailing),P/E Ratio,P/B Ratio,Total Revenue (Latest Quarter),Total Revenue (Previous Quarter),Total Revenue % Change,Gross Profit (Latest),Gross Profit (Previous),Gross Profit % Change,Net Profit (Latest),Net Profit (Previous),Net Profit % Change,Annualized EPS (Latest),Annualized EPS (Previous),Annualized EPS % Change,Book Value per Share (Latest),Book Value per Share (Previous),Book Value per Share % Change,Total Assets (Latest),Total Assets (Previous),Total Assets % Change,Total Liabilities (Latest),Total Liabilities (Previous),Total Liabilities % Change,Paid-up Capital (Latest),Paid-up Capital (Previous),Paid-up Capital % Change,Reserves (Latest),Reserves (Previous),Reserves % Change,ROE,D/E Ratio
ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microcredit,974.00,3.58 Ar,+0.94%,-0.31%,-9.23%,-0.61%,-7.65%,-25.41%,32.57,29.91,5.73,402624.11,203534.78,+97.82%,219201.45,111339.65,+96.88%,59784.03,8206.54,+628.49%,32.57,8.94,+264.24%,169.98,157.43,+7.97%,6511837.26,6328553.46,+2.90%,5887759.35,5750551.33,+2.39%,367143.41,367143.41,0.00%,256934.51,210858.72,+21.85%,0.1916,9.4343
ADBL,Agriculture Development Bank,Commercial Banks,313.00,43.37 Ar,+0.32%,-1.57%,-6.54%,+1.79%,+17.39%,+6.37%,7.61,41.12,1.4,10460525.85,5495815.26,+90.34%,4518161.97,2424395.43,+86.36%,707426.59,5738.89,"+12,226.90%",7.61,-2.19,-448.04%,224.37,239.52,-6.33%,392157175.8,377307473.6,+3.94%,354627268.6,338688199.2,+4.71%,19738231.09,19287936.3,+2.33%,17791676.11,19331338.12,-7.96%,0.0339,9.4492
AHL,Asian Hydropower Limited,Hydro Power,528.50,1.80 Ar,+1.25%,-4.77%,+2.03%,-6.61%,-27.83%,+60.83%,-17.0,-31.08,6.83,51964.86,51964.86,0.00%,34893.39,45331.81,-23.03%,-28907.89,14721.88,-296.36%,-17.0,17.32,-198.18%,77.34,90.26,-14.31%,1262778.81,1307582.69,-3.43%,999829.81,1000707.54,-0.09%,340000.0,340000.0,0.00%,-77051.01,-33124.85,+132.61%,-0.2198,3.8024
AHPC,Arun Valley Hydropower Development,Hydro Power,280.00,10.77 Ar,+0.04%,-4.08%,-11.64%,+0.36%,+9.75%,+94.10%,5.2,53.84,2.42,173056.57,87502.71,+97.77%,152084.27,76673.0,+98.35%,100063.38,45323.28,+120.78%,5.2,4.71,+10.39%,115.64,113.05,+2.29%,4835832.5,4741439.13,+1.99%,385839.18,391146.18,-1.36%,3848003.0,3848003.0,0.00%,601990.33,502289.95,+19.85%,0.045,0.0867
AKJCL,Ankhu Khola Jalvidhyut Company Ltd.,Hydro Power,389.90,7.80 Ar,-0.79%,-0.54%,-5.23%,+45.27%,+90.87%,+220.64%,2.56,152.56,4.22,172480.16,134444.02,+28.29%,142440.52,113009.61,+26.04%,38335.96,46271.04,-17.15%,2.56,4.63,-44.77%,92.42,92.82,-0.43%,2557504.45,2587262.89,-1.15%,709032.42,730855.78,-2.99%,2000000.0,2000000.0,0.00%,-151527.97,-143592.89,+5.53%,0.0277,0.3836
AKPL,Arun Kabeli Power Ltd.,Hydro Power,268.00,10.44 Ar,0.00%,-4.96%,-12.99%,+1.52%,+18.04%,+48.07%,7.93,33.79,2.58,383510.18,194287.27,+97.39%,354894.34,182040.45,+94.95%,154487.61,58006.07,+166.33%,7.93,5.96,+33.17%,103.69,101.21,+2.45%,7393174.62,6437912.54,+14.84%,3353462.19,2494681.65,+34.42%,3895942.1,3895942.1,0.00%,143770.33,47288.8,+204.03%,0.0765,0.8301
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,Microcredit,"1,129.00",8.28 Ar,-0.78%,-2.34%,-12.48%,-6.69%,+53.00%,+21.58%,31.29,36.08,7.14,717454.27,345551.08,+107.63%,387458.89,173802.54,+122.93%,125574.09,22322.11,+462.55%,31.29,12.18,+156.87%,158.08,175.91,-10.14%,11742710.76,11168127.09,+5.14%,10473861.81,9878640.58,+6.03%,802685.68,733046.28,+9.50%,466163.28,556440.23,-16.22%,0.1979,8.2546
ALICL,Asian Life Insurance,Life Insurance,458.00,22.91 Ar,0.00%,-1.51%,-7.47%,-0.98%,-5.05%,-5.82%,10.54,43.45,3.87,6537551.0,3237067.54,+101.96%,875913.56,524011.03,+67.16%,263563.46,152513.04,+72.81%,10.54,12.64,-16.59%,128.73,130.12,-1.07%,59127423.13,57460842.1,+2.90%,52689268.12,51178897.36,+2.95%,5001159.21,4827767.56,+3.59%,919096.03,941421.71,-2.37%,0.0819,8.1839
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microcredit,"6,282.00",4.92 Ar,+0.74%,-1.92%,+8.97%,+18.65%,+32.51%,+1970.67%,77.9,80.64,14.65,109231.14,54844.45,+99.17%,71846.97,35706.53,+101.22%,30514.63,11464.43,+166.17%,77.9,58.53,+33.08%,428.75,405.31,+5.78%,1902697.33,1830448.24,+3.95%,1566800.96,1512914.23,+3.56%,78343.28,78343.28,0.00%,257553.08,239190.72,+7.68%,0.1817,4.6645
API,Api Power,Hydro Power,339.90,20.65 Ar,0.00%,-2.61%,-5.95%,+10.36%,+27.11%,+117.58%,14.03,24.23,2.89,959243.24,538459.21,+78.15%,840391.87,479201.77,+75.37%,426221.66,262755.15,+62.21%,14.03,17.3,-18.89%,117.58,114.74,+2.48%,14485098.82,14501043.26,-0.11%,7340803.63,7529330.42,-2.50%,6075927.81,6075927.81,0.00%,1068367.39,895785.04,+19.27%,0.1193,1.0275
